hgnc.symbol:TERT	'TERT'	'hgnc.symbol:TERT'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:BGLAP	'BGLAP'	'hgnc.symbol:BGLAP'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:JUN	'JUN'	'hgnc.symbol:JUN'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IL2	'IL2'	'hgnc.symbol:IL2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:FAS	'FAS'	'hgnc.symbol:FAS'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:NR0B1	'NR0B1'	'hgnc.symbol:NR0B1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CASP1	'CASP1'	'hgnc.symbol:CASP1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ALDOA	'ALDOA'	'hgnc.symbol:ALDOA'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IGF1R	'IGF1R'	'hgnc.symbol:IGF1R'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CCNA2	'CCNA2'	'hgnc.symbol:CCNA2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IL3	'IL3'	'hgnc.symbol:IL3'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:RHD	'RHD'	'hgnc.symbol:RHD'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CDKN1A	'CDKN1A'	'hgnc.symbol:CDKN1A'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:POLI	'POLI'	'hgnc.symbol:POLI'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:GGT1	'GGT1'	'hgnc.symbol:GGT1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:MCAT	'MCAT'	'hgnc.symbol:MCAT'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:HMGCS2	'HMGCS2'	'hgnc.symbol:HMGCS2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:GCG	'GCG'	'hgnc.symbol:GCG'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:PCK1	'PCK1'	'hgnc.symbol:PCK1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ABCB1	'ABCB1'	'hgnc.symbol:ABCB1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:PLAG1	'PLAG1'	'hgnc.symbol:PLAG1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:RB1	'RB1'	'hgnc.symbol:RB1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:NR3C1	'NR3C1'	'hgnc.symbol:NR3C1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ESR1	'ESR1'	'hgnc.symbol:ESR1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:MAPK8	'MAPK8'	'hgnc.symbol:MAPK8'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CYP2B6	'CYP2B6'	'hgnc.symbol:CYP2B6'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IVL	'IVL'	'hgnc.symbol:IVL'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:HBB	'HBB'	'hgnc.symbol:HBB'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ACTA1	'ACTA1'	'hgnc.symbol:ACTA1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:BCL2	'BCL2'	'hgnc.symbol:BCL2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:DBH	'DBH'	'hgnc.symbol:DBH'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IL12B	'IL12B'	'hgnc.symbol:IL12B'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IFNA1	'IFNA1'	'hgnc.symbol:IFNA1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IRF1	'IRF1'	'hgnc.symbol:IRF1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IL6	'IL6'	'hgnc.symbol:IL6'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ODC1	'ODC1'	'hgnc.symbol:ODC1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CCND1	'CCND1'	'hgnc.symbol:CCND1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:BCL2A1	'BCL2A1'	'hgnc.symbol:BCL2A1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:SLC31A1	'SLC31A1'	'hgnc.symbol:SLC31A1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:TNF	'TNF'	'hgnc.symbol:TNF'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CCL13	'CCL13'	'hgnc.symbol:CCL13'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:FOS	'FOS'	'hgnc.symbol:FOS'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IGF1	'IGF1'	'hgnc.symbol:IGF1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:TIMP1	'TIMP1'	'hgnc.symbol:TIMP1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ADRA1D	'ADRA1D'	'hgnc.symbol:ADRA1D'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CYP1B1	'CYP1B1'	'hgnc.symbol:CYP1B1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CYP21A1P	'CYP21A1P'	'hgnc.symbol:CYP21A1P'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CCNB1	'CCNB1'	'hgnc.symbol:CCNB1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:L1CAM	'L1CAM'	'hgnc.symbol:L1CAM'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CREBBP	'CREBBP'	'hgnc.symbol:CREBBP'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:VLDLR	'VLDLR'	'hgnc.symbol:VLDLR'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:MDM2	'MDM2'	'hgnc.symbol:MDM2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ERVW-4	'ERVW-4'	'hgnc.symbol:ERVW-4'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:SRC	'SRC'	'hgnc.symbol:SRC'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:GAL	'GAL'	'hgnc.symbol:GAL'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:NFIC	'NFIC'	'hgnc.symbol:NFIC'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:MYOD1	'MYOD1'	'hgnc.symbol:MYOD1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:HES1	'HES1'	'hgnc.symbol:HES1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:MAPK14	'MAPK14'	'hgnc.symbol:MAPK14'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:INHA	'INHA'	'hgnc.symbol:INHA'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:GATA4	'GATA4'	'hgnc.symbol:GATA4'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:RBL1	'RBL1'	'hgnc.symbol:RBL1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IL4	'IL4'	'hgnc.symbol:IL4'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:GUCY2C	'GUCY2C'	'hgnc.symbol:GUCY2C'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:SFTPB	'SFTPB'	'hgnc.symbol:SFTPB'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:TP53	'TP53'	'hgnc.symbol:TP53'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:PRF1	'PRF1'	'hgnc.symbol:PRF1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:JTB	'JTB'	'hgnc.symbol:JTB'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:F8	'F8'	'hgnc.symbol:F8'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:SERPINE2	'SERPINE2'	'hgnc.symbol:SERPINE2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:SERPINE1	'SERPINE1'	'hgnc.symbol:SERPINE1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:PDLIM7	'PDLIM7'	'hgnc.symbol:PDLIM7'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:SAMHD1	'SAMHD1'	'hgnc.symbol:SAMHD1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IFNG	'IFNG'	'hgnc.symbol:IFNG'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:NOS2	'NOS2'	'hgnc.symbol:NOS2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IRAK1	'IRAK1'	'hgnc.symbol:IRAK1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IRAK2	'IRAK2'	'hgnc.symbol:IRAK2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:TRAF2	'TRAF2'	'hgnc.symbol:TRAF2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:FASLG	'FASLG'	'hgnc.symbol:FASLG'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:PRKACA	'PRKACA'	'hgnc.symbol:PRKACA'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:KLK3	'KLK3'	'hgnc.symbol:KLK3'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ARR3	'ARR3'	'hgnc.symbol:ARR3'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CFTR	'CFTR'	'hgnc.symbol:CFTR'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:GAST	'GAST'	'hgnc.symbol:GAST'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:GLI1	'GLI1'	'hgnc.symbol:GLI1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:NPPA	'NPPA'	'hgnc.symbol:NPPA'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:AR	'AR'	'hgnc.symbol:AR'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:MMP11	'MMP11'	'hgnc.symbol:MMP11'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:RARB	'RARB'	'hgnc.symbol:RARB'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CCL5	'CCL5'	'hgnc.symbol:CCL5'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CD40	'CD40'	'hgnc.symbol:CD40'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:TGFA	'TGFA'	'hgnc.symbol:TGFA'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:NR1D1	'NR1D1'	'hgnc.symbol:NR1D1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:RARA	'RARA'	'hgnc.symbol:RARA'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IRS2	'IRS2'	'hgnc.symbol:IRS2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:UTRN	'UTRN'	'hgnc.symbol:UTRN'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CHRNE	'CHRNE'	'hgnc.symbol:CHRNE'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:GTF2A1	'GTF2A1'	'hgnc.symbol:GTF2A1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:KRT12	'KRT12'	'hgnc.symbol:KRT12'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:NHLH1	'NHLH1'	'hgnc.symbol:NHLH1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CXCL8	'CXCL8'	'hgnc.symbol:CXCL8'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:KRAS	'KRAS'	'hgnc.symbol:KRAS'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:MYC	'MYC'	'hgnc.symbol:MYC'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:EPO	'EPO'	'hgnc.symbol:EPO'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:NF1	'NF1'	'hgnc.symbol:NF1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:EIF2AK2	'EIF2AK2'	'hgnc.symbol:EIF2AK2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:LHB	'LHB'	'hgnc.symbol:LHB'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:PRKCG	'PRKCG'	'hgnc.symbol:PRKCG'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:SP1	'SP1'	'hgnc.symbol:SP1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:BCL2L1	'BCL2L1'	'hgnc.symbol:BCL2L1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:SMARCA4	'SMARCA4'	'hgnc.symbol:SMARCA4'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:EGR1	'EGR1'	'hgnc.symbol:EGR1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:BTAF1	'BTAF1'	'hgnc.symbol:BTAF1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:DNAH8	'DNAH8'	'hgnc.symbol:DNAH8'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ABCC8	'ABCC8'	'hgnc.symbol:ABCC8'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:SMC3	'SMC3'	'hgnc.symbol:SMC3'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:RHOA	'RHOA'	'hgnc.symbol:RHOA'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:LGALS1	'LGALS1'	'hgnc.symbol:LGALS1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:DCTN1	'DCTN1'	'hgnc.symbol:DCTN1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:PNMT	'PNMT'	'hgnc.symbol:PNMT'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:USF1	'USF1'	'hgnc.symbol:USF1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:DDIT3	'DDIT3'	'hgnc.symbol:DDIT3'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ATF4	'ATF4'	'hgnc.symbol:ATF4'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ATF3	'ATF3'	'hgnc.symbol:ATF3'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:FABP2	'FABP2'	'hgnc.symbol:FABP2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:SELE	'SELE'	'hgnc.symbol:SELE'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CTLA4	'CTLA4'	'hgnc.symbol:CTLA4'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:LCT	'LCT'	'hgnc.symbol:LCT'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:LIPE	'LIPE'	'hgnc.symbol:LIPE'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IRF8	'IRF8'	'hgnc.symbol:IRF8'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ICAM1	'ICAM1'	'hgnc.symbol:ICAM1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:MAZ	'MAZ'	'hgnc.symbol:MAZ'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:S100A2	'S100A2'	'hgnc.symbol:S100A2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:BAX	'BAX'	'hgnc.symbol:BAX'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CCNG1	'CCNG1'	'hgnc.symbol:CCNG1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CHKA	'CHKA'	'hgnc.symbol:CHKA'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:GADD45A	'GADD45A'	'hgnc.symbol:GADD45A'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:TFF3	'TFF3'	'hgnc.symbol:TFF3'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CDKN2A	'CDKN2A'	'hgnc.symbol:CDKN2A'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:LPL	'LPL'	'hgnc.symbol:LPL'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:NPR1	'NPR1'	'hgnc.symbol:NPR1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CYP17A1	'CYP17A1'	'hgnc.symbol:CYP17A1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:RAC2	'RAC2'	'hgnc.symbol:RAC2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:GFAP	'GFAP'	'hgnc.symbol:GFAP'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ITPR1	'ITPR1'	'hgnc.symbol:ITPR1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:AK1	'AK1'	'hgnc.symbol:AK1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
