transition,old_release,new_release,channel,common_nodes,possible_pairs,edges_old,edges_new,pairs_gained,pairs_lost,zeros_old,pct_decreased_zeros,lambda
9_1->11_0,9_1,11_0,neighborhood,1932,1865346,42993,116893,83912,10012,1822353,4.604596365248665,0.1
9_1->11_0,9_1,11_0,fusion,936,437580,997,1443,878,432,436583,0.2011072350503799,1.0
9_1->11_0,9_1,11_0,cooccurence,1121,627760,2355,4104,2211,462,625405,0.35353091196904407,1.0
9_1->11_0,9_1,11_0,coexpression,5437,14777766,310657,545342,361493,126808,14467109,2.498723138119717,0.1
9_1->11_0,9_1,11_0,experimental,5884,17307786,219076,392408,270424,97092,17088710,1.5824717020769854,0.1
9_1->11_0,9_1,11_0,database,2455,3012285,30207,29711,9935,10431,2982078,0.33315694626364567,1.0
11_0->12_0,11_0,12_0,neighborhood,1938,1876953,114332,125863,60185,48654,1762621,3.414517357957269,0.1
11_0->12_0,11_0,12_0,fusion,2172,2357706,3685,8717,6716,1684,2354021,0.28529906912470193,1.0
11_0->12_0,11_0,12_0,cooccurence,1084,586986,3768,2787,133,1114,583218,0.022804508777163942,1.0
11_0->12_0,11_0,12_0,coexpression,5615,15761305,553146,927528,572406,198024,15208159,3.763808624041871,0.1
11_0->12_0,11_0,12_0,experimental,5924,17543926,392090,819192,523686,96584,17151836,3.0532358168536593,0.1
11_0->12_0,11_0,12_0,database,2954,4361581,42746,46387,20345,16704,4318835,0.47107611196074867,1.0
