project,run_id,name,state,created_at,model/num_go_terms,model/num_subsystems,model/params_total,model/params_dcell,model/params_dcell_linear,model/params_subsystems
torchcell_006-kuzmin-tmi_dcell,dttu9dx2,run_compute-5-7-1921740_312423c94deffc4b4513b5b74e6c88dd1c6c019db547eec9689eeed078706cde,finished,2025-09-06T12:52:13Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
torchcell_006-kuzmin-tmi_dcell,obr9nmy9,run_compute-5-7-1921740_312423c94deffc4b4513b5b74e6c88dd1c6c019db547eec9689eeed078706cde,finished,2025-09-06T12:52:20Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
torchcell_006-kuzmin-tmi_dcell,tjmmnyoy,run_compute-5-7-1921740_312423c94deffc4b4513b5b74e6c88dd1c6c019db547eec9689eeed078706cde,finished,2025-09-06T12:52:28Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
torchcell_006-kuzmin-tmi_dcell,x69dyevg,run_compute-5-7-1921740_312423c94deffc4b4513b5b74e6c88dd1c6c019db547eec9689eeed078706cde,finished,2025-09-06T12:52:35Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
torchcell_006-kuzmin-tmi_dcell,c7248f86,run_compute-5-7-1922684_944a22e8933d111d5d8539f9e3ef5983a5ea173e9f3a6a58619fa08980e49b59,finished,2025-09-07T01:15:31Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
torchcell_006-kuzmin-tmi_dcell,eni948by,run_compute-5-7-1922684_944a22e8933d111d5d8539f9e3ef5983a5ea173e9f3a6a58619fa08980e49b59,finished,2025-09-07T01:15:37Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
torchcell_006-kuzmin-tmi_dcell,fy516knk,run_compute-5-7-1922684_944a22e8933d111d5d8539f9e3ef5983a5ea173e9f3a6a58619fa08980e49b59,finished,2025-09-07T01:15:43Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
torchcell_006-kuzmin-tmi_dcell,lrudrans,run_compute-5-7-1922684_944a22e8933d111d5d8539f9e3ef5983a5ea173e9f3a6a58619fa08980e49b59,finished,2025-09-07T01:15:49Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
torchcell_005-kuzmin2018-tmi_dcell,yxl6x4a7,run_M1-MV.local-43b37ac5-8509-47fa-86df-1eb9e2cc41bc_297eb44f453e8684b24c0625cd5151f9384274d69d1ffc36ba55cc5b7783215a,failed,2025-05-16T02:01:13Z,,,,,,
torchcell_005-kuzmin2018-tmi_dcell,mkl9q289,run_M1-MV.local-89ba0386-1bae-4c99-a280-8258e416a369_434d4e96a6f1cdfdaafd07f6fed1edca2fb30907162c79969dd040f002625ff3,failed,2025-05-16T02:05:02Z,,,,,,
torchcell_005-kuzmin2018-tmi_dcell,z6g5v5x2,run_M1-MV.local-7001403a-68d0-4db0-bfc7-5ba878d093a4_434d4e96a6f1cdfdaafd07f6fed1edca2fb30907162c79969dd040f002625ff3,failed,2025-05-16T02:10:03Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,nhxhcyxr,run_M1-MV.local-7bd1f30a-74eb-475c-8893-908444a17311_434d4e96a6f1cdfdaafd07f6fed1edca2fb30907162c79969dd040f002625ff3,failed,2025-05-16T02:29:34Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,xvyokdnp,run_M1-MV.local-6b1e95e8-1d12-4e2c-b226-069523669164_434d4e96a6f1cdfdaafd07f6fed1edca2fb30907162c79969dd040f002625ff3,failed,2025-05-16T02:30:58Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,mipw85c0,run_M1-MV.local-0159a537-276e-401e-afd2-28793734147a_434d4e96a6f1cdfdaafd07f6fed1edca2fb30907162c79969dd040f002625ff3,failed,2025-05-16T02:32:03Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,n5723acl,run_M1-MV.local-d6424081-8d5a-484c-9d01-81919aad44e1_434d4e96a6f1cdfdaafd07f6fed1edca2fb30907162c79969dd040f002625ff3,failed,2025-05-16T02:42:10Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,2cnptzr6,run_M1-MV.local-2592846a-1d9a-4f0c-9682-120435b9b9fc_434d4e96a6f1cdfdaafd07f6fed1edca2fb30907162c79969dd040f002625ff3,failed,2025-05-16T02:44:39Z,0.0,0.0,0.0,0.0,0.0,0.0
