term,gene
GO:0000001,YDL006W
GO:0000001,YDL029W
GO:0000001,YDR150W
GO:0000001,YGL055W
GO:0000001,YGR132C
GO:0000001,YGR231C
GO:0000001,YHR194W
GO:0000001,YIL062C
GO:0000001,YML104C
GO:0000001,YMR072W
GO:0000001,YOL009C
GO:0000001,YOR147W
GO:0000001,YPR083W
GO:0000002,YAL010C
GO:0000002,YBR163W
GO:0000002,YBR192W
GO:0000002,YCR028C-A
GO:0000002,YDL142C
GO:0000002,YDL198C
GO:0000002,YDR065W
GO:0000002,YDR077W
GO:0000002,YDR296W
GO:0000002,YFL016C
GO:0000002,YFL036W
GO:0000002,YGL219C
GO:0000002,YGR144W
GO:0000002,YGR150C
GO:0000002,YHR031C
GO:0000002,YHR120W
GO:0000002,YIR021W
GO:0000002,YJL102W
GO:0000002,YJL112W
GO:0000002,YJR118C
GO:0000002,YJR144W
GO:0000002,YKL011C
GO:0000002,YLL006W
GO:0000002,YLR091W
GO:0000002,YLR259C
GO:0000002,YLR304C
GO:0000002,YML061C
GO:0000002,YMR072W
GO:0000002,YMR211W
GO:0000002,YMR302C
GO:0000002,YNL213C
GO:0000002,YOL009C
GO:0000002,YOL095C
GO:0000002,YOR211C
GO:0000002,YOR330C
GO:0000002,YPR100W
GO:0000002,YPR116W
GO:0000009,YDR245W
GO:0000009,YEL036C
GO:0000009,YGL038C
GO:0000009,YJL183W
GO:0000009,YJR075W
GO:0000009,YML115C
GO:0000009,YNR030W
GO:0000009,YPL050C
GO:0000011,YBR097W
GO:0000011,YCL063W
GO:0000011,YDR323C
GO:0000011,YDR495C
GO:0000011,YEL013W
GO:0000011,YFL039C
GO:0000011,YGL095C
GO:0000011,YGR209C
GO:0000011,YLR043C
GO:0000011,YML001W
GO:0000011,YML097C
GO:0000011,YNL054W
GO:0000011,YOR036W
GO:0000011,YOR089C
GO:0000011,YOR326W
GO:0000014,YGL175C
GO:0000014,YGR258C
GO:0000014,YHR164C
GO:0000014,YJL208C
GO:0000014,YKR056W
GO:0000014,YML095C
GO:0000014,YMR224C
GO:0000014,YPL022W
GO:0000015,YGR254W
GO:0000015,YHR174W
GO:0000015,YMR323W
GO:0000015,YOR393W
GO:0000015,YPL281C
GO:0000018,YLR234W
GO:0000019,YER171W
GO:0000019,YIL143C
GO:0000019,YNL088W
GO:0000019,YOL006C
GO:0000022,YBL031W
GO:0000022,YBL063W
GO:0000022,YDL064W
GO:0000022,YDR356W
GO:0000022,YEL061C
GO:0000022,YFL037W
GO:0000022,YGR140W
GO:0000022,YHR127W
GO:0000022,YJR089W
GO:0000022,YKR088C
GO:0000023,YBR297W
GO:0000023,YBR298C
GO:0000023,YBR299W
GO:0000023,YDL247W
GO:0000023,YGR287C
GO:0000023,YGR288W
GO:0000023,YGR289C
GO:0000023,YGR292W
GO:0000023,YIL172C
GO:0000023,YJL216C
GO:0000023,YJL221C
GO:0000023,YJR160C
GO:0000023,YKL048C
GO:0000023,YOL157C
GO:0000025,YBR299W
GO:0000025,YGR287C
GO:0000025,YGR292W
GO:0000025,YIL172C
GO:0000025,YJL216C
GO:0000025,YJL221C
GO:0000025,YOL157C
GO:0000026,YBR015C
GO:0000026,YBR199W
GO:0000026,YBR205W
GO:0000026,YDR483W
GO:0000026,YGL142C
GO:0000026,YIL085C
GO:0000026,YJL139C
GO:0000026,YJL186W
GO:0000026,YKR061W
GO:0000026,YNL029C
GO:0000026,YNL048W
GO:0000026,YNL219C
GO:0000026,YOR099W
GO:0000026,YOR149C
GO:0000026,YPL053C
GO:0000027,YCR072C
GO:0000027,YDR060W
GO:0000027,YDR312W
GO:0000027,YDR418W
GO:0000027,YEL054C
GO:0000027,YEL055C
GO:0000027,YFL002C
GO:0000027,YGL099W
GO:0000027,YGR085C
GO:0000027,YHL001W
GO:0000027,YHR066W
GO:0000027,YHR085W
GO:0000027,YHR197W
GO:0000027,YIL110W
GO:0000027,YIL148W
GO:0000027,YIR012W
GO:0000027,YKL006W
GO:0000027,YKL009W
GO:0000027,YKL021C
GO:0000027,YKR081C
GO:0000027,YKR094C
GO:0000027,YLL008W
GO:0000027,YLR075W
GO:0000027,YLR106C
GO:0000027,YLR221C
GO:0000027,YLR340W
GO:0000027,YLR448W
GO:0000027,YML073C
GO:0000027,YNL182C
GO:0000027,YOL077C
GO:0000027,YOL080C
GO:0000027,YOL127W
GO:0000027,YOR063W
GO:0000027,YPL131W
GO:0000027,YPL143W
GO:0000027,YPL146C
GO:0000027,YPL193W
GO:0000027,YPR102C
GO:0000028,YBR048W
GO:0000028,YCL031C
GO:0000028,YCR031C
GO:0000028,YCR057C
GO:0000028,YDR025W
GO:0000028,YDR447C
GO:0000028,YGR159C
GO:0000028,YGR214W
GO:0000028,YHR021C
GO:0000028,YJL191W
GO:0000028,YJR113C
GO:0000028,YJR123W
GO:0000028,YKL156W
GO:0000028,YLR048W
GO:0000028,YLR167W
GO:0000028,YLR264W
GO:0000028,YML024W
GO:0000028,YNL302C
GO:0000028,YNR037C
GO:0000028,YOL040C
GO:0000028,YOL121C
GO:0000028,YOR167C
GO:0000028,YOR369C
GO:0000030,YAL023C
GO:0000030,YBL082C
GO:0000030,YBR004C
GO:0000030,YBR015C
GO:0000030,YBR110W
GO:0000030,YBR161W
GO:0000030,YBR199W
GO:0000030,YBR205W
GO:0000030,YCL052C
GO:0000030,YDL093W
GO:0000030,YDL095W
GO:0000030,YDR307W
GO:0000030,YDR483W
GO:0000030,YER001W
GO:0000030,YGL142C
GO:0000030,YGL257C
GO:0000030,YGR199W
GO:0000030,YIL014W
GO:0000030,YIL085C
GO:0000030,YJL139C
GO:0000030,YJL186W
GO:0000030,YJR013W
GO:0000030,YJR143C
GO:0000030,YKR061W
GO:0000030,YNL029C
GO:0000030,YNL158W
GO:0000030,YNL219C
GO:0000030,YNR030W
GO:0000030,YNR059W
GO:0000030,YOR099W
GO:0000030,YOR149C
GO:0000030,YOR321W
GO:0000030,YPL053C
GO:0000030,YPL057C
GO:0000032,YBR199W
