child,parent
GO:0000001,GO:0008150
GO:0000002,GO:0007005
GO:0000009,GO:0000030
GO:0000011,GO:0007033
GO:0000014,GO:0004520
GO:0000015,GO:0005575
GO:0000018,GO:0008150
GO:0000019,GO:0000018
GO:0000022,GO:0051231
GO:0000023,GO:0008150
GO:0000025,GO:0000023
GO:0000025,GO:0046352
GO:0000026,GO:0000030
GO:0000027,GO:0022618
GO:0000028,GO:0022618
GO:0000030,GO:0016758
GO:0000032,GO:0008150
GO:0000033,GO:0000030
GO:0000038,GO:0006631
GO:0000041,GO:0030001
GO:0000045,GO:1905037
GO:0000049,GO:0003723
GO:0000054,GO:0031503
GO:0000054,GO:0033750
GO:0000054,GO:0051168
GO:0000054,GO:0051656
GO:0000055,GO:0000054
GO:0000056,GO:0000054
GO:0000070,GO:0000819
GO:0000076,GO:0008150
GO:0000077,GO:0042770
GO:0000082,GO:0044772
GO:0000086,GO:0044772
GO:0000096,GO:0006790
GO:0000096,GO:0019752
GO:0000097,GO:0000096
GO:0000097,GO:0044272
GO:0000097,GO:0046394
GO:0000103,GO:0006790
GO:0000104,GO:0016627
GO:0000105,GO:0009073
GO:0000109,GO:0005575
GO:0000112,GO:0000109
GO:0000113,GO:0000109
GO:0000118,GO:0005575
GO:0000122,GO:0006357
GO:0000122,GO:0045892
GO:0000123,GO:0005575
GO:0000124,GO:0070461
GO:0000127,GO:0005575
GO:0000128,GO:0008150
GO:0000131,GO:0030427
GO:0000132,GO:0040001
GO:0000133,GO:0032991
GO:0000136,GO:0005575
GO:0000136,GO:0031501
GO:0000137,GO:0031985
GO:0000138,GO:0031985
GO:0000139,GO:0098588
GO:0000142,GO:0110085
GO:0000144,GO:0005575
GO:0000144,GO:0005940
GO:0000145,GO:0099023
GO:0000146,GO:0003774
GO:0000147,GO:0030866
GO:0000147,GO:0044396
GO:0000148,GO:1990234
GO:0000149,GO:0005515
GO:0000150,GO:0003674
GO:0000151,GO:1990234
GO:0000154,GO:0006364
GO:0000154,GO:0009451
GO:0000159,GO:0005575
GO:0000160,GO:0035556
GO:0000162,GO:0006568
GO:0000162,GO:0009073
GO:0000164,GO:0005575
GO:0000165,GO:0008150
GO:0000166,GO:0003674
GO:0000166,GO:1901363
GO:0000171,GO:0004521
GO:0000172,GO:0005732
GO:0000172,GO:1902555
GO:0000175,GO:0008408
GO:0000176,GO:0000178
GO:0000176,GO:0005575
GO:0000177,GO:0000178
GO:0000178,GO:0005575
