gene,n_terms
Q0010,4
Q0017,4
Q0032,4
Q0045,11
Q0050,4
Q0055,11
Q0060,14
Q0065,13
Q0070,13
Q0075,7
Q0080,9
Q0085,9
Q0092,4
Q0105,11
Q0110,13
Q0115,15
Q0120,11
Q0130,11
Q0140,8
Q0142,4
Q0143,4
Q0144,4
Q0160,7
Q0182,4
Q0250,11
Q0255,4
Q0275,11
Q0297,4
YAL001C,11
YAL002W,19
YAL003W,7
YAL004W,3
YAL005C,25
YAL007C,13
YAL008W,5
YAL009W,12
YAL010C,14
YAL011W,7
YAL012W,7
YAL013W,16
YAL014C,15
YAL015C,15
YAL016C-A,4
YAL016C-B,3
YAL016W,11
YAL017W,13
YAL018C,7
YAL019W,25
YAL019W-A,3
YAL020C,8
YAL021C,18
YAL022C,6
YAL023C,10
YAL024C,8
YAL025C,10
YAL026C,23
YAL026C-A,4
YAL027W,4
YAL028W,7
YAL029C,22
YAL030W,18
YAL031C,4
YAL031W-A,4
YAL032C,10
YAL033W,15
YAL034C,12
YAL034C-B,3
YAL034W-A,16
YAL035W,22
YAL036C,7
YAL037C-A,3
YAL037C-B,3
YAL037W,3
YAL038W,14
YAL039C,6
YAL040C,12
YAL041W,18
YAL042C-A,4
YAL042W,11
YAL043C,6
YAL044C,6
YAL044W-A,3
YAL045C,3
YAL046C,3
YAL047C,14
YAL047W-A,4
YAL048C,17
YAL049C,4
YAL051W,11
YAL053W,10
YAL054C,12
YAL055W,9
YAL056C-A,3
YAL056W,5
YAL058W,8
YAL059C-A,4
YAL059W,7
YAL060W,5
YAL061W,7
YAL062W,7
YAL063C,6
YAL063C-A,3
YAL064C-A,3
YAL064W,3
YAL064W-B,4
YAL065C,4
YAL066W,3
YAL067C,4
YAL067W-A,3
YAL068C,6
YAL068W-A,3
YAL069W,3
YAR002C-A,14
YAR002W,23
YAR003W,8
YAR007C,26
YAR008W,12
YAR014C,16
YAR015W,7
YAR018C,14
YAR019C,18
YAR019W-A,3
YAR020C,3
YAR023C,4
YAR027W,8
YAR028W,9
YAR029W,4
YAR030C,3
YAR031W,6
YAR033W,11
YAR035C-A,3
YAR035W,8
YAR042W,27
YAR047C,4
YAR050W,8
YAR053W,4
YAR060C,3
YAR064W,4
YAR066W,6
YAR068W,3
YAR069C,4
YAR070C,3
YAR071W,7
YAR073W,10
YAR075W,6
YBL001C,5
YBL002W,9
YBL003C,11
YBL004W,14
YBL005W,11
YBL006C,7
YBL006W-A,3
YBL007C,21
YBL008W,12
YBL008W-A,4
YBL009W,17
YBL010C,5
YBL011W,9
YBL012C,3
YBL013W,7
YBL014C,7
YBL015W,5
YBL016W,23
YBL017C,14
YBL018C,11
YBL019W,14
YBL020W,5
YBL021C,13
YBL022C,19
YBL023C,29
YBL024W,13
YBL025W,6
YBL026W,19
YBL027W,8
YBL028C,5
YBL029C-A,4
YBL029W,4
YBL030C,16
YBL031W,12
YBL032W,15
YBL033C,10
YBL034C,19
YBL035C,9
YBL036C,5
YBL037W,13
YBL038W,8
YBL039C,11
YBL039C-A,3
YBL039W-B,3
YBL040C,8
YBL041W,11
YBL042C,8
YBL043W,4
YBL044W,3
YBL045C,9
YBL046W,3
YBL047C,14
YBL048W,4
YBL049W,4
YBL050W,12
YBL051C,7
YBL052C,18
YBL053W,4
YBL054W,9
YBL055C,8
YBL056W,8
YBL057C,6
YBL058W,14
YBL059C-A,9
YBL059W,5
YBL060W,10
YBL061C,5
YBL062W,4
YBL063W,21
YBL064C,11
YBL065W,3
YBL066C,12
YBL067C,9
YBL068W,15
YBL068W-A,3
YBL069W,10
YBL070C,4
YBL071C,4
YBL071C-B,3
YBL071W-A,10
YBL072C,8
YBL073W,3
YBL074C,7
YBL075C,14
YBL076C,13
YBL077W,3
YBL078C,28
YBL079W,19
YBL080C,8
YBL081W,3
YBL082C,7
YBL083C,3
YBL084C,9
YBL085W,14
YBL086C,3
YBL087C,8
YBL088C,23
YBL089W,16
YBL090W,8
YBL091C,10
YBL091C-A,6
YBL092W,7
YBL093C,10
YBL094C,4
YBL095W,4
YBL096C,3
YBL097W,11
YBL098W,14
YBL099W,14
YBL100C,4
