phase,subphase,label,cpu_ms,share,batch_size,step_cpu_ms,step_wall_s,step_wall_s_profiled,aten_total,aten_leaf,leaf_forward,leaf_loss,leaf_backward,leaf_clip_grad,leaf_optimizer,distinct_ops,torch_version,cpu_model,num_threads,python_version,date,params_total,subsystems,dtype,device
gather,,"Gene-state gather (per term, per strain)",531.8656399999948,0.17072880475789542,8,3115.2659960000005,2.222040346978853,12.354055333184078,1198872,644603,205057,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
concat,,Child-output concatenation,41.80733400000486,0.013420149051055494,8,3115.2659960000005,2.222040346978853,12.354055333184078,1198872,644603,205057,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
subsystem,,"Subsystems: Linear, BatchNorm, tanh",626.8743629999997,0.20122659310790986,8,3115.2659960000005,2.222040346978853,12.354055333184078,1198872,644603,205057,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
heads,,Root and auxiliary heads,57.66662600000194,0.018510979824530507,8,3115.2659960000005,2.222040346978853,12.354055333184078,1198872,644603,205057,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
loop,,Forward loop overhead (Python),83.49051899999887,0.02680044628843914,8,3115.2659960000005,2.222040346978853,12.354055333184078,1198872,644603,205057,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
loss,,"Loss (root + 2,654 auxiliary MSEs)",51.8016540000001,0.016628324536817528,8,3115.2659960000005,2.222040346978853,12.354055333184078,1198872,644603,205057,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
backward,,Backward,902.2995660000001,0.2896380492576082,8,3115.2659960000005,2.222040346978853,12.354055333184078,1198872,644603,205057,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
clip,,Gradient clipping,143.11638899999997,0.04594034319501491,8,3115.2659960000005,2.222040346978853,12.354055333184078,1198872,644603,205057,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
optimizer,,AdamW step and zero_grad,676.3439050000003,0.2171063099807289,8,3115.2659960000005,2.222040346978853,12.354055333184078,1198872,644603,205057,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
subsystem,aten::linear,aten::linear,47.83789000000091,0.01535595678231802,8,3115.2659960000005,2.222040346978853,12.354055333184078,1198872,644603,205057,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
subsystem,aten::batch_norm,aten::batch_norm,477.69986300000227,0.15334159703003486,8,3115.2659960000005,2.222040346978853,12.354055333184078,1198872,644603,205057,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
subsystem,aten::tanh,aten::tanh,13.91673300000163,0.00446726957437044,8,3115.2659960000005,2.222040346978853,12.354055333184078,1198872,644603,205057,23915,110297,66384,238950,67,2.14.0,Apple M1 Max,8,3.13.15,2026-09-04,20613037,2655,float32,cpu
