epoch,_step,_runtime,_timestamp,trainer/global_step,learning_rate,val/loss,val/gene_interaction/Pearson,val/gene_interaction/MSE,val_sample/Pearson_target_0,train_loss_epoch_mean
0.0,43,3689.479106777,1765604290.3951793,294.0,,163683.734375,0.00817068014293909,0.003964303061366081,,163810.91163793104
1.0,85,7063.601994338,1765607664.5180256,589.0,,13151.7060546875,0.3491959869861603,0.003478767815977335,,43323.5978515625
2.0,126,10443.691060048,1765611044.607244,884.0,,9660.763671875,0.3845204710960388,0.003376992419362068,,11204.004781788793
3.0,168,13819.580800786,1765614420.4969277,1179.0,,8465.4794921875,0.39932185411453247,0.0033511521760374308,,9066.925553385418
4.0,209,17198.870390051,1765617799.7865515,1474.0,,7779.8466796875,0.4059317409992218,0.0033113565295934677,,8191.106950431034
5.0,251,20575.006470309,1765621175.922642,1769.0,,7325.208984375,0.4077179431915283,0.003313899040222168,,7641.520166015625
6.0,292,23950.271103802,1765624551.187037,2064.0,,6951.60400390625,0.4133955240249634,0.003282497636973858,,7189.533001077586
7.0,334,27325.146889234,1765627926.0628784,2359.0,,6782.4267578125,0.42251184582710266,0.0032551877666264772,,6918.656510416667
8.0,375,30704.793059094,1765631305.7091622,2654.0,,6645.9853515625,0.4200969636440277,0.003267464926466346,,6755.702518857759
9.0,430,35377.463782168,1765635978.3797264,2949.0,,6505.759765625,0.42648300528526306,0.003289512824267149,,6607.112434895834
10.0,471,38752.793913104,1765639353.7100573,3244.0,,6383.23046875,0.4276972711086273,0.0032844117376953363,,6466.582889951509
11.0,513,42129.39320906,1765642730.30924,3539.0,,6319.0556640625,0.41933587193489075,0.0032818210311233997,,6374.53134765625
12.0,554,45504.42234063,1765646105.338398,3834.0,,6198.16796875,0.4352955222129822,0.0032482666429132223,,6275.118517645474
13.0,596,48885.221895738,1765649486.137866,4129.0,,6141.48486328125,0.431410551071167,0.0032297915313392878,,6198.662093098958
14.0,637,52259.207275507,1765652860.1234372,4424.0,,6077.93798828125,0.43103036284446716,0.00324034015648067,,6132.9413052262935
15.0,679,55635.553723909,1765656236.4698324,4719.0,,6023.5146484375,0.4381343126296997,0.0032546082511544228,,6063.843912760417
16.0,720,59013.535375683,1765659614.4515154,5014.0,,5979.02197265625,0.4329969882965088,0.003286586608737707,,6023.781384698276
17.0,762,62388.124191488,1765662989.0401647,5309.0,,5917.390625,0.44294971227645874,0.003276600269600749,,5971.589306640625
18.0,803,65762.601931225,1765666363.5180924,5604.0,,5885.96826171875,0.4441884458065033,0.0032074071932584047,,5927.850552262931
19.0,858,70448.420610963,1765671049.3365083,5899.0,,5924.1103515625,0.4485376179218292,0.00320219318382442,,5888.951285807291
20.0,899,73826.627728763,1765674427.5438604,6194.0,,5823.6201171875,0.44351622462272644,0.0032234000973403454,,5863.791066136853
21.0,941,77202.887151292,1765677803.803166,6489.0,,5809.82421875,0.44862058758735657,0.003196865553036332,,5834.238102213541
