epoch,_step,_runtime,_timestamp,trainer/global_step,learning_rate,val/loss,val/gene_interaction/Pearson,val/gene_interaction/MSE,val_sample/Pearson_target_0,train_loss_epoch_mean
0.0,43,3695.369599971,1765604296.2860312,294.0,,163640.34375,0.026625240221619606,0.004059882834553719,,163715.4962284483
1.0,85,7103.228720759,1765607704.1451912,589.0,,12550.7314453125,0.29090407490730286,0.0036361240781843662,,41928.40074869792
2.0,126,10505.22829571,1765611106.144612,884.0,,9547.1083984375,0.3882747292518616,0.003366717603057623,,10884.124225484913
3.0,168,13895.964302212,1765614496.880638,1179.0,,8324.1435546875,0.4010653793811798,0.0033424333669245243,,8938.871158854166
4.0,209,17286.527704402,1765617887.4440908,1474.0,,7678.66748046875,0.4078729748725891,0.0033048668410629034,,8030.841594827586
5.0,251,20677.839425195,1765621278.7554367,1769.0,,7278.6767578125,0.40925532579421997,0.003312044544145465,,7544.379215494791
6.0,292,24067.348982136,1765624668.265401,2064.0,,6906.90478515625,0.4195225238800049,0.0032729674130678177,,7132.347588900862
7.0,334,27451.98317061,1765628052.8996909,2359.0,,6751.92236328125,0.42513906955718994,0.003246420295909047,,6889.245475260416
8.0,375,30839.385365655,1765631440.301791,2654.0,,6613.57080078125,0.4232806861400604,0.0032719115260988474,,6729.474659886853
9.0,430,35618.462753495,1765636219.3790634,2949.0,,6464.1689453125,0.42571932077407837,0.003296415088698268,,6573.520100911458
10.0,471,39003.582991036,1765639604.4994502,3244.0,,6373.37744140625,0.42981189489364624,0.0032583295833319426,,6454.231596848061
11.0,513,42388.405723558,1765642989.322241,3539.0,,6280.65380859375,0.4195462465286255,0.003277543466538191,,6360.785107421875
12.0,554,45773.148182107,1765646374.0644915,3834.0,,6191.57275390625,0.43289434909820557,0.003258775221183896,,6257.370319234914
13.0,596,49156.443004323,1765649757.359418,4129.0,,6113.220703125,0.4230160117149353,0.0032520198728889227,,6178.004052734375
14.0,637,52540.800343161,1765653141.7167068,4424.0,,6063.458984375,0.4385775625705719,0.003218271303921938,,6116.531856142241
15.0,679,55925.742997967,1765656526.6588807,4719.0,,6003.36181640625,0.44184213876724243,0.003221485996618867,,6060.700520833333
16.0,720,59309.135055225,1765659910.05146,5014.0,,5954.89013671875,0.42884549498558044,0.003313942812383175,,6009.902091190733
17.0,762,62690.41457176,1765663291.3309584,5309.0,,5939.59765625,0.4434203505516052,0.003220736514776945,,5967.867578125
