model,project,run_id,slurm_job,ddp_rank,role,dataset_build,state,created_at,runtime_s,last_step,devices,strategy,precision,max_epochs,batch_size_per_gpu,num_workers,lr,lr_scheduler_min_lr,use_auxiliary_losses,aux_alpha,checkpoint_path,params_total,num_go_terms,summary_val_pearson,summary_test_pearson,tags
DCell,torchcell_006-kuzmin-tmi_dcell,eni948by,1922684,0.0,train,006,finished,2025-09-07T01:15:37Z,2663329.198814214,7036,4,ddp,bf16-mixed,1000,600,10,0.001,0.001,True,0.3,,20613037.0,2655.0,0.03812548518180847,,
DCell,torchcell_006-kuzmin-tmi_dcell,lrudrans,1922684,,train,006,finished,2025-09-07T01:15:49Z,2656980.74382268,2664,4,ddp,bf16-mixed,1000,600,10,0.001,0.001,True,0.3,,20613037.0,2655.0,,,
DCell,torchcell_006-kuzmin-tmi_dcell,fy516knk,1922684,,train,006,finished,2025-09-07T01:15:43Z,2656980.353993453,2664,4,ddp,bf16-mixed,1000,600,10,0.001,0.001,True,0.3,,20613037.0,2655.0,,,
DCell,torchcell_006-kuzmin-tmi_dcell,c7248f86,1922684,,train,006,finished,2025-09-07T01:15:31Z,2656980.407585951,2664,4,ddp,bf16-mixed,1000,600,10,0.001,0.001,True,0.3,,20613037.0,2655.0,,,
DCell,torchcell_006-kuzmin-tmi_dcell,x69dyevg,1921740,0.0,train,006,finished,2025-09-06T12:52:35Z,83890.669705594,214,4,ddp,bf16-mixed,1000,600,10,0.001,0.001,False,0.3,,20613037.0,2655.0,-0.005741656292229891,,
DCell,torchcell_006-kuzmin-tmi_dcell,tjmmnyoy,1921740,,train,006,finished,2025-09-06T12:52:28Z,81644.144581963,80,4,ddp,bf16-mixed,1000,600,10,0.001,0.001,False,0.3,,20613037.0,2655.0,,,
DCell,torchcell_006-kuzmin-tmi_dcell,obr9nmy9,1921740,,train,006,finished,2025-09-06T12:52:20Z,81644.239234935,80,4,ddp,bf16-mixed,1000,600,10,0.001,0.001,False,0.3,,20613037.0,2655.0,,,
DCell,torchcell_006-kuzmin-tmi_dcell,dttu9dx2,1921740,,train,006,finished,2025-09-06T12:52:13Z,81644.210993289,80,4,ddp,bf16-mixed,1000,600,10,0.001,0.001,False,0.3,,20613037.0,2655.0,,,
DCell,torchcell_005-kuzmin2018-tmi_dcell,biucpv7p,1811673,0.0,train,005,finished,2025-06-13T04:42:21Z,2522563.393449549,2469,4,ddp,32-true,500,256,8,0.001,0.001,False,0.3,,20613037.0,2655.0,0.2261971086263657,,
CGT,torchcell_010-kuzmin-tmi_equivariant_cell_graph_transformer,lzs9pcj3,2027905,0.0,train,010,finished,2025-12-14T02:19:33Z,227502.663802941,2773,4,ddp,bf16-mixed,600,256,14,0.0001,1e-07,,,,4774861.0,,0.4428073763847351,,parity_wasserstein
CGT,torchcell_010-kuzmin-tmi_equivariant_cell_graph_transformer,yv4r30bi,2027907,0.0,train,010,finished,2025-12-14T02:20:34Z,227564.675732779,2764,4,ddp,bf16-mixed,600,256,14,0.0001,1e-07,,,,4774861.0,,0.4312470555305481,,parity_wasserstein
CGT,torchcell_010-kuzmin-tmi_equivariant_cell_graph_transformer,c7671wgj,2036902,0.0,train,010,finished,2025-12-15T22:01:05Z,172252.351100196,2095,4,ddp,bf16-mixed,600,256,14,0.0001,1e-07,,,,4774861.0,,0.4571880102157593,,parity_wasserstein
CGT,torchcell_010-kuzmin-tmi_equivariant_cell_graph_transformer,leodrxht,2027905,0.0,eval,010,finished,2026-01-08T00:51:27Z,4840.0,25,1,auto,bf16-mixed,1,256,16,0.0001,1e-07,,,models/checkpoints/compute-3-3-2027905_a1260b50c3d74b6b7acea919b89416feb6fc957b3023c9ac866f90378df82625/lzs9pcj3-best-pearson-epoch=24-val/gene_interaction/Pearson=0.4520.ckpt,,,0.4519626200199127,0.44344866275787354,evaluation;full_dataset
CGT,torchcell_010-kuzmin-tmi_equivariant_cell_graph_transformer,cvu2ryfw,2027907,0.0,eval,010,finished,2026-01-09T16:53:20Z,4907.0,25,1,auto,bf16-mixed,1,256,16,0.0001,1e-07,,,models/checkpoints/compute-3-3-2027907_a1260b50c3d74b6b7acea919b89416feb6fc957b3023c9ac866f90378df82625/yv4r30bi-best-pearson-epoch=25-val/gene_interaction/Pearson=0.4472.ckpt,,,0.447154700756073,0.4379381537437439,evaluation;full_dataset
CGT,torchcell_010-kuzmin-tmi_equivariant_cell_graph_transformer,0psour3n,2036902,0.0,eval,010,finished,2026-01-08T02:12:34Z,4872.0,25,1,auto,bf16-mixed,1,256,16,0.0001,1e-07,,,models/checkpoints/compute-3-3-2036902_bd9e6c666ea1c0e7d1bbb6321fbc4d3bd5f60f100d6dc0e0288cd97e366fc15e/c7671wgj-best-pearson-epoch=24-val/gene_interaction/Pearson=0.4619.ckpt,,,0.46188127994537354,0.4551418423652649,evaluation;full_dataset
DANGO,torchcell_006-kuzmin2018-tmi_dango,014mprap,1941704,0.0,train,006,finished,2025-09-25T16:53:03Z,214111.740702834,214700,2,ddp,32-true,1000,64,8,1e-05,1e-09,,,,3138270.0,,0.2973770499229431,,
DANGO,torchcell_006-kuzmin2018-tmi_dango,9jpfy547,1940775,0.0,train,006,finished,2025-09-23T01:20:43Z,234787.638695355,214700,2,ddp,32-true,1000,64,8,1e-05,1e-09,,,,3138270.0,,0.33091118931770325,,
