gene,in_ohya_morphology,in_kemmeren_responsive,in_sameith_doubles,in_expanded_metabolic,in_betaxanthin,is_tier1,overlap_score,is_essential,is_low_fitness,min_fitness,is_selected,selection_reason,num_sources
YAL002W,False,True,False,False,False,False,1,False,True,0.764,False,excluded_low_fitness,1
YAL005C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YAL008W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YAL009W,True,True,False,False,False,False,2,False,False,,True,score>=2,2
YAL011W,True,True,False,False,False,False,2,False,True,0.89,False,excluded_low_fitness,2
YAL012W,True,False,False,True,False,False,2,False,True,0.668,False,excluded_low_fitness,2
YAL013W,True,True,False,False,False,False,2,False,True,0.832,False,excluded_low_fitness,2
YAL015C,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YAL017W,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YAL018C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YAL019W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YAL020C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YAL021C,True,True,False,False,False,False,2,False,True,0.446,False,excluded_low_fitness,2
YAL022C,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YAL023C,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YAL024C,True,False,False,False,False,False,1,False,True,0.898,False,excluded_low_fitness,1
YAL026C,True,False,False,True,False,False,2,False,True,0.692,False,excluded_low_fitness,2
YAL031C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YAL034C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YAL035W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YAL036C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YAL037W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YAL038W,False,False,False,True,False,False,1,True,True,0.876,False,excluded_essential,1
YAL039C,True,False,False,True,False,False,2,False,True,0.7895,False,excluded_low_fitness,2
YAL040C,True,True,False,False,False,False,2,False,False,,True,score>=2,2
YAL044C,False,False,False,True,False,False,1,False,True,0.817,False,excluded_low_fitness,1
YAL046C,False,True,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YAL047C,True,False,False,False,False,False,1,True,False,,False,excluded_essential,1
YAL048C,True,False,False,False,False,False,1,False,True,0.8595,False,excluded_low_fitness,1
YAL051W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YAL053W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YAL054C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YAL055W,True,True,False,False,False,False,2,False,True,0.8713,False,excluded_low_fitness,2
YAL056W,True,True,False,False,False,False,2,False,False,,True,score>=2,2
YAL060W,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YAL061W,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
