gene,in_ohya_morphology,in_kemmeren_responsive,in_sameith_doubles,in_expanded_metabolic,is_essential,is_low_fitness,min_fitness,num_sources
YAL002W,True,True,False,False,False,True,0.764,2
YAL005C,True,False,False,False,False,False,,1
YAL009W,True,True,False,False,False,False,,2
YAL011W,True,True,False,False,False,True,0.89,2
YAL012W,True,False,False,True,False,True,0.668,2
YAL013W,True,True,False,False,False,True,0.832,2
YAL015C,False,False,False,True,False,False,,1
YAL017W,False,False,False,True,False,False,,1
YAL020C,True,False,False,False,False,False,,1
YAL021C,True,True,False,False,False,True,0.446,2
YAL022C,False,False,False,True,False,False,,1
YAL023C,False,False,False,True,False,False,,1
YAL024C,True,False,False,False,False,True,0.898,1
YAL026C,True,False,False,True,False,True,0.692,2
YAL035W,True,False,False,True,False,False,,2
YAL038W,False,False,False,True,True,True,0.876,1
YAL039C,True,False,False,True,False,True,0.7895,2
YAL040C,True,True,False,False,False,False,,2
YAL044C,False,False,False,True,False,True,0.817,1
YAL046C,False,True,False,False,False,False,,1
YAL047C,True,False,False,False,True,False,,1
YAL048C,True,False,False,False,False,True,0.8595,1
YAL051W,True,False,False,False,False,False,,1
YAL053W,True,False,False,False,False,False,,1
YAL054C,True,False,False,True,False,False,,2
YAL055W,False,True,False,False,False,True,0.8713,1
YAL056W,True,True,False,False,False,False,,2
YAL060W,False,False,False,True,False,False,,1
YAL061W,False,False,False,True,False,False,,1
YAL062W,False,False,False,True,False,False,,1
YAR002W,False,True,False,False,False,False,,1
YAR003W,True,True,False,False,False,True,0.8562,2
YAR014C,True,False,False,False,False,True,0.8862,1
YAR015W,True,False,False,True,False,False,,2
YAR018C,True,True,False,True,False,False,,3
YAR019C,False,False,False,True,True,True,0.5765,1
YAR029W,True,False,False,False,False,True,0.8395,1
YAR035W,True,False,False,True,False,False,,2
YAR071W,False,False,False,True,False,False,,1
YBL005W,False,True,False,False,False,False,,1
YBL006C,True,True,False,False,False,True,0.793,2
YBL007C,True,True,False,False,False,True,0.823,2
YBL008W,True,True,False,False,False,False,,2
YBL009W,False,False,False,True,False,False,,1
YBL011W,False,False,False,True,False,False,,1
YBL013W,False,False,False,True,False,False,,1
YBL015W,False,False,False,True,False,False,,1
YBL016W,True,True,False,True,False,False,,3
YBL019W,False,True,False,False,False,False,,1
YBL021C,True,True,False,False,False,True,0.8615,2
YBL024W,True,False,False,False,False,False,,1
YBL025W,True,False,False,False,False,False,,1
YBL030C,False,False,False,True,True,False,,1
YBL031W,True,False,False,False,False,True,0.8855,1
YBL032W,True,False,False,False,False,False,,1
YBL033C,False,False,False,True,False,False,,1
YBL039C,False,True,False,True,False,False,,2
YBL042C,False,False,False,True,False,False,,1
YBL045C,False,False,False,True,False,False,,1
YBL047C,True,True,False,False,False,False,,2
YBL051C,False,True,False,False,False,False,,1
YBL054W,True,False,True,False,False,False,,2
YBL057C,False,True,False,False,False,False,,1
YBL058W,True,False,False,False,False,True,0.773,1
YBL061C,True,False,False,False,False,False,,1
YBL062W,True,False,False,False,False,False,,1
YBL064C,False,False,False,True,False,False,,1
YBL067C,False,True,False,False,False,False,,1
YBL068W,False,False,False,True,False,False,,1
YBL076C,False,False,False,True,True,True,0.8097,1
YBL079W,True,True,False,False,False,True,0.495,2
YBL080C,False,True,False,True,False,True,0.466,2
YBL085W,True,False,False,False,False,False,,1
YBL087C,True,False,False,False,False,True,0.8485,1
YBL088C,True,True,False,True,False,False,,3
YBL089W,True,False,False,False,False,False,,1
YBL091C,False,False,False,True,False,False,,1
YBL094C,True,False,False,False,False,False,,1
YBL095W,True,False,False,False,False,False,,1
YBL098W,False,False,False,True,False,False,,1
YBL099W,True,False,False,True,False,False,,2
YBL102W,True,False,False,False,False,False,,1
YBL103C,False,True,False,False,False,True,0.6907,1
YBL105C,False,False,False,True,True,True,0.6228,1
YBL106C,True,False,False,False,False,False,,1
YBR001C,False,True,False,True,False,False,,2
YBR002C,False,False,False,True,True,False,,1
YBR003W,False,False,False,True,False,True,0.7405,1
YBR004C,False,False,False,True,True,False,,1
YBR005W,True,False,False,False,False,False,,1
YBR006W,False,False,False,True,False,False,,1
YBR009C,False,True,False,False,False,False,,1
YBR010W,False,True,False,False,False,False,,1
YBR011C,False,False,False,True,True,True,0.7187,1
YBR015C,True,False,False,False,False,False,,1
YBR018C,False,False,False,True,False,False,,1
YBR019C,False,False,False,True,False,False,,1
YBR020W,False,False,False,True,False,False,,1
YBR021W,True,False,False,True,False,False,,2
YBR022W,False,False,False,True,False,False,,1
YBR023C,True,False,False,True,False,False,,2
YBR026C,False,False,False,True,False,True,0.7155,1
YBR028C,False,True,False,True,False,False,,2
YBR029C,False,False,False,True,True,True,0.866,1
YBR034C,False,False,False,True,False,False,,1
YBR035C,False,False,False,True,False,True,0.4735,1
YBR036C,False,False,False,True,False,True,0.6325,1
YBR038W,False,False,False,True,True,False,,1
YBR039W,False,False,False,True,False,True,0.407,1
YBR040W,True,False,False,False,False,False,,1
YBR041W,False,False,False,True,False,False,,1
YBR042C,False,False,False,True,False,False,,1
YBR046C,False,False,False,True,False,False,,1
YBR048W,True,False,False,False,False,True,0.7287,1
YBR056W,False,False,False,True,False,False,,1
YBR057C,False,True,False,False,False,False,,1
YBR058C,False,True,False,False,False,False,,1
YBR058C-A,False,False,False,True,False,True,0.7349,1
YBR059C,False,False,False,True,False,False,,1
YBR066C,False,False,True,False,False,True,0.89521,1
YBR068C,False,False,False,True,False,False,,1
YBR069C,False,False,False,True,False,False,,1
YBR070C,False,False,False,True,True,True,0.7358,1
YBR078W,True,False,False,False,False,False,,1
YBR081C,True,True,False,False,False,False,,2
YBR082C,True,True,False,False,False,True,0.894,2
YBR083W,False,True,False,False,False,False,,1
YBR084C-A,True,False,False,False,False,True,0.722,1
