triple,order,order_idx,gene_1,gene_2,gene_3,f_base,f_single,f_double,f_triple,se_single,se_double,se_triple,n_single,n_double,n_triple,tau_multiplicative,monotone,monotone_within_se,min_rung,valley_depth
RPD3-SPT3-YAP6,RPD3>SPT3>YAP6,0,RPD3,SPT3,YAP6,1.0,0.5245219492978349,0.8701657519569723,0.49048006913665904,0.026794921037720753,0.028233570792598292,0.011035950622417646,3,3,3,-0.8405384408201078,False,False,0.49048006913665904,0.4754780507021651
RPD3-SPT3-YAP6,RPD3>YAP6>SPT3,1,RPD3,YAP6,SPT3,1.0,0.5245219492978349,0.8548333792880367,0.49048006913665904,0.026794921037720753,0.01830836136031523,0.011035950622417646,3,3,3,-0.8405384408201078,False,False,0.49048006913665904,0.4754780507021651
RPD3-SPT3-YAP6,SPT3>RPD3>YAP6,2,SPT3,RPD3,YAP6,1.0,0.8907531667337315,0.8701657519569723,0.49048006913665904,0.03756851678710308,0.028233570792598292,0.011035950622417646,3,3,3,-0.8405384408201078,False,False,0.49048006913665904,0.12983424804302768
RPD3-SPT3-YAP6,SPT3>YAP6>RPD3,3,SPT3,YAP6,RPD3,1.0,0.8907531667337315,1.192310560260906,0.49048006913665904,0.03756851678710308,0.024813738775024546,0.011035950622417646,3,3,3,-0.8405384408201078,False,False,0.49048006913665904,0.1092468332662685
RPD3-SPT3-YAP6,YAP6>RPD3>SPT3,4,YAP6,RPD3,SPT3,1.0,0.8684785485718481,0.8548333792880367,0.49048006913665904,0.01674239597127202,0.01830836136031523,0.011035950622417646,3,3,3,-0.8405384408201078,False,False,0.49048006913665904,0.1451666207119633
RPD3-SPT3-YAP6,YAP6>SPT3>RPD3,5,YAP6,SPT3,RPD3,1.0,0.8684785485718481,1.192310560260906,0.49048006913665904,0.01674239597127202,0.024813738775024546,0.011035950622417646,3,3,3,-0.8405384408201078,False,False,0.49048006913665904,0.13152145142815186
RPD3-TFC7-YAP6,RPD3>TFC7>YAP6,0,RPD3,TFC7,YAP6,1.0,0.5245219492978349,0.752175313782936,0.4967754412869396,0.026794921037720753,0.016946885046647278,0.013699541722572222,3,3,3,-0.7406107855146467,False,False,0.4967754412869396,0.4754780507021651
RPD3-TFC7-YAP6,RPD3>YAP6>TFC7,1,RPD3,YAP6,TFC7,1.0,0.5245219492978349,0.8548333792880367,0.4967754412869396,0.026794921037720753,0.01830836136031523,0.013699541722572222,3,3,3,-0.7406107855146467,False,False,0.4967754412869396,0.4754780507021651
RPD3-TFC7-YAP6,TFC7>RPD3>YAP6,2,TFC7,RPD3,YAP6,1.0,0.7776174288814431,0.752175313782936,0.4967754412869396,0.030850811617237003,0.016946885046647278,0.013699541722572222,3,3,3,-0.7406107855146467,False,False,0.4967754412869396,0.247824686217064
RPD3-TFC7-YAP6,TFC7>YAP6>RPD3,3,TFC7,YAP6,RPD3,1.0,0.7776174288814431,1.1970334696385558,0.4967754412869396,0.030850811617237003,0.023099073238032578,0.013699541722572222,3,3,3,-0.7406107855146467,False,False,0.4967754412869396,0.22238257111855686
