gene_id,gene_name,standard_name,is_core_pathway
YCR034W,YCR034W,ELO2,True
YDL052C,YDL052C,SLC1,True
YDL141W,YDL141W,YDL141W,False
YER015W,YER015W,FAA2,True
YGL055W,YGL055W,OLE1,True
YGL205W,YGL205W,POX1,True
YIL009W,YIL009W,FAA3,True
YJL196C,YJL196C,ELO1,True
YKL182W,YKL182W,FAS1,True
YKR089C,YKR089C,YKR089C,False
YLR372W,YLR372W,ELO3,True
YMR246W,YMR246W,FAA4,True
YNR016C,YNR016C,ACC1,True
YOR081C,YOR081C,YOR081C,False
YOR175C,YOR175C,YOR175C,False
YOR317W,YOR317W,FAA1,True
YPL231W,YPL231W,FAS2,True
