reaction_id,equation,reversible,subsystem,genes,gene_ids,num_metabolites
r_0109,s_0373 + s_0434 + s_0445 --> s_0394 + s_0794 + s_1101 + s_1322,False,Fatty acid biosynthesis,ACC1(YNR016C),YNR016C,7
r_0120,s_0605 + s_1279 --> s_0840 + s_1507,False,Fatty acid degradation,POX1(YGL205W),YGL205W,4
r_0121,s_1076 + s_1279 --> s_0840 + s_1510,False,Fatty acid degradation,POX1(YGL205W),YGL205W,4
r_0122,s_0819 + s_1279 --> s_0840 + s_1513,False,Fatty acid degradation,POX1(YGL205W),YGL205W,4
r_0123,s_1279 + s_1305 --> s_0823 + s_0840,False,Fatty acid degradation,POX1(YGL205W),YGL205W,4
r_0124,s_1279 + s_1457 --> s_0840 + s_1516,False,Fatty acid degradation,POX1(YGL205W),YGL205W,4
r_0125,s_1179 + s_1279 --> s_0840 + s_1519,False,Fatty acid degradation,POX1(YGL205W),YGL205W,4
r_0399,s_0439 + s_0534 + s_0600 <=> s_0426 + s_0605 + s_0638,True,Fatty acid biosynthesis,FAA2(YER015W),YER015W,6
r_0400,s_0439 + s_0534 + s_1070 <=> s_0426 + s_0638 + s_1076,True,Fatty acid biosynthesis,FAA2(YER015W),YER015W,6
r_0402,s_0439 + s_0534 + s_1291 <=> s_0426 + s_0638 + s_1305,True,Fatty acid biosynthesis,FAA2(YER015W),YER015W,6
r_0410,s_0439 + s_0534 + s_1253 <=> s_0426 + s_0638 + s_1258,True,Fatty acid biosynthesis,FAA2(YER015W),YER015W,6
r_0412,s_0439 + s_0534 + s_1166 <=> s_0426 + s_0638 + s_1179,True,Fatty acid biosynthesis,FAA2(YER015W),YER015W,6
r_2140,s_0373 + 21.0 s_0794 + 7.0 s_1101 + 14.0 s_1212 --> 7.0 s_0456 + 7.0 s_0529 + 7.0 s_0803 + 14.0 s_1207 + s_1302,False,Fatty acid biosynthesis,"FAS1(YKL182W), FAS2(YPL231W)","YKL182W, YPL231W",9
r_2141,s_0373 + 24.0 s_0794 + 8.0 s_1101 + 16.0 s_1212 --> 8.0 s_0456 + 8.0 s_0529 + 8.0 s_0803 + 16.0 s_1207 + s_1454,False,Fatty acid biosynthesis,"FAS1(YKL182W), FAS2(YPL231W)","YKL182W, YPL231W",9
r_2154,s_2781 + s_2782 + s_2783 --> s_2784 + s_2785 + s_2786,False,Biosynthesis of unsaturated fatty acids,ELO1(YJL196C),YJL196C,6
r_2155,s_2782 + s_2783 + s_2787 --> s_2784 + s_2785 + s_2788,False,Biosynthesis of unsaturated fatty acids,ELO1(YJL196C),YJL196C,6
r_2156,s_2782 + s_2783 + s_2789 --> s_2784 + s_2785 + s_2790,False,Biosynthesis of unsaturated fatty acids,ELO2(YCR034W),YCR034W,6
r_2157,s_2782 + s_2783 + s_2791 --> s_2784 + s_2785 + s_2792,False,Biosynthesis of unsaturated fatty acids,"ELO2(YCR034W), ELO3(YLR372W)","YCR034W, YLR372W",6
r_2158,s_2782 + s_2783 + s_2793 --> s_2784 + s_2785 + s_2794,False,Biosynthesis of unsaturated fatty acids,"ELO2(YCR034W), ELO3(YLR372W)","YCR034W, YLR372W",6
r_2159,s_2782 + s_2783 + s_2795 --> s_2784 + s_2785 + s_2796,False,Biosynthesis of unsaturated fatty acids,"ELO2(YCR034W), ELO3(YLR372W)","YCR034W, YLR372W",6
r_2160,s_2782 + s_2783 + s_2797 --> s_2784 + s_2785 + s_2798,False,Biosynthesis of unsaturated fatty acids,ELO3(YLR372W),YLR372W,6
r_2182,s_2783 + s_2789 + s_2817 + s_2818 --> 2.0 s_2808 + s_2819 + s_2820,False,Biosynthesis of unsaturated fatty acids,OLE1(YGL055W),YGL055W,7
r_2183,s_2783 + s_2791 + s_2817 + s_2818 --> 2.0 s_2808 + s_2820 + s_2821,False,Biosynthesis of unsaturated fatty acids,OLE1(YGL055W),YGL055W,7
