gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,p_value,significant_p05,standard_error
FKH1:GCN5:MED4,trigenic,Total Capacity,0.13367116672364765,1.1430168958491196,0.5042533320493419,False,0.19994869242999844
FKH1:GCN5:OPI1,trigenic,Total Capacity,-0.9082775542183429,0.40321814763666675,4.239351094583714e-06,True,0.19425302354512025
FKH1:GCN5:RFX1,trigenic,Total Capacity,-1.3455384098871284,0.2603994684618013,2.1821505359089494e-11,True,0.19425302354512014
FKH1:GCN5:RGR1,trigenic,Total Capacity,-0.9220968870754629,0.3976842671771174,3.055217550525245e-06,True,0.19425302354512008
FKH1:GCN5:RPD3,trigenic,Total Capacity,-1.246843883084075,0.2874104679461837,4.6512336818521755e-10,True,0.19425302354512
FKH1:GCN5:SPT3,trigenic,Total Capacity,-1.3695566817011962,0.2542196347914757,1.0105705282534781e-11,True,0.1942530235451198
FKH1:GCN5:YAP6,trigenic,Total Capacity,-1.385206772204613,0.2502720451386423,6.0880690163414015e-12,True,0.19425302354512006
FKH1:GCN5:TFC7,trigenic,Total Capacity,-1.6708165743676768,0.1880934106540548,2.9992259742861837e-16,True,0.19425302354511995
FKH1:MED4:OPI1,trigenic,Total Capacity,-0.34983559827002475,0.7048039511834078,0.064226794217743,False,0.1884201292364893
FKH1:MED4:RFX1,trigenic,Total Capacity,-0.4209288305943799,0.6564368179649185,0.02613728181588086,True,0.18842012923648913
FKH1:MED4:RGR1,trigenic,Total Capacity,-0.4187613961573497,0.657861144739764,0.026911699726159772,True,0.1884201292364893
FKH1:MED4:RPD3,trigenic,Total Capacity,-0.5321212348090343,0.5873577236464316,0.005022318687968034,True,0.1884201292364891
FKH1:MED4:SPT3,trigenic,Total Capacity,-0.5570900087943237,0.5728736980619946,0.0033288580784220007,True,0.18842012923648918
FKH1:MED4:YAP6,trigenic,Total Capacity,-0.4346961662315576,0.6474613578201441,0.021655569070512717,True,0.18842012923648918
FKH1:MED4:TFC7,trigenic,Total Capacity,-0.27573387984352427,0.7590148930490374,0.14428746726957262,False,0.1884201292364892
FKH1:OPI1:RFX1,trigenic,Total Capacity,-1.2370462518935663,0.2902402496534679,1.9565923025095252e-10,True,0.18842012923648918
FKH1:OPI1:RGR1,trigenic,Total Capacity,-0.727710786925061,0.48301344613653374,0.0001346823716573766,True,0.18842012923648918
FKH1:OPI1:RPD3,trigenic,Total Capacity,-1.4065501071698086,0.2449870058551619,3.0301087429239998e-12,True,0.1942525788182315
FKH1:OPI1:SPT3,trigenic,Total Capacity,-1.2418587994448078,0.2888468103366206,1.680306051452777e-10,True,0.18842012923648918
FKH1:OPI1:YAP6,trigenic,Total Capacity,-1.24467087576112,0.2880356920599899,1.5369895018978878e-10,True,0.18842012923648913
FKH1:OPI1:TFC7,trigenic,Total Capacity,-1.059972068973693,0.3464654873315537,3.8818377418056785e-08,True,0.18842012923648918
FKH1:RFX1:RGR1,trigenic,Total Capacity,-1.254815258720818,0.2851285183663434,1.1129343879220036e-10,True,0.1884201292364893
FKH1:RFX1:RPD3,trigenic,Total Capacity,-1.7227927384609512,0.17856676064675323,5.781387963337642e-18,True,0.18842012923648918
FKH1:RFX1:SPT3,trigenic,Total Capacity,-1.315963130771728,0.26821587183833334,1.5276674397595823e-11,True,0.18842012923648913
FKH1:RFX1:YAP6,trigenic,Total Capacity,-1.2703894984169781,0.28072225960583885,2.2763078918191682e-10,True,0.19425228233307332
FKH1:RFX1:TFC7,trigenic,Total Capacity,-1.220730952739542,0.29501444647503705,3.267591713624399e-10,True,0.18842012923648904
FKH1:RGR1:RPD3,trigenic,Total Capacity,-1.2851308774505745,0.27661437867814537,4.193540363321346e-11,True,0.18842012923648904
FKH1:RGR1:SPT3,trigenic,Total Capacity,-1.180746133229164,0.30704955323568633,1.1241191905072044e-09,True,0.18842012923648915
FKH1:RGR1:YAP6,trigenic,Total Capacity,-1.0522112519806899,0.3491648034740525,4.825223379713676e-08,True,0.1884201292364892
FKH1:RGR1:TFC7,trigenic,Total Capacity,-1.205366666780612,0.2995821325561223,5.272035249016526e-10,True,0.18842012923648918
FKH1:RPD3:SPT3,trigenic,Total Capacity,-1.4097213838528866,0.24421131489126316,6.39410769045917e-13,True,0.18842012923648907
FKH1:RPD3:YAP6,trigenic,Total Capacity,-1.3992642899749936,0.24677845455415973,9.178021240199218e-13,True,0.1884201292364891
FKH1:RPD3:TFC7,trigenic,Total Capacity,-1.1324185469432824,0.3222529293365667,4.802251876520869e-09,True,0.18842012923648904
FKH1:SPT3:YAP6,trigenic,Total Capacity,-1.3456458279207146,0.2603714983652255,5.686823307731545e-12,True,0.1884201292364891
FKH1:SPT3:TFC7,trigenic,Total Capacity,-1.2357576621919377,0.2906144913203639,2.0378411709728374e-10,True,0.18842012923648926
FKH1:YAP6:TFC7,trigenic,Total Capacity,-1.3287608975069016,0.2648051788534411,9.995979967557138e-12,True,0.1884201292364891
GCN5:MED4:OPI1,trigenic,Total Capacity,-0.7820143595387339,0.45748354618386566,0.00011107608588686357,True,0.19994869242999846
GCN5:MED4:RFX1,trigenic,Total Capacity,-0.8886444039251024,0.41121281356833206,1.1967176210557055e-05,True,0.19994869242999813
GCN5:MED4:RGR1,trigenic,Total Capacity,-0.7141555361845953,0.48960539130876213,0.00040614802241330044,True,0.19994869242999838
GCN5:MED4:RPD3,trigenic,Total Capacity,-0.8523758693119119,0.42640065529995047,2.6202376970544987e-05,True,0.1999486924299979
GCN5:MED4:SPT3,trigenic,Total Capacity,-0.7810783746844681,0.45791194430997295,0.00011315362675856447,True,0.19994869242999824
GCN5:MED4:YAP6,trigenic,Total Capacity,-0.9661070854233419,0.38056165218000215,2.056097081588692e-06,True,0.19994869242999802
GCN5:MED4:TFC7,trigenic,Total Capacity,-1.4794072615240959,0.2277726579971735,1.0961022632804e-12,True,0.19994869242999821
GCN5:OPI1:RFX1,trigenic,Total Capacity,-0.3196989387660228,0.7263676853104462,0.10073731293440213,False,0.19425302354512014
GCN5:OPI1:RGR1,trigenic,Total Capacity,0.14813343022728273,1.1596676207544987,0.4462458885356979,False,0.19425302354512
GCN5:OPI1:RPD3,trigenic,Total Capacity,-0.24532469133065826,0.7824504421174708,0.20749093599569585,False,0.19425302354512003
GCN5:OPI1:SPT3,trigenic,Total Capacity,-0.15614852026206333,0.8554321319314638,0.4220538458534674,False,0.19425302354511995
GCN5:OPI1:YAP6,trigenic,Total Capacity,-0.2801472028768348,0.7556724961027371,0.15017845031032032,False,0.19425302354512003
GCN5:OPI1:TFC7,trigenic,Total Capacity,-1.072764932008642,0.3420614321062667,1.092905121707989e-06,True,0.21607322628494732
GCN5:RFX1:RGR1,trigenic,Total Capacity,-0.12665280621156244,0.8810395109470659,0.5148448341553347,False,0.19425302354512006
GCN5:RFX1:RPD3,trigenic,Total Capacity,-0.4187218265686752,0.6578871765496969,0.03182443941493146,True,0.19425302354511995
GCN5:RFX1:SPT3,trigenic,Total Capacity,-0.19413308576256916,0.8235482944222079,0.3183243187686867,False,0.19425302354511975
GCN5:RFX1:YAP6,trigenic,Total Capacity,-0.2391997893833132,0.7872575809530271,0.21903588631140924,False,0.19425302354511984
GCN5:RFX1:TFC7,trigenic,Total Capacity,-0.8232010618560737,0.43902405963761837,2.9154581213123364e-05,True,0.19425302354511984
GCN5:RGR1:RPD3,trigenic,Total Capacity,-0.19530897555374307,0.8225804615341843,0.31540620684015525,False,0.1942530235451195
GCN5:RGR1:SPT3,trigenic,Total Capacity,-0.2902884705751364,0.7480477466873572,0.13600843574554167,False,0.19425302354511995
GCN5:RGR1:YAP6,trigenic,Total Capacity,-0.13224709792388456,0.8761244797902151,0.4964653325244398,False,0.19425302354511992
GCN5:RGR1:TFC7,trigenic,Total Capacity,-0.9781530502775466,0.37600492011051617,1.5530041085108855e-06,True,0.19998186213632183
GCN5:RPD3:SPT3,trigenic,Total Capacity,-0.5077215241165138,0.6018653534133337,0.00935697246910817,True,0.1942530235451199
GCN5:RPD3:YAP6,trigenic,Total Capacity,-0.28566384177021775,0.7515152015099437,0.14233609722578572,False,0.1942530235451199
GCN5:RPD3:TFC7,trigenic,Total Capacity,-0.7611394899360695,0.46713382932537334,0.00010794510033952801,True,0.19425302354511986
