gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,p_value,significant_p05,standard_error
FKH1:GCN5:MED4,trigenic,C140,0.4778892841219946,1.612666925664613,0.0020870513657869133,True,0.1540801585798176
FKH1:GCN5:OPI1,trigenic,C140,1.415053106981922,4.116705085950663,5.68415743519956e-19,True,0.14969108479126356
FKH1:GCN5:RFX1,trigenic,C140,1.9045087024475889,6.716107209923796,1.4422216595667528e-30,True,0.14969108479126345
FKH1:GCN5:RGR1,trigenic,C140,1.981098568713794,7.250704008071263,1.6718116766693706e-32,True,0.14969108479126342
FKH1:GCN5:RPD3,trigenic,C140,1.7470340100413475,5.737559869143606,1.1290395835196214e-26,True,0.14969108479126336
FKH1:GCN5:SPT3,trigenic,C140,1.6857863577265595,5.396692995476219,3.392157653890664e-25,True,0.14969108479126322
FKH1:GCN5:YAP6,trigenic,C140,1.6078225267627568,4.991929591809117,2.384780511838316e-23,True,0.1496910847912634
FKH1:GCN5:TFC7,trigenic,C140,2.2010426279748057,9.034428138111592,3.5176487266630056e-38,True,0.1496910847912633
FKH1:MED4:OPI1,trigenic,C140,1.775363049658801,5.902423620262887,1.02102251764069e-28,True,0.14519626529966914
FKH1:MED4:RFX1,trigenic,C140,2.0736652054412006,7.953922517724843,1.5573019692676578e-36,True,0.14519626529966903
FKH1:MED4:RGR1,trigenic,C140,2.0979799656291833,8.149690618640104,3.4720062716515498e-37,True,0.14519626529966914
FKH1:MED4:RPD3,trigenic,C140,1.6791077834283719,5.360770868160053,2.751711841394583e-26,True,0.145196265299669
FKH1:MED4:SPT3,trigenic,C140,1.6197713331493426,5.051934974414351,8.12254115938865e-25,True,0.14519626529966906
FKH1:MED4:YAP6,trigenic,C140,1.6713720026857226,5.319461107742676,4.290856399005404e-26,True,0.14519626529966903
FKH1:MED4:TFC7,trigenic,C140,1.6609262540301415,5.264184559112811,7.806866350253e-26,True,0.1451962652996691
FKH1:OPI1:RFX1,trigenic,C140,2.668390032314851,14.416740013159703,8.713894078920215e-53,True,0.14519626529966906
FKH1:OPI1:RGR1,trigenic,C140,2.6307538937742674,13.884233194494653,9.507361912933332e-52,True,0.14519626529966906
FKH1:OPI1:RPD3,trigenic,C140,2.7107651415433605,15.04077943844212,1.0377797165108391e-51,True,0.1496907420853988
FKH1:OPI1:SPT3,trigenic,C140,2.315234039692866,10.127292829909326,4.480838065099276e-43,True,0.14519626529966903
FKH1:OPI1:YAP6,trigenic,C140,2.3152179382861537,10.127129767561346,4.485379704498767e-43,True,0.145196265299669
FKH1:OPI1:TFC7,trigenic,C140,2.281563100503917,9.791974293428549,3.7194167955869387e-42,True,0.14519626529966906
FKH1:RFX1:RGR1,trigenic,C140,3.1368970136957164,23.0322869893947,1.2140135624365865e-65,True,0.14519626529966914
FKH1:RFX1:RPD3,trigenic,C140,3.0956177779359937,22.10088776184185,1.6149099463893793e-64,True,0.14519626529966906
FKH1:RFX1:SPT3,trigenic,C140,2.7591831256782244,15.786941732321285,2.73668422672738e-55,True,0.145196265299669
FKH1:RFX1:YAP6,trigenic,C140,2.820826868211631,16.790728653492042,1.1814280409944741e-54,True,0.1496905136143864
FKH1:RFX1:TFC7,trigenic,C140,2.942284214883237,18.959103555541592,2.520990803996608e-60,True,0.14519626529966895
FKH1:RGR1:RPD3,trigenic,C140,3.302215528171504,27.172774327235906,4.062325816013307e-70,True,0.14519626529966895
FKH1:RGR1:SPT3,trigenic,C140,2.778439153519707,16.093881255619113,8.066627117258598e-56,True,0.14519626529966903
FKH1:RGR1:YAP6,trigenic,C140,3.085265868441793,21.873281484341206,3.092899868678951e-64,True,0.1451962652996691
FKH1:RGR1:TFC7,trigenic,C140,2.9551117726956417,19.20386906809185,1.1214297288500028e-60,True,0.14519626529966906
FKH1:RPD3:SPT3,trigenic,C140,2.6290400995912275,13.860458854391794,1.0600292876715632e-51,True,0.14519626529966895
FKH1:RPD3:YAP6,trigenic,C140,2.7107315501605704,15.040274206348313,5.925347569981878e-54,True,0.145196265299669
FKH1:RPD3:TFC7,trigenic,C140,2.5221732142913433,12.455636038003707,9.349173445081998e-49,True,0.14519626529966895
FKH1:SPT3:YAP6,trigenic,C140,2.649346591689545,14.14479329972019,2.919805510550141e-52,True,0.145196265299669
FKH1:SPT3:TFC7,trigenic,C140,2.628659048776115,13.855178321387092,1.0859886709151135e-51,True,0.14519626529966911
FKH1:YAP6:TFC7,trigenic,C140,2.601366913053446,13.482154378172345,6.142593886217277e-51,True,0.14519626529966898
GCN5:MED4:OPI1,trigenic,C140,1.0950788695477622,2.98941844817699,7.071477652887772e-12,True,0.15408015857981763
GCN5:MED4:RFX1,trigenic,C140,1.568218233597027,4.798091494795719,2.1210041840627733e-21,True,0.15408015857981738
GCN5:MED4:RGR1,trigenic,C140,1.5415650092502007,4.671896113274843,8.216940221742669e-21,True,0.15408015857981755
GCN5:MED4:RPD3,trigenic,C140,0.9779112855201955,2.6588967617007286,7.072272156625615e-10,True,0.15408015857981722
GCN5:MED4:SPT3,trigenic,C140,1.140766828654992,3.129166980311971,1.0626074944396738e-12,True,0.15408015857981747
GCN5:MED4:YAP6,trigenic,C140,1.04022029444747,2.8298403438059974,6.401935989584139e-11,True,0.1540801585798173
GCN5:MED4:TFC7,trigenic,C140,1.794726105104882,6.017826244174764,1.368036159606958e-26,True,0.15408015857981744
GCN5:OPI1:RFX1,trigenic,C140,0.7273966862804202,2.0696855474230844,1.8059774217497267e-06,True,0.14969108479126347
GCN5:OPI1:RGR1,trigenic,C140,0.6038925549371201,1.8292253202092377,6.776903086527059e-05,True,0.14969108479126336
GCN5:OPI1:RPD3,trigenic,C140,0.5974987955467481,1.8175670035928406,8.054724835346754e-05,True,0.14969108479126336
GCN5:OPI1:SPT3,trigenic,C140,0.2123322212524863,1.2365586279021124,0.15697513590732096,False,0.14969108479126333
GCN5:OPI1:YAP6,trigenic,C140,0.2574014877833357,1.2935643728095472,0.08642949786104423,False,0.14969108479126336
GCN5:OPI1:TFC7,trigenic,C140,0.9949922192552709,2.7047032965916618,5.812751088900089e-09,True,0.1665056998684458
GCN5:RFX1:RGR1,trigenic,C140,0.8682732467313847,2.3827928038571464,1.5205268826371427e-08,True,0.1496910847912634
GCN5:RFX1:RPD3,trigenic,C140,0.7782924469287886,2.1777504643223176,3.4710092116383696e-07,True,0.14969108479126333
