graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_edge,11,162,7,90,6.358381502890174,7.216494845360825,0.8810900082576383,0.873015873015873,0.8027777580676609
regulatory_edge,25,148,11,86,14.45086705202312,11.34020618556701,1.2743037309511296,1.3206388206388207,0.5766783776504769
genetic_edge,53,120,25,72,30.63583815028902,25.77319587628866,1.1886705202312138,1.272,0.4842800828539713
tflink_edge,21,152,15,82,12.138728323699421,15.463917525773196,0.784971098265896,0.7552631578947369,0.4594172983450705
string12_0_neighborhood_edge,0,173,0,97,0.0,0.0,,,1.0
string12_0_fusion_edge,0,173,0,97,0.0,0.0,,,1.0
string12_0_cooccurence_edge,0,173,0,97,0.0,0.0,,,1.0
string12_0_coexpression_edge,34,139,20,77,19.653179190751445,20.61855670103093,0.953179190751445,0.9417266187050359,0.8747486409161205
string12_0_experimental_edge,58,115,26,71,33.52601156069364,26.804123711340207,1.2507781236104933,1.377257525083612,0.27525659645699224
string12_0_database_edge,12,161,6,91,6.936416184971098,6.185567010309279,1.1213872832369942,1.1304347826086956,1.0
