graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_edge,3,34,5,48,8.108108108108109,9.433962264150944,0.8594594594594595,0.8470588235294118,1.0
regulatory_edge,5,32,5,48,13.513513513513514,9.433962264150944,1.4324324324324325,1.5,0.7349552998177369
genetic_edge,12,25,16,37,32.432432432432435,30.18867924528302,1.0743243243243243,1.11,0.8216044026862688
tflink_edge,5,32,5,48,13.513513513513514,9.433962264150944,1.4324324324324325,1.5,0.7349552998177369
string12_0_neighborhood_edge,0,37,0,53,0.0,0.0,,,1.0
string12_0_fusion_edge,0,37,0,53,0.0,0.0,,,1.0
string12_0_cooccurence_edge,0,37,0,53,0.0,0.0,,,1.0
string12_0_coexpression_edge,8,29,10,43,21.62162162162162,18.867924528301888,1.1459459459459458,1.186206896551724,0.792920216914057
string12_0_experimental_edge,13,24,15,38,35.13513513513514,28.30188679245283,1.2414414414414414,1.3722222222222222,0.4986530135552547
string12_0_database_edge,2,35,3,50,5.405405405405405,5.660377358490566,0.954954954954955,0.9523809523809523,1.0
