gene_set,ffa_type,p_value,significant_p05,interaction_score,physical_edge,regulatory_edge,genetic_edge,tflink_edge,string12_0_neighborhood_edge,string12_0_fusion_edge,string12_0_cooccurence_edge,string12_0_coexpression_edge,string12_0_experimental_edge,string12_0_database_edge
FKH1_MED4,C14:0,0.0014106501166446,True,-1.251097540407355,False,False,False,False,False,False,False,False,False,False
FKH1_MED4,C16:1,0.0818942914537999,False,-0.2804469049356353,False,False,False,False,False,False,False,False,False,False
GCN5_RPD3,C14:0,0.2154066493960622,False,-0.4240772561573309,True,True,True,False,False,False,False,True,True,False
GCN5_RPD3,C16:1,0.0164302059119783,True,-0.8256712611207435,True,True,True,False,False,False,False,True,True,False
GCN5_RPD3,C18:1,0.2862207041067544,False,-0.2657260709226892,True,True,True,False,False,False,False,True,True,False
RPD3_TFC7,C14:0,0.328373694079753,False,-0.4154956507508693,False,False,True,False,False,False,False,False,False,False
RPD3_TFC7,C16:1,0.3359399217869079,False,-0.2264146522696692,False,False,True,False,False,False,False,False,False,False
OPI1_RGR1,C14:0,0.0359223002647066,True,-1.278046353026439,False,False,False,False,False,False,False,False,False,False
OPI1_RGR1,C16:1,0.0028113574306516,True,-0.5035295180843875,False,False,False,False,False,False,False,False,False,False
OPI1_RGR1,C18:1,0.1029456882659731,False,-0.0830874431805395,False,False,False,False,False,False,False,False,False,False
RGR1_RPD3,C14:0,0.0166462160158913,True,-1.594320009217836,False,False,True,False,False,False,False,False,False,False
RGR1_RPD3,C16:1,0.2173034424327755,False,-0.2669865379594736,False,False,True,False,False,False,False,False,False,False
RPD3_YAP6,C14:0,0.1554323691664851,False,-0.4990373038496156,False,True,True,False,False,False,False,False,True,False
RPD3_YAP6,C16:1,0.4703653432365093,False,-0.1641301219014213,False,True,True,False,False,False,False,False,True,False
GCN5_OPI1,C14:0,0.2170330726654603,False,-0.3982472751440695,False,False,False,False,False,False,False,True,True,False
GCN5_OPI1,C16:1,0.0171623126735602,True,-0.8140902913986199,False,False,False,False,False,False,False,True,True,False
GCN5_OPI1,C18:1,0.1224347235550642,False,-0.5157294139633426,False,False,False,False,False,False,False,True,True,False
GCN5_OPI1,Total Titer,0.5780271388965934,False,-0.0384346464037279,False,False,False,False,False,False,False,True,True,False
RPD3_SPT3,C14:0,0.0438987146284028,True,-0.3555613445350085,False,False,True,False,False,False,False,True,True,False
RPD3_SPT3,C16:1,0.9609425475466148,False,-0.0049855070523423,False,False,True,False,False,False,False,True,True,False
OPI1_TFC7,C14:0,0.6585773685284373,False,-0.1710443040616927,False,False,False,False,False,False,False,False,False,False
OPI1_TFC7,C16:1,0.5183186803186404,False,-0.1441244987716139,False,False,False,False,False,False,False,False,False,False
OPI1_RPD3,C14:0,0.03434282710899,True,-0.4170436461219124,False,False,False,False,False,False,False,True,True,False
GCN5_MED4,C14:0,0.0928134594356375,False,-0.4039090640389147,False,False,False,False,False,False,False,False,True,False
GCN5_MED4,C16:1,0.0358335098145756,True,-0.8752527061312196,False,False,False,False,False,False,False,False,True,False
GCN5_MED4,C18:1,0.2612621329540265,False,-0.4362072828711403,False,False,False,False,False,False,False,False,True,False
GCN5_RGR1,C14:0,0.0194892612261099,True,-1.5007205609521082,False,False,True,False,False,False,False,False,True,False
GCN5_RGR1,C16:1,0.0327484312586565,True,-0.586621302290087,False,False,True,False,False,False,False,False,True,False
GCN5_RGR1,C18:1,0.3677523589993114,False,-0.2091383402406532,False,False,True,False,False,False,False,False,True,False
GCN5_RGR1,Total Titer,0.7351546259386157,False,-0.0260646470630074,False,False,True,False,False,False,False,False,True,False
RFX1_TFC7,C14:0,0.0694868199281404,False,-1.0553454267340636,False,False,False,False,False,False,False,False,False,False
RFX1_TFC7,C16:1,0.8047694112503638,False,-0.0509880642375641,False,False,False,False,False,False,False,False,False,False
RGR1_YAP6,C14:0,0.0229569857593874,True,-1.418616689961742,False,False,False,True,False,False,False,False,False,False
RGR1_YAP6,C16:1,0.1555302946846231,False,-0.406562326369132,False,False,False,True,False,False,False,False,False,False
OPI1_YAP6,C14:0,0.3536615088325303,False,-0.2993709494538599,False,False,False,False,False,False,False,False,False,False
OPI1_YAP6,C16:1,0.2797670719401388,False,-0.2703269448330803,False,False,False,False,False,False,False,False,False,False
RFX1_YAP6,C14:0,0.0331727993182888,True,-1.0110280058580017,False,False,False,True,False,False,False,True,False,False
RFX1_YAP6,C16:1,0.6022502474624494,False,-0.1141076963242138,False,False,False,True,False,False,False,True,False,False
GCN5_RFX1,C14:0,0.0266888715563851,True,-0.8742249586282786,False,False,False,False,False,False,False,False,False,False
GCN5_RFX1,C16:1,0.2136214748380318,False,-0.2530107174176448,False,False,False,False,False,False,False,False,False,False
RFX1_RGR1,C14:0,0.0254925892242423,True,-1.7171493506601934,False,False,False,False,False,False,False,False,False,False
RFX1_RGR1,C16:1,0.0008266553585023,True,-0.3440033337126718,False,False,False,False,False,False,False,False,False,False
OPI1_SPT3,C14:0,0.2265350903541176,False,-0.2736227934386368,False,False,True,False,False,False,False,False,False,False
OPI1_SPT3,C16:1,0.1081004475367379,False,-0.2312344778187616,False,False,True,False,False,False,False,False,False,False
OPI1_SPT3,C18:1,0.701919617397285,False,-0.0936067690539457,False,False,True,False,False,False,False,False,False,False
RGR1_SPT3,C14:0,0.0277469182623368,True,-1.2858915334505596,False,False,True,False,False,False,False,False,False,False
RGR1_SPT3,C16:1,0.0393267504844376,True,-0.3673811611763056,False,False,True,False,False,False,False,False,False,False
GCN5_YAP6,C14:0,0.2147417941742386,False,-0.4139560048694222,False,False,False,True,False,False,False,False,False,False
GCN5_YAP6,C16:1,0.5119014367790566,False,-0.1748341511416959,False,False,False,True,False,False,False,False,False,False
RFX1_RPD3,C14:0,2.402592111416801e-05,True,-0.9846085508792846,False,False,True,False,False,False,False,False,True,False
RFX1_SPT3,C14:0,0.0013884121174925,True,-0.9584312310988424,False,False,False,False,False,False,False,False,False,False
RFX1_SPT3,C16:1,0.4614334069203962,False,-0.0816608984958131,False,False,False,False,False,False,False,False,False,False
MED4_RPD3,C14:0,0.0023782316479195,True,-1.0002688535649815,False,False,False,False,False,False,False,False,False,False
MED4_RPD3,C16:1,0.3212140283156377,False,-0.1308013629395583,False,False,False,False,False,False,False,False,False,False
OPI1_RFX1,C14:0,0.0092051066361913,True,-0.7559794869739611,False,False,False,False,False,False,False,False,False,False
OPI1_RFX1,C16:1,0.0973486468221267,False,-0.1957033263490497,False,False,False,False,False,False,False,False,False,False
GCN5_SPT3,C14:0,0.371753015980657,False,-0.1909611765432772,True,False,True,False,False,False,False,True,True,True
GCN5_SPT3,C16:1,0.2958637677018014,False,-0.1994202820936785,True,False,True,False,False,False,False,True,True,True
GCN5_SPT3,C18:1,0.9002087936910408,False,-0.0381537152923074,True,False,True,False,False,False,False,True,True,True
MED4_SPT3,C14:0,0.000562908342377,True,-1.3230985289869226,False,False,True,False,False,False,False,False,False,False
MED4_SPT3,C16:1,0.0318934126981964,True,-0.4231405179973628,False,False,True,False,False,False,False,False,False,False
RGR1_TFC7,C14:0,0.0539515978529667,False,-1.2020760170930744,False,False,False,False,False,False,False,False,False,False
RGR1_TFC7,C16:1,0.1954232260147126,False,-0.3398797051873372,False,False,False,False,False,False,False,False,False,False
SPT3_TFC7,C14:0,0.2808693406398528,False,-0.4741959024044857,False,False,False,False,False,False,False,False,False,False
SPT3_TFC7,C16:1,0.6259078311296542,False,-0.1096677667472203,False,False,False,False,False,False,False,False,False,False
MED4_TFC7,C14:0,0.0571279645755167,False,-1.1585050405868689,False,False,False,False,False,False,False,False,False,False
MED4_TFC7,C16:1,0.2629746905277819,False,-0.2805071527549989,False,False,False,False,False,False,False,False,False,False
MED4_YAP6,C14:0,0.0170261323427998,True,-1.2875046548404492,False,False,False,False,False,False,False,False,False,False
MED4_YAP6,C16:1,0.168476909473153,False,-0.3770559568357845,False,False,False,False,False,False,False,False,False,False
MED4_RFX1,C14:0,0.0004031315468184,True,-1.8714712969596168,False,False,False,False,False,False,False,False,False,False
MED4_RFX1,C16:1,0.0441107576842985,True,-0.3645612285199791,False,False,False,False,False,False,False,False,False,False
SPT3_YAP6,C14:0,0.2572406455872642,False,-0.3557617322853053,False,False,False,False,False,False,False,False,False,False
SPT3_YAP6,C16:1,0.4767272917875897,False,-0.1680462301600587,False,False,False,False,False,False,False,False,False,False
TFC7_YAP6,C14:0,0.4989679219987115,False,-0.3058735319509917,False,False,False,False,False,False,False,False,False,False
TFC7_YAP6,C16:1,0.5730883417002826,False,-0.1587279007651472,False,False,False,False,False,False,False,False,False,False
MED4_RGR1,C14:0,0.0138537418697586,True,-2.033761996129176,True,False,True,False,False,False,False,True,True,True
MED4_RGR1,C16:1,0.0171079753954461,True,-0.5677469993238857,True,False,True,False,False,False,False,True,True,True
FKH1_TFC7,C14:0,0.0165393328194174,True,-1.874255016790824,False,False,False,False,False,False,False,False,False,False
FKH1_TFC7,C16:1,0.355678151666293,False,-0.215200190115341,False,False,False,False,False,False,False,False,False,False
FKH1_RPD3,C14:0,0.0028731497967939,True,-1.7656615551091366,False,True,False,True,False,False,False,True,True,False
MED4_OPI1,C14:0,0.0009589744269933,True,-1.2332229530808778,False,True,False,False,False,False,False,False,False,False
MED4_OPI1,C16:1,0.342288401972626,False,-0.2336862293567543,False,True,False,False,False,False,False,False,False,False
FKH1_RGR1,C14:0,0.0051368119311892,True,-2.528440866409836,False,False,False,False,False,False,False,False,False,False
FKH1_RGR1,C16:1,0.2374445575828936,False,-0.1871581773026387,False,False,False,False,False,False,False,False,False,False
FKH1_OPI1,C14:0,0.0003760553196257,True,-1.9630702075182145,False,False,False,True,False,False,False,False,False,False
FKH1_OPI1,C16:1,0.4460867652203211,False,-0.1424777250423412,False,False,False,True,False,False,False,False,False,False
FKH1_SPT3,C14:0,0.0009630856269491,True,-1.6866753835338049,False,True,False,False,False,False,False,False,False,False
FKH1_YAP6,C14:0,0.0024989002447834,True,-1.7529870299028625,False,True,False,True,False,False,False,False,True,False
FKH1_RFX1,C14:0,0.0017198953167649,True,-2.1423905256671656,False,False,False,False,False,False,False,False,True,False
GCN5_TFC7,C14:0,0.244007297216769,False,-0.6883736697175697,False,False,False,False,False,False,False,False,False,False
