graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_edge,8,128,2,42,5.882352941176471,4.545454545454546,1.2941176470588236,1.3125,1.0
regulatory_edge,20,116,6,38,14.705882352941176,13.636363636363637,1.0784313725490196,1.0919540229885059,1.0
genetic_edge,41,95,9,35,30.147058823529413,20.454545454545453,1.473856209150327,1.6783625730994152,0.24892162761593606
tflink_edge,16,120,10,34,11.764705882352942,22.727272727272727,0.5176470588235295,0.4533333333333333,0.0857721764507172
string12_0_neighborhood_edge,0,136,0,44,0.0,0.0,,,1.0
string12_0_fusion_edge,0,136,0,44,0.0,0.0,,,1.0
string12_0_cooccurence_edge,0,136,0,44,0.0,0.0,,,1.0
string12_0_coexpression_edge,26,110,10,34,19.11764705882353,22.727272727272727,0.8411764705882353,0.8036363636363636,0.6654066036881576
string12_0_experimental_edge,45,91,11,33,33.088235294117645,25.0,1.3235294117647058,1.4835164835164836,0.35372368858422676
string12_0_database_edge,10,126,3,41,7.352941176470588,6.818181818181818,1.0784313725490196,1.0846560846560847,1.0
