gene_set,ffa_type,p_value,significant_p05,interaction_score,physical_edge,regulatory_edge,genetic_edge,tflink_edge,string12_0_neighborhood_edge,string12_0_fusion_edge,string12_0_cooccurence_edge,string12_0_coexpression_edge,string12_0_experimental_edge,string12_0_database_edge
FKH1_MED4,C16:0,0.0453870253728267,True,0.230353173582662,False,False,False,False,False,False,False,False,False,False
FKH1_MED4,C18:0,0.0553919173197443,False,0.2144373734775364,False,False,False,False,False,False,False,False,False,False
FKH1_MED4,C18:1,0.0368440927347386,True,0.2689963800577352,False,False,False,False,False,False,False,False,False,False
FKH1_MED4,Total Titer,0.237839272338785,False,0.1016421255560435,False,False,False,False,False,False,False,False,False,False
GCN5_RPD3,C16:0,0.0099737954336345,True,0.4276826269916283,True,True,True,False,False,False,False,True,True,False
GCN5_RPD3,C18:0,0.0021192248160062,True,0.6266563957454899,True,True,True,False,False,False,False,True,True,False
GCN5_RPD3,Total Titer,0.207503055962622,False,0.156622835947555,True,True,True,False,False,False,False,True,True,False
RPD3_TFC7,C16:0,7.242637448801048e-05,True,0.6986320891476232,False,False,True,False,False,False,False,False,False,False
RPD3_TFC7,C18:0,3.526500018380396e-05,True,0.6573889118788516,False,False,True,False,False,False,False,False,False,False
RPD3_TFC7,C18:1,0.0152707083588734,True,0.3427438568774174,False,False,True,False,False,False,False,False,False,False
RPD3_TFC7,Total Titer,0.0001415312074004,True,0.4500359356036579,False,False,True,False,False,False,False,False,False,False
OPI1_RGR1,C16:0,0.0127148777319006,True,0.2294219589741405,False,False,False,False,False,False,False,False,False,False
OPI1_RGR1,C18:0,0.0348141087699962,True,0.226753978816924,False,False,False,False,False,False,False,False,False,False
OPI1_RGR1,Total Titer,0.4835189988730186,False,0.0259747674578345,False,False,False,False,False,False,False,False,False,False
RGR1_RPD3,C16:0,0.0075482221129037,True,0.600366425167856,False,False,True,False,False,False,False,False,False,False
RGR1_RPD3,C18:0,0.0095165106113337,True,0.6628859983670912,False,False,True,False,False,False,False,False,False,False
