graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_connected,71,273,35,106,20.63953488372093,24.822695035460992,0.8314784053156147,0.7876504447933019,0.33376886278503715
regulatory_connected,16,328,8,133,4.651162790697675,5.673758865248227,0.8197674418604651,0.8109756097560976,0.647870965796618
genetic_connected,206,138,82,59,59.883720930232556,58.156028368794324,1.0297078842881453,1.0740544361965358,0.7603844313914722
tflink_connected,21,323,19,122,6.104651162790698,13.47517730496454,0.45302937576499386,0.41746781815219164,0.010469886248379346
string12_0_neighborhood_connected,0,344,0,141,0.0,0.0,,,1.0
string12_0_fusion_connected,0,344,0,141,0.0,0.0,,,1.0
string12_0_cooccurence_connected,0,344,0,141,0.0,0.0,,,1.0
string12_0_coexpression_connected,170,174,81,60,49.41860465116279,57.4468085106383,0.8602497846683893,0.7237122179650916,0.11080478219841286
string12_0_experimental_connected,229,115,103,38,66.56976744186046,73.04964539007092,0.9112948746895462,0.7346559729843816,0.19652182053069858
string12_0_database_connected,69,275,28,113,20.058139534883722,19.858156028368793,1.0100705980066447,1.0125974025974025,1.0
