graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_connected,15,102,17,101,12.820512820512821,14.40677966101695,0.889894419306184,0.8737024221453287,0.8494982842909629
regulatory_connected,3,114,3,115,2.5641025641025643,2.542372881355932,1.0085470085470087,1.0087719298245614,1.0
genetic_connected,64,53,74,44,54.7008547008547,62.71186440677966,0.8722568722568722,0.7180010198878123,0.23440748821608715
tflink_connected,9,108,5,113,7.6923076923076925,4.237288135593221,1.8153846153846154,1.8833333333333333,0.28574985313052004
string12_0_neighborhood_connected,0,117,0,118,0.0,0.0,,,1.0
string12_0_fusion_connected,0,117,0,118,0.0,0.0,,,1.0
string12_0_cooccurence_connected,0,117,0,118,0.0,0.0,,,1.0
string12_0_coexpression_connected,45,72,64,54,38.46153846153846,54.23728813559322,0.7091346153846154,0.52734375,0.018567718635901165
string12_0_experimental_connected,53,64,71,47,45.2991452991453,60.16949152542373,0.7528590345491755,0.5481954225352113,0.02647510087903706
string12_0_database_connected,13,104,10,108,11.11111111111111,8.474576271186441,1.311111111111111,1.35,0.518977443320034
