gene_set,ffa_type,p_value,significant_p05,interaction_score,physical_edge,regulatory_edge,genetic_edge,tflink_edge,string12_0_neighborhood_edge,string12_0_fusion_edge,string12_0_cooccurence_edge,string12_0_coexpression_edge,string12_0_experimental_edge,string12_0_database_edge
FKH1:GCN5,C14:0,0.7223116389236817,False,-0.0714717457143296,False,False,True,False,False,False,False,True,True,True
FKH1:MED4,C14:0,1.2776417533219016e-05,True,-0.8271938159086926,False,False,False,False,False,False,False,False,False,False
FKH1:OPI1,C14:0,5.163208095473634e-15,True,-1.482854972904838,False,False,False,True,False,False,False,False,False,False
FKH1:RFX1,C14:0,1.1692319299225143e-16,True,-1.5706809596670446,False,False,False,False,False,False,False,False,True,False
FKH1:RGR1,C14:0,4.516429075016524e-22,True,-1.83083971908932,False,False,False,False,False,False,False,False,False,False
FKH1:RPD3,C14:0,3.931668017549958e-13,True,-1.3757612448926757,False,True,False,True,False,False,False,True,True,False
FKH1:SPT3,C14:0,8.715686349258324e-12,True,-1.2939436085609306,False,True,False,False,False,False,False,False,False,False
FKH1:YAP6,C14:0,4.339031123656098e-13,True,-1.3732305306638513,False,True,False,True,False,False,False,False,True,False
FKH1:TFC7,C14:0,3.650518370326543e-17,True,-1.5967277494095171,False,False,False,False,False,False,False,False,False,False
GCN5:MED4,C14:0,0.03725233337144,True,-0.4418360234646343,False,False,False,False,False,False,False,False,True,False
GCN5:OPI1,C14:0,0.0464614735990341,True,-0.4004627598548878,False,False,False,False,False,False,False,True,True,False
GCN5:RFX1,C14:0,0.0020315271679522,True,-0.6205685327947619,False,False,False,False,False,False,False,False,False,False
GCN5:RGR1,C14:0,5.867803855071123e-06,True,-0.9112882340578048,False,False,True,False,False,False,False,False,True,False
GCN5:RPD3,C14:0,0.0909110557730827,False,-0.3400134777840066,True,True,True,False,False,False,False,True,True,False
GCN5:SPT3,C14:0,0.2359297735145318,False,-0.2383702069054005,True,False,True,False,False,False,False,True,True,True
GCN5:YAP6,C14:0,0.1020445436445302,False,-0.3288333194154783,False,False,False,True,False,False,False,False,False,False
GCN5:TFC7,C14:0,0.0331983349661299,True,-0.4283176587466395,False,False,False,False,False,False,False,False,False,False
MED4:OPI1,C14:0,1.6477594762320268e-06,True,-0.9084227501487024,False,True,False,False,False,False,False,False,False,False
MED4:RFX1,C14:0,2.4130890345118924e-15,True,-1.500892195657847,False,False,False,False,False,False,False,False,False,False
MED4:RGR1,C14:0,7.570681670737752e-15,True,-1.4736985128518296,True,False,True,False,False,False,False,True,True,True
MED4:RPD3,C14:0,7.028844144448902e-05,True,-0.7535346437547352,False,False,False,False,False,False,False,False,False,False
MED4:SPT3,C14:0,6.025285337665491e-09,True,-1.1024552792838087,False,False,True,False,False,False,False,False,False,False
MED4:YAP6,C14:0,2.9234604639003852e-08,True,-1.0512578065575082,False,False,False,False,False,False,False,False,False,False
MED4:TFC7,C14:0,1.156934366457836e-06,True,-0.9217763162426196,False,False,False,False,False,False,False,False,False,False
OPI1:RFX1,C14:0,0.0031196157087863,True,-0.5602639714563836,False,False,False,False,False,False,False,False,False,False
OPI1:RGR1,C14:0,6.713126202848741e-06,True,-0.8534825212695336,False,False,False,False,False,False,False,False,False,False
OPI1:RPD3,C14:0,0.0685349318021975,False,-0.3452672170054964,False,False,False,False,False,False,False,True,True,False
OPI1:SPT3,C14:0,0.1828252309654516,False,-0.2525058420587262,False,False,True,False,False,False,False,False,False,False
OPI1:YAP6,C14:0,0.1533219687867413,False,-0.2706630133392837,False,False,False,False,False,False,False,False,False,False
OPI1:TFC7,C14:0,0.3240341821594815,False,-0.1869382758213722,False,False,False,False,False,False,False,False,False,False
RFX1:RGR1,C14:0,1.3993041189825818e-09,True,-1.1478543834241366,False,False,False,False,False,False,False,False,False,False
RFX1:RPD3,C14:0,0.0001274195008575,True,-0.7262552470084609,False,False,True,False,False,False,False,False,True,False
RFX1:SPT3,C14:0,0.0001882524753434,True,-0.7078471275707977,False,False,False,False,False,False,False,False,False,False
RFX1:YAP6,C14:0,7.419759496330168e-05,True,-0.7510895392380241,False,False,False,True,False,False,False,True,False,False
RFX1:TFC7,C14:0,2.641322097457886e-05,True,-0.7965756898404228,False,False,False,False,False,False,False,False,False,False
RGR1:RPD3,C14:0,6.612996251445461e-10,True,-1.1705099502563536,False,False,True,False,False,False,False,False,False,False
RGR1:SPT3,C14:0,3.3325388478955466e-06,True,-0.8812701834071985,False,False,True,False,False,False,False,False,False,False
