graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_edge,8,123,4,45,6.106870229007634,8.16326530612245,0.7480916030534351,0.7317073170731707,0.7376638118397647
regulatory_edge,23,108,3,46,17.557251908396946,6.122448979591836,2.867684478371501,3.265432098765432,0.05840686283499387
genetic_edge,41,90,10,39,31.297709923664122,20.408163265306122,1.533587786259542,1.7766666666666666,0.19352076514650343
tflink_edge,15,116,10,39,11.450381679389313,20.408163265306122,0.5610687022900763,0.5043103448275862,0.14688404784833006
string12_0_neighborhood_edge,0,131,0,49,0.0,0.0,,,1.0
string12_0_fusion_edge,0,131,0,49,0.0,0.0,,,1.0
string12_0_cooccurence_edge,0,131,0,49,0.0,0.0,,,1.0
string12_0_coexpression_edge,26,105,11,38,19.84732824427481,22.448979591836736,0.8841082581540597,0.8554112554112554,0.683846994281434
string12_0_experimental_edge,43,88,13,36,32.82442748091603,26.53061224489796,1.2372284204345272,1.3531468531468531,0.47264412869714933
string12_0_database_edge,9,122,3,46,6.870229007633588,6.122448979591836,1.1221374045801529,1.1311475409836065,1.0
