gene_set,ffa_type,p_value,significant_p05,interaction_score,physical_edge,regulatory_edge,genetic_edge,tflink_edge,string12_0_neighborhood_edge,string12_0_fusion_edge,string12_0_cooccurence_edge,string12_0_coexpression_edge,string12_0_experimental_edge,string12_0_database_edge
FKH1:GCN5,C16:0,1.7918620686054865e-06,True,0.9398431133225884,False,False,True,False,False,False,False,True,True,True
FKH1:MED4,C16:0,0.0658639213978945,False,0.3411717575355308,False,False,False,False,False,False,False,False,False,False
FKH1:OPI1,C16:0,5.333529853299351e-07,True,0.9300053284894436,False,False,False,True,False,False,False,False,False,False
FKH1:RFX1,C16:0,4.35151759254239e-05,True,0.7582587508749108,False,False,False,False,False,False,False,False,True,False
FKH1:RGR1,C16:0,6.123924345567501e-06,True,0.8387756534937034,False,False,False,False,False,False,False,False,False,False
FKH1:RPD3,C16:0,4.087817211827418e-11,True,1.2243609844386234,False,True,False,True,False,False,False,True,True,False
FKH1:SPT3,C16:0,2.453097930270824e-05,True,0.7825749899168367,False,True,False,False,False,False,False,False,False,False
FKH1:YAP6,C16:0,5.597289948988147e-07,True,0.928282050834847,False,True,False,True,False,False,False,False,True,False
FKH1:TFC7,C16:0,4.525834350233268e-07,True,0.935845718498882,False,False,False,False,False,False,False,False,False,False
GCN5:MED4,C16:0,1.6266327496669093e-05,True,0.8947650110338699,False,False,False,False,False,False,False,False,True,False
GCN5:OPI1,C16:0,0.4216251920385989,False,0.158150811327937,False,False,False,False,False,False,False,True,True,False
GCN5:RFX1,C16:0,0.2772762280312966,False,0.2138168647546154,False,False,False,False,False,False,False,False,False,False
GCN5:RGR1,C16:0,0.4812782378920579,False,0.1385972376612279,False,False,True,False,False,False,False,False,True,False
GCN5:RPD3,C16:0,0.0038193640106355,True,0.5692898214815003,True,True,True,False,False,False,False,True,True,False
GCN5:SPT3,C16:0,0.0730053253808761,False,0.352825577835518,True,False,True,False,False,False,False,True,True,True
GCN5:YAP6,C16:0,0.1373859508807855,False,0.2923678664759901,False,False,False,True,False,False,False,False,False,False
GCN5:TFC7,C16:0,7.560456860786182e-09,True,1.1371155141372105,False,False,False,False,False,False,False,False,False,False
MED4:OPI1,C16:0,5.471910256051885e-17,True,1.5536382338209698,False,True,False,False,False,False,False,False,False,False
MED4:RFX1,C16:0,1.5004371487012255e-09,True,1.12113081291005,False,False,False,False,False,False,False,False,False,False
MED4:RGR1,C16:0,2.975759263490093e-12,True,1.2944752828486972,True,False,True,False,False,False,False,True,True,True
MED4:RPD3,C16:0,4.2158558138415385e-17,True,1.5593238541443577,False,False,False,False,False,False,False,False,False,False
MED4:SPT3,C16:0,1.617665031847818e-10,True,1.1859627496068643,False,False,True,False,False,False,False,False,False,False
MED4:YAP6,C16:0,2.6379197158340023e-11,True,1.236348192164464,False,False,False,False,False,False,False,False,False,False
MED4:TFC7,C16:0,6.100949110550698e-14,True,1.3922319642709151,False,False,False,False,False,False,False,False,False,False
OPI1:RFX1,C16:0,0.0010848796879212,True,0.6060792699401434,False,False,False,False,False,False,False,False,False,False
OPI1:RGR1,C16:0,0.1620117634038405,False,0.2593707492665584,False,False,False,False,False,False,False,False,False,False
OPI1:RPD3,C16:0,3.307468714705836e-09,True,1.0972483350434117,False,False,False,False,False,False,False,True,True,False
OPI1:SPT3,C16:0,0.0007984247761188,True,0.6219946386935825,False,False,True,False,False,False,False,False,False,False
OPI1:YAP6,C16:0,0.0016584816178642,True,0.5834286501198391,False,False,False,False,False,False,False,False,False,False
OPI1:TFC7,C16:0,0.0038521136253353,True,0.5360565326440723,False,False,False,False,False,False,False,False,False,False
RFX1:RGR1,C16:0,0.0285486930589158,True,0.4061498301198353,False,False,False,False,False,False,False,False,False,False
RFX1:RPD3,C16:0,1.5772480369348212e-08,True,1.0485364249577145,False,False,True,False,False,False,False,False,True,False
RFX1:SPT3,C16:0,0.0329300348076053,True,0.3956277029001678,False,False,False,False,False,False,False,False,False,False
RFX1:YAP6,C16:0,0.0510854472147059,False,0.3618371434170127,False,False,False,True,False,False,False,True,False,False
RFX1:TFC7,C16:0,0.0144957195242556,True,0.4534625536400376,False,False,False,False,False,False,False,False,False,False
RGR1:RPD3,C16:0,1.4840901987081671e-06,True,0.8928076712458755,False,False,True,False,False,False,False,False,False,False
RGR1:SPT3,C16:0,0.007770607317904,True,0.493738661968522,False,False,True,False,False,False,False,False,False,False
RGR1:YAP6,C16:0,0.0122579549876666,True,0.4645715305716275,False,False,False,True,False,False,False,False,False,False
RGR1:TFC7,C16:0,3.547370410391741e-05,True,0.7670069836461578,False,False,False,False,False,False,False,False,False,False
RPD3:SPT3,C16:0,7.265293629292403e-07,True,0.918918105579577,False,False,True,False,False,False,False,True,True,False
