graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_connected,84,425,54,157,16.50294695481336,25.592417061611375,0.6448373717528925,0.574640522875817,0.006661139768066687
regulatory_connected,20,489,10,201,3.9292730844793713,4.739336492890995,0.8290766208251473,0.8220858895705522,0.6823790931195088
genetic_connected,299,210,127,84,58.7426326129666,60.18957345971564,0.9759602741209412,0.9417322834645669,0.7395609596067287
tflink_connected,36,473,18,193,7.072691552062868,8.530805687203792,0.8290766208251473,0.8160676532769556,0.5346338360739352
string12_0_neighborhood_connected,0,509,0,211,0.0,0.0,,,1.0
string12_0_fusion_connected,0,509,0,211,0.0,0.0,,,1.0
string12_0_cooccurence_connected,0,509,0,211,0.0,0.0,,,1.0
string12_0_coexpression_connected,241,268,119,92,47.347740667976424,56.39810426540284,0.8395271664658005,0.6952213721309419,0.033137252256885574
string12_0_experimental_connected,321,188,135,76,63.06483300589391,63.981042654028435,0.9856799825365641,0.9612293144208038,0.8651789512906448
string12_0_database_connected,85,424,35,176,16.69941060903733,16.587677725118482,1.0067358967162505,1.0080862533692723,1.0
