graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_connected,69,305,31,86,18.449197860962567,26.495726495726494,0.6963084353976196,0.6276044420941301,0.0659785611015631
regulatory_connected,17,357,6,111,4.545454545454546,5.128205128205129,0.8863636363636364,0.8809523809523809,0.8032621952808054
genetic_connected,220,154,71,46,58.8235294117647,60.68376068376068,0.9693454846727423,0.9255533199195171,0.7473503609620763
tflink_connected,28,346,11,106,7.4866310160427805,9.401709401709402,0.7963052989790957,0.7798213347346296,0.5566171250450437
string12_0_neighborhood_connected,0,374,0,117,0.0,0.0,,,1.0
string12_0_fusion_connected,0,374,0,117,0.0,0.0,,,1.0
string12_0_cooccurence_connected,0,374,0,117,0.0,0.0,,,1.0
string12_0_coexpression_connected,186,188,61,56,49.73262032085562,52.136752136752136,0.9538879635311651,0.9082664806417858,0.6727690995659446
string12_0_experimental_connected,253,121,75,42,67.6470588235294,64.1025641025641,1.0552941176470587,1.170909090909091,0.5006241082857511
string12_0_database_connected,68,306,19,98,18.181818181818183,16.23931623931624,1.1196172248803828,1.1461988304093567,0.6794578491185115
