gene_set,ffa_type,p_value,significant_p05,interaction_score,physical_triangle,physical_connected,regulatory_triangle,regulatory_connected,genetic_triangle,genetic_connected,tflink_triangle,tflink_connected,string12_0_neighborhood_triangle,string12_0_neighborhood_connected,string12_0_fusion_triangle,string12_0_fusion_connected,string12_0_cooccurence_triangle,string12_0_cooccurence_connected,string12_0_coexpression_triangle,string12_0_coexpression_connected,string12_0_experimental_triangle,string12_0_experimental_connected,string12_0_database_triangle,string12_0_database_connected
GCN5:RPD3:SPT3,C14:0,0.6330980401598767,False,-0.1319301140777399,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True
GCN5:RPD3:TFC7,C14:0,0.1526118388714469,False,-0.3953077757578287,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
GCN5:SPT3:YAP6,C14:0,0.7695732669652948,False,-0.0809573893783139,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
OPI1:RPD3:SPT3,C14:0,0.9339443380697744,False,-0.0222184888463061,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
OPI1:RPD3:YAP6,C14:0,0.6670902551268134,False,-0.1153087526931271,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
OPI1:RPD3:TFC7,C14:0,0.5372029223603187,False,-0.1654118500370892,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
OPI1:SPT3:YAP6,C14:0,0.8458567732331252,False,-0.0537280587690526,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OPI1:SPT3:TFC7,C14:0,0.4941245485280501,False,-0.1832961742832505,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OPI1:YAP6:TFC7,C14:0,0.4128552210734465,False,-0.2195166496643045,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FKH1:GCN5:MED4,C16:0,0.5502540794970467,False,-0.1662897775548186,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
FKH1:GCN5:OPI1,C16:0,4.070945976005138e-08,True,-1.4840841030829266,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
FKH1:GCN5:RFX1,C16:0,2.370404796788156e-13,True,-1.981226871698206,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
FKH1:GCN5:RGR1,C16:0,2.3211678117909376e-09,True,-1.6154684354185702,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
FKH1:GCN5:RPD3,C16:0,2.0259367020536388e-14,True,-2.068557156764101,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True
FKH1:GCN5:SPT3,C16:0,2.92193284700599e-16,True,-2.2112215350307447,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
FKH1:GCN5:YAP6,C16:0,6.108700551461181e-15,True,-2.1098558999778936,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True
FKH1:GCN5:TFC7,C16:0,2.5842931318731803e-19,True,-2.429902526933108,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
FKH1:MED4:OPI1,C16:0,0.0012107195392577,True,-0.8489429562142483,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FKH1:MED4:RFX1,C16:0,0.0458153318284213,True,-0.5238679144564788,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
FKH1:MED4:RGR1,C16:0,0.0043769128294656,True,-0.7475040992802555,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
FKH1:MED4:RPD3,C16:0,0.0190584944897191,True,-0.6149685675772929,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
FKH1:MED4:SPT3,C16:0,0.0019114311092343,True,-0.8141381293902332,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FKH1:MED4:YAP6,C16:0,0.0067549189684905,True,-0.7105317676704148,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
FKH1:MED4:TFC7,C16:0,0.0068809066057101,True,-0.7089218240941153,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FKH1:OPI1:RFX1,C16:0,2.4233697629204763e-08,True,-1.4633769984810605,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
FKH1:OPI1:RGR1,C16:0,0.0002780987561176,True,-0.9534882413641314,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FKH1:OPI1:RPD3,C16:0,3.294235493025622e-10,True,-1.6994856603930188,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
FKH1:OPI1:SPT3,C16:0,8.464144766531045e-09,True,-1.510660650277089,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FKH1:OPI1:YAP6,C16:0,4.938081349146989e-09,True,-1.5343479361142531,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
FKH1:OPI1:TFC7,C16:0,2.7769354024892322e-08,True,-1.4571493037877974,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FKH1:RFX1:RGR1,C16:0,5.5511346521465846e-08,True,-1.4250785228206784,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
FKH1:RFX1:RPD3,C16:0,3.5569616052181977e-13,True,-1.907409604735424,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False
