graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_triangle,0,135,0,94,0.0,0.0,,,1.0
regulatory_triangle,1,134,0,94,0.7407407407407407,0.0,inf,inf,1.0
genetic_triangle,5,130,3,91,3.7037037037037037,3.1914893617021276,1.1604938271604939,1.1666666666666667,1.0
tflink_triangle,0,135,0,94,0.0,0.0,,,1.0
string12_0_neighborhood_triangle,0,135,0,94,0.0,0.0,,,1.0
string12_0_fusion_triangle,0,135,0,94,0.0,0.0,,,1.0
string12_0_cooccurence_triangle,0,135,0,94,0.0,0.0,,,1.0
string12_0_coexpression_triangle,1,134,3,91,0.7407407407407407,3.1914893617021276,0.23209876543209876,0.2263681592039801,0.3080283645092994
string12_0_experimental_triangle,4,131,4,90,2.962962962962963,4.25531914893617,0.6962962962962963,0.6870229007633588,0.719631581699628
string12_0_database_triangle,0,135,0,94,0.0,0.0,,,1.0
