graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_triangle,0,509,0,211,0.0,0.0,,,1.0
regulatory_triangle,5,504,1,210,0.9823182711198428,0.47393364928909953,2.072691552062868,2.0833333333333335,0.6768464516180526
genetic_triangle,17,492,13,198,3.3398821218074657,6.161137440758294,0.5420885597702887,0.5262664165103189,0.10075549904478608
tflink_triangle,0,509,0,211,0.0,0.0,,,1.0
string12_0_neighborhood_triangle,0,509,0,211,0.0,0.0,,,1.0
string12_0_fusion_triangle,0,509,0,211,0.0,0.0,,,1.0
string12_0_cooccurence_triangle,0,509,0,211,0.0,0.0,,,1.0
string12_0_coexpression_triangle,9,500,9,202,1.768172888015717,4.265402843601896,0.41453831041257366,0.404,0.06521316579569361
string12_0_experimental_triangle,25,484,11,200,4.911591355599215,5.213270142180095,0.9421325236649403,0.9391435011269722,0.8524336177383776
string12_0_database_triangle,0,509,0,211,0.0,0.0,,,1.0
