gene_set,ffa_type,p_value,significant_p05,interaction_score,physical_edge,regulatory_edge,genetic_edge,tflink_edge,string12_0_neighborhood_edge,string12_0_fusion_edge,string12_0_cooccurence_edge,string12_0_coexpression_edge,string12_0_experimental_edge,string12_0_database_edge
FKH1:GCN5,C14:0,0.6298094259177665,False,-0.1008006499830651,False,False,True,False,False,False,False,True,True,True
FKH1:MED4,C14:0,3.208957657916476e-05,True,-0.8300538685658552,False,False,False,False,False,False,False,False,False,False
FKH1:OPI1,C14:0,4.3391830201693024e-13,True,-1.4850288616461491,False,False,False,True,False,False,False,False,False,False
FKH1:RFX1,C14:0,2.0239228917807027e-14,True,-1.575162761289111,False,False,False,False,False,False,False,False,True,False
FKH1:RGR1,C14:0,2.6690878580674268e-18,True,-1.821030948182495,False,False,False,False,False,False,False,False,False,False
FKH1:RPD3,C14:0,1.345154379103255e-11,True,-1.3793977219678135,False,True,False,True,False,False,False,True,True,False
FKH1:SPT3,C14:0,1.9614920486128307e-10,True,-1.2928131725751442,False,True,False,False,False,False,False,False,False,False
FKH1:YAP6,C14:0,4.657632630125107e-12,True,-1.4126077130077044,False,True,False,True,False,False,False,False,True,False
FKH1:TFC7,C14:0,8.648321015376592e-14,True,-1.532897069605902,False,False,False,False,False,False,False,False,False,False
GCN5:MED4,C14:0,0.0423667197409996,True,-0.4490236486212122,False,False,False,False,False,False,False,False,True,False
GCN5:OPI1,C14:0,0.049696656003218,True,-0.4115381911144546,False,False,False,False,False,False,False,True,True,False
GCN5:RFX1,C14:0,0.002601186462407,True,-0.6339064696706096,False,False,False,False,False,False,False,False,False,False
GCN5:RGR1,C14:0,1.7318748264612837e-05,True,-0.9108954841679642,False,False,True,False,False,False,False,False,True,False
GCN5:RPD3,C14:0,0.0885819028944967,False,-0.3568413158833137,True,True,True,False,False,False,False,True,True,False
GCN5:SPT3,C14:0,0.2411925761019621,False,-0.2453124904827084,True,False,True,False,False,False,False,True,True,True
GCN5:YAP6,C14:0,0.1406339743213246,False,-0.3085853939325091,False,False,False,True,False,False,False,False,False,False
GCN5:TFC7,C14:0,0.0550419458704783,False,-0.4022563102586161,False,False,False,False,False,False,False,False,False,False
MED4:OPI1,C14:0,4.099405234820836e-06,True,-0.9222232216303048,False,True,False,False,False,False,False,False,False,False
MED4:RFX1,C14:0,2.0434642530659973e-13,True,-1.5075050012515236,False,False,False,False,False,False,False,False,False,False
MED4:RGR1,C14:0,9.878160286306674e-13,True,-1.460207906367041,True,False,True,False,False,False,False,True,True,True
MED4:RPD3,C14:0,0.0001399958010571,True,-0.7586195026731333,False,False,False,False,False,False,False,False,False,False
MED4:SPT3,C14:0,4.3376963331607135e-08,True,-1.1036931600029705,False,False,True,False,False,False,False,False,False,False
MED4:YAP6,C14:0,3.509902090312e-07,True,-1.0234458068435353,False,False,False,False,False,False,False,False,False,False
MED4:TFC7,C14:0,1.619035423955468e-05,True,-0.8615797243825085,False,False,False,False,False,False,False,False,False,False
OPI1:RFX1,C14:0,0.0040905012132439,True,-0.5692860818601204,False,False,False,False,False,False,False,False,False,False
OPI1:RGR1,C14:0,2.549925172003044e-05,True,-0.840754181397225,False,False,False,False,False,False,False,False,False,False
OPI1:RPD3,C14:0,0.0757615570393934,False,-0.3507855239361683,False,False,False,False,False,False,False,True,True,False
OPI1:SPT3,C14:0,0.1918265808090763,False,-0.2575428821522907,False,False,True,False,False,False,False,False,False,False
OPI1:YAP6,C14:0,0.2082958976311605,False,-0.2482605427754449,False,False,False,False,False,False,False,False,False,False
OPI1:TFC7,C14:0,0.5320554275257017,False,-0.1231806330461633,False,False,False,False,False,False,False,False,False,False
RFX1:RGR1,C14:0,1.727119983323695e-08,True,-1.1376278441548808,False,False,False,False,False,False,False,False,False,False
RFX1:RPD3,C14:0,0.0002296305047163,True,-0.7333673795370466,False,False,True,False,False,False,False,False,True,False
RFX1:SPT3,C14:0,0.0003425759557299,True,-0.7124265150742991,False,False,False,False,False,False,False,False,False,False
RFX1:YAP6,C14:0,0.0002416657372295,True,-0.730720349812142,False,False,False,True,False,False,False,True,False,False
RFX1:TFC7,C14:0,0.0001813065734373,True,-0.745511301212713,False,False,False,False,False,False,False,False,False,False
RGR1:RPD3,C14:0,2.8789645825938112e-09,True,-1.2015242337327474,False,False,True,False,False,False,False,False,False,False
RGR1:SPT3,C14:0,7.962143754063538e-06,True,-0.8933283944570518,False,False,True,False,False,False,False,False,False,False
RGR1:YAP6,C14:0,1.901974612520607e-06,True,-0.9547674873513776,False,False,False,True,False,False,False,False,False,False
RGR1:TFC7,C14:0,0.0002175929299596,True,-0.7361491257746591,False,False,False,False,False,False,False,False,False,False
RPD3:SPT3,C14:0,0.1200792010699569,False,-0.3068866894664332,False,False,True,False,False,False,False,True,True,False
RPD3:YAP6,C14:0,0.0492491336431496,True,-0.3886414796888806,False,True,True,False,False,False,False,False,True,False
RPD3:TFC7,C14:0,0.1436943663606914,False,-0.2886105979552906,False,False,True,False,False,False,False,False,False,False
SPT3:YAP6,C14:0,0.1626990322706471,False,-0.2755209771604285,False,False,False,False,False,False,False,False,False,False
SPT3:TFC7,C14:0,0.0802331513366578,False,-0.3455286476392196,False,False,False,False,False,False,False,False,False,False
YAP6:TFC7,C14:0,0.358654581720245,False,-0.1810121017586263,False,False,False,False,False,False,False,False,False,False
FKH1:GCN5,C16:0,3.91404265385104e-06,True,0.9252550788799672,False,False,True,False,False,False,False,True,True,True
FKH1:MED4,C16:0,0.0866205932792347,False,0.3193200560401576,False,False,False,False,False,False,False,False,False,False
FKH1:OPI1,C16:0,1.4670304725335798e-06,True,0.9110779435113838,False,False,False,True,False,False,False,False,False,False
FKH1:RFX1,C16:0,5.391798921594476e-05,True,0.7600186973122443,False,False,False,False,False,False,False,False,True,False
FKH1:RGR1,C16:0,1.2892303446259996e-05,True,0.8226654850531707,False,False,False,False,False,False,False,False,False,False
FKH1:RPD3,C16:0,3.0532551945239203e-10,True,1.2059768943135392,False,True,False,True,False,False,False,True,True,False
FKH1:SPT3,C16:0,4.670646217395857e-05,True,0.7664918380937817,False,True,False,False,False,False,False,False,False,False
FKH1:YAP6,C16:0,9.407088601059608e-07,True,0.9283168770919604,False,True,False,True,False,False,False,False,True,False
FKH1:TFC7,C16:0,8.422027899589526e-07,True,0.9325685870975046,False,False,False,False,False,False,False,False,False,False
GCN5:MED4,C16:0,2.6464577302421694e-05,True,0.8859136445801076,False,False,False,False,False,False,False,False,True,False
GCN5:OPI1,C16:0,0.4337715722897123,False,0.154503858721087,False,False,False,False,False,False,False,True,True,False
GCN5:RFX1,C16:0,0.2689334144315942,False,0.2183119797408614,False,False,False,False,False,False,False,False,False,False
GCN5:RGR1,C16:0,0.510100114999162,False,0.1299966498218017,False,False,True,False,False,False,False,False,True,False
GCN5:RPD3,C16:0,0.0062146255487819,True,0.5428540132343367,True,True,True,False,False,False,False,True,True,False
GCN5:SPT3,C16:0,0.0807901927167193,False,0.3452806393245548,True,False,True,False,False,False,False,True,True,True
GCN5:YAP6,C16:0,0.1409015172246774,False,0.2909731056556331,False,False,False,True,False,False,False,False,False,False
GCN5:TFC7,C16:0,1.271818961662343e-07,True,1.0642014751175417,False,False,False,False,False,False,False,False,False,False
MED4:OPI1,C16:0,2.136297793401888e-15,True,1.546674166425594,False,True,False,False,False,False,False,False,False,False
MED4:RFX1,C16:0,3.025721055234365e-09,True,1.1320738408180926,False,False,False,False,False,False,False,False,False,False
MED4:RGR1,C16:0,2.5519160207385818e-11,True,1.2823684573638938,True,False,True,False,False,False,False,True,True,True
MED4:RPD3,C16:0,1.1525726610179613e-15,True,1.5629900585337273,False,False,False,False,False,False,False,False,False,False
MED4:SPT3,C16:0,6.165745080957101e-10,True,1.1836966546440064,False,False,True,False,False,False,False,False,False,False
MED4:YAP6,C16:0,8.641388133260812e-11,True,1.2452519480579574,False,False,False,False,False,False,False,False,False,False
MED4:TFC7,C16:0,6.155031148165062e-13,True,1.3912988908352804,False,False,False,False,False,False,False,False,False,False
OPI1:RFX1,C16:0,0.0011561307522253,True,0.6089994240447794,False,False,False,False,False,False,False,False,False,False
OPI1:RGR1,C16:0,0.1703147833203577,False,0.2553293188027077,False,False,False,False,False,False,False,False,False,False
OPI1:RPD3,C16:0,8.3200179394845e-09,True,1.0983060236995872,False,False,False,False,False,False,False,True,True,False
OPI1:SPT3,C16:0,0.0011395656536575,True,0.6097803872727432,False,False,True,False,False,False,False,False,False,False
OPI1:YAP6,C16:0,0.0017160365233525,True,0.5873045824380525,False,False,False,False,False,False,False,False,False,False
OPI1:TFC7,C16:0,0.0042970396379466,True,0.5342020379743411,False,False,False,False,False,False,False,False,False,False
RFX1:RGR1,C16:0,0.0267556420643529,True,0.4133932743863422,False,False,False,False,False,False,False,False,False,False
RFX1:RPD3,C16:0,2.3434900045614685e-08,True,1.0628947305415477,False,False,True,False,False,False,False,False,True,False
