gene_set,ffa_type,p_value,significant_p05,interaction_score,physical_triangle,physical_connected,regulatory_triangle,regulatory_connected,genetic_triangle,genetic_connected,tflink_triangle,tflink_connected,string12_0_neighborhood_triangle,string12_0_neighborhood_connected,string12_0_fusion_triangle,string12_0_fusion_connected,string12_0_cooccurence_triangle,string12_0_cooccurence_connected,string12_0_coexpression_triangle,string12_0_coexpression_connected,string12_0_experimental_triangle,string12_0_experimental_connected,string12_0_database_triangle,string12_0_database_connected
FKH1:GCN5:MED4,C14:0,0.0184730051213141,True,0.6996728958633813,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
FKH1:GCN5:OPI1,C14:0,0.0188013913592609,True,0.6778361971961246,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
FKH1:GCN5:RFX1,C14:0,0.0177416386640025,True,0.6840967784881942,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
FKH1:GCN5:RGR1,C14:0,1.269928459141141e-05,True,1.272170862751414,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
FKH1:GCN5:RPD3,C14:0,0.0601580497084825,False,0.5414920527258982,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True
FKH1:GCN5:SPT3,C14:0,0.2114760265609325,False,0.3594397943709877,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
FKH1:GCN5:YAP6,C14:0,0.1028721999733803,False,0.4695855010892846,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True
FKH1:GCN5:TFC7,C14:0,0.0063283872983597,True,0.7888382226354627,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
FKH1:MED4:OPI1,C14:0,1.4239322755792772e-09,True,1.7337367986064791,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FKH1:MED4:RFX1,C14:0,4.2709650053891294e-11,True,1.898670183475456,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
FKH1:MED4:RGR1,C14:0,2.091391179903914e-12,True,2.0326785364152906,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
FKH1:MED4:RPD3,C14:0,2.498568677190865e-06,True,1.334039988429113,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
FKH1:MED4:SPT3,C14:0,3.886773435219434e-06,True,1.3074545413502874,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FKH1:MED4:YAP6,C14:0,1.4583065587938193e-08,True,1.6175457300651104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
FKH1:MED4:TFC7,C14:0,3.133514443079834e-09,True,1.6950213351265786,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FKH1:OPI1:RFX1,C14:0,1.0268430632518442e-11,True,1.9627954352113688,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
FKH1:OPI1:RGR1,C14:0,1.5680738809124691e-16,True,2.4205974768714142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
