graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_connected,65,296,36,102,18.005540166204987,26.08695652173913,0.6902123730378579,0.6221846846846847,0.047234504244295705
regulatory_connected,17,344,6,132,4.7091412742382275,4.3478260869565215,1.0831024930747923,1.0872093023255813,1.0
genetic_connected,212,149,83,55,58.72576177285318,60.14492753623188,0.9764042318859927,0.9428317296029757,0.8387848306336523
tflink_connected,27,334,12,126,7.479224376731302,8.695652173913043,0.8601108033240997,0.8488023952095808,0.709492594430591
string12_0_neighborhood_connected,0,361,0,138,0.0,0.0,,,1.0
string12_0_fusion_connected,0,361,0,138,0.0,0.0,,,1.0
string12_0_cooccurence_connected,0,361,0,138,0.0,0.0,,,1.0
string12_0_coexpression_connected,181,180,71,67,50.13850415512465,51.44927536231884,0.9745230385080565,0.9489045383411581,0.8415122249572229
string12_0_experimental_connected,245,116,88,50,67.86703601108033,63.768115942028984,1.0642785192646689,1.2000391849529781,0.3968404659717259
string12_0_database_connected,66,295,22,116,18.282548476454295,15.942028985507246,1.1468144044321331,1.1796610169491526,0.6005782364525069
