graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_connected,14,108,23,76,11.475409836065573,23.232323232323232,0.4939415538132573,0.428341384863124,0.028814713790868442
regulatory_connected,3,119,4,95,2.459016393442623,4.040404040404041,0.6086065573770492,0.5987394957983193,0.7031705759020646
genetic_connected,71,51,60,39,58.19672131147541,60.60606060606061,0.9602459016393442,0.9049019607843137,0.7834587088997929
tflink_connected,8,114,7,92,6.557377049180328,7.070707070707071,0.927400468384075,0.9223057644110275,1.0
string12_0_neighborhood_connected,0,122,0,99,0.0,0.0,,,1.0
string12_0_fusion_connected,0,122,0,99,0.0,0.0,,,1.0
string12_0_cooccurence_connected,0,122,0,99,0.0,0.0,,,1.0
string12_0_coexpression_connected,46,76,62,37,37.704918032786885,62.62626262626262,0.6020624008461132,0.36120543293718166,0.00026072666053926464
string12_0_experimental_connected,61,61,62,37,50.0,62.62626262626262,0.7983870967741936,0.5967741935483871,0.07660125667266668
string12_0_database_connected,16,106,16,83,13.114754098360656,16.161616161616163,0.8114754098360656,0.7830188679245284,0.5673015562825237
