graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_triangle,0,483,0,237,0.0,0.0,,,1.0
regulatory_triangle,5,478,1,236,1.0351966873706004,0.4219409282700422,2.453416149068323,2.4686192468619246,0.6694721642399535
genetic_triangle,16,467,14,223,3.3126293995859215,5.9071729957805905,0.5607808340727596,0.5457326399510554,0.11374415333520553
tflink_triangle,0,483,0,237,0.0,0.0,,,1.0
string12_0_neighborhood_triangle,0,483,0,237,0.0,0.0,,,1.0
string12_0_fusion_triangle,0,483,0,237,0.0,0.0,,,1.0
string12_0_cooccurence_triangle,0,483,0,237,0.0,0.0,,,1.0
string12_0_coexpression_triangle,7,476,11,226,1.4492753623188406,4.641350210970464,0.31225296442687744,0.30213903743315507,0.018989331636625514
string12_0_experimental_triangle,23,460,13,224,4.761904761904762,5.485232067510548,0.8681318681318682,0.8615384615384616,0.7168986023444386
string12_0_database_triangle,0,483,0,237,0.0,0.0,,,1.0
