graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_edge,4,33,2,51,10.81081081081081,3.7735849056603774,2.864864864864865,3.090909090909091,0.22388618622726553
regulatory_edge,6,31,4,49,16.216216216216218,7.547169811320755,2.1486486486486487,2.370967741935484,0.30693038168726233
genetic_edge,11,26,16,37,29.72972972972973,30.18867924528302,0.9847972972972973,0.9783653846153846,1.0
tflink_edge,4,33,7,46,10.81081081081081,13.20754716981132,0.8185328185328186,0.7965367965367965,1.0
string12_0_neighborhood_edge,0,37,0,53,0.0,0.0,,,1.0
string12_0_fusion_edge,0,37,0,53,0.0,0.0,,,1.0
string12_0_cooccurence_edge,0,37,0,53,0.0,0.0,,,1.0
string12_0_coexpression_edge,9,28,8,45,24.324324324324323,15.09433962264151,1.6114864864864864,1.8080357142857142,0.2879731053373643
string12_0_experimental_edge,16,21,12,41,43.24324324324324,22.641509433962263,1.90990990990991,2.6031746031746033,0.06307350443841683
string12_0_database_edge,2,35,4,49,5.405405405405405,7.547169811320755,0.7162162162162162,0.7,1.0
