graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_connected,73,336,65,246,17.848410757946212,20.90032154340836,0.8539778070340418,0.8222527472527472,0.33928190319894413
regulatory_connected,18,391,12,299,4.400977995110025,3.8585209003215435,1.1405867970660146,1.1470588235294117,0.8511469736552042
genetic_connected,249,160,177,134,60.880195599022,56.91318327974277,1.0697028718246238,1.178177966101695,0.2852718200394153
tflink_connected,30,379,24,287,7.334963325183374,7.717041800643087,0.9504889975550121,0.9465699208443272,0.8868964420640684
string12_0_neighborhood_connected,0,409,0,311,0.0,0.0,,,1.0
string12_0_fusion_connected,0,409,0,311,0.0,0.0,,,1.0
string12_0_cooccurence_connected,0,409,0,311,0.0,0.0,,,1.0
string12_0_coexpression_connected,205,204,155,156,50.122249388753055,49.839228295819936,1.0056786812840128,1.0113851992409868,1.0
string12_0_experimental_connected,259,150,197,114,63.32518337408313,63.344051446945336,0.9997021334690281,0.9991878172588833,1.0
string12_0_database_connected,76,333,44,267,18.581907090464547,14.14790996784566,1.3134029784396533,1.384930384930385,0.12999088677870624
