graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_triangle,0,286,0,123,0.0,0.0,,,1.0
regulatory_triangle,4,282,1,122,1.3986013986013985,0.8130081300813008,1.7202797202797202,1.7304964539007093,1.0
genetic_triangle,9,277,8,115,3.1468531468531467,6.504065040650406,0.4838286713286713,0.46705776173285196,0.1734013261647179
tflink_triangle,0,286,0,123,0.0,0.0,,,1.0
string12_0_neighborhood_triangle,0,286,0,123,0.0,0.0,,,1.0
string12_0_fusion_triangle,0,286,0,123,0.0,0.0,,,1.0
string12_0_cooccurence_triangle,0,286,0,123,0.0,0.0,,,1.0
string12_0_coexpression_triangle,6,280,7,116,2.097902097902098,5.691056910569106,0.36863136863136864,0.3551020408163265,0.06885780009482513
string12_0_experimental_triangle,17,269,10,113,5.944055944055944,8.130081300813009,0.731118881118881,0.7141263940520446,0.3950121046900644
string12_0_database_triangle,0,286,0,123,0.0,0.0,,,1.0
