graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_connected,24,99,30,158,19.51219512195122,15.957446808510639,1.2227642276422763,1.2767676767676768,0.4461193209877836
regulatory_connected,4,119,4,184,3.252032520325203,2.127659574468085,1.5284552845528456,1.546218487394958,0.7168113865061367
genetic_connected,77,46,109,79,62.60162601626016,57.97872340425532,1.0797344670694413,1.213203031511767,0.47810405534094225
tflink_connected,8,115,9,179,6.504065040650406,4.787234042553192,1.3586269196025291,1.3835748792270532,0.6118075687496363
string12_0_neighborhood_connected,0,123,0,188,0.0,0.0,,,1.0
string12_0_fusion_connected,0,123,0,188,0.0,0.0,,,1.0
string12_0_cooccurence_connected,0,123,0,188,0.0,0.0,,,1.0
string12_0_coexpression_connected,65,58,87,101,52.84552845528455,46.276595744680854,1.1419493505279878,1.301030519223147,0.2966438592966606
string12_0_experimental_connected,76,47,102,86,61.78861788617886,54.255319148936174,1.138849035549179,1.3633708802670004,0.19923616039051945
string12_0_database_connected,21,102,19,169,17.073170731707318,10.106382978723405,1.6893453145057766,1.8312693498452013,0.08403897990914645
