graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_triangle,0,50,0,261,0.0,0.0,,,1.0
regulatory_triangle,0,50,0,261,0.0,0.0,,,1.0
genetic_triangle,2,48,11,250,4.0,4.21455938697318,0.9490909090909091,0.946969696969697,1.0
tflink_triangle,0,50,0,261,0.0,0.0,,,1.0
string12_0_neighborhood_triangle,0,50,0,261,0.0,0.0,,,1.0
string12_0_fusion_triangle,0,50,0,261,0.0,0.0,,,1.0
string12_0_cooccurence_triangle,0,50,0,261,0.0,0.0,,,1.0
string12_0_coexpression_triangle,0,50,4,257,0.0,1.5325670498084292,0.0,0.0,1.0
string12_0_experimental_triangle,0,50,6,255,0.0,2.2988505747126435,0.0,0.0,0.5944012362074401
string12_0_database_triangle,0,50,0,261,0.0,0.0,,,1.0
