graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_triangle,0,409,0,311,0.0,0.0,,,1.0
regulatory_triangle,5,404,1,310,1.2224938875305624,0.3215434083601286,3.801955990220049,3.8366336633663365,0.24279066204798616
genetic_triangle,17,392,13,298,4.156479217603912,4.180064308681672,0.9943577205190897,0.9941130298273155,1.0
tflink_triangle,0,409,0,311,0.0,0.0,,,1.0
string12_0_neighborhood_triangle,0,409,0,311,0.0,0.0,,,1.0
string12_0_fusion_triangle,0,409,0,311,0.0,0.0,,,1.0
string12_0_cooccurence_triangle,0,409,0,311,0.0,0.0,,,1.0
string12_0_coexpression_triangle,8,401,10,301,1.9559902200488997,3.215434083601286,0.6083129584352078,0.600498753117207,0.33816911843966957
string12_0_experimental_triangle,23,386,13,298,5.623471882640587,4.180064308681672,1.3453075042317095,1.365882821841371,0.39523733751149237
string12_0_database_triangle,0,409,0,311,0.0,0.0,,,1.0
