seed_gene,seed_orf,class,graph,k,n_reached,n_metabolic,n_on_locus,n_reactions_touched,n_reactions_off_locus,share_off_locus,out_degree
FKH1,YIL131C,regulator,physical,1,49,1,0,1,1,1.0,49
FKH1,YIL131C,regulator,physical,2,4675,924,12,2233,2177,0.9749216300940439,49
FKH1,YIL131C,regulator,physical,3,5717,1158,13,2709,2645,0.976375046142488,49
GCN5,YGR252W,regulator,physical,1,284,31,2,65,51,0.7846153846153846,284
GCN5,YGR252W,regulator,physical,2,5398,1097,12,2656,2600,0.9789156626506024,284
GCN5,YGR252W,regulator,physical,3,5718,1158,13,2709,2645,0.976375046142488,284
MED4,YOR174W,regulator,physical,1,71,3,0,19,19,1.0,71
MED4,YOR174W,regulator,physical,2,5237,1041,12,2581,2525,0.9783029833397908,71
MED4,YOR174W,regulator,physical,3,5717,1158,13,2709,2645,0.976375046142488,71
OPI1,YHL020C,regulator,physical,1,27,0,0,0,0,,27
OPI1,YHL020C,regulator,physical,2,5233,1035,11,2538,2500,0.9850275807722616,27
OPI1,YHL020C,regulator,physical,3,5718,1158,13,2709,2645,0.976375046142488,27
RFX1,YLR176C,regulator,physical,1,21,0,0,0,0,,21
RFX1,YLR176C,regulator,physical,2,5033,974,11,2402,2360,0.9825145711906744,21
RFX1,YLR176C,regulator,physical,3,5718,1158,13,2709,2645,0.976375046142488,21
RGR1,YLR071C,regulator,physical,1,61,2,1,16,8,0.5,61
RGR1,YLR071C,regulator,physical,2,5021,975,12,2440,2384,0.9770491803278688,61
RGR1,YLR071C,regulator,physical,3,5718,1158,13,2709,2645,0.976375046142488,61
RPD3,YNL330C,regulator,physical,1,92,6,1,13,12,0.9230769230769231,92
RPD3,YNL330C,regulator,physical,2,5368,1081,13,2623,2559,0.975600457491422,92
RPD3,YNL330C,regulator,physical,3,5718,1158,13,2709,2645,0.976375046142488,92
SPT3,YDR392W,regulator,physical,1,42,0,0,0,0,,42
SPT3,YDR392W,regulator,physical,2,5218,1021,11,2520,2478,0.9833333333333333,42
SPT3,YDR392W,regulator,physical,3,5718,1158,13,2709,2645,0.976375046142488,42
TFC7,YOR110W,regulator,physical,1,27,1,0,1,1,1.0,27
TFC7,YOR110W,regulator,physical,2,5196,1039,11,2534,2496,0.9850039463299132,27
TFC7,YOR110W,regulator,physical,3,5718,1158,13,2709,2645,0.976375046142488,27
YAP6,YDR259C,regulator,physical,1,50,2,0,3,3,1.0,50
YAP6,YDR259C,regulator,physical,2,4287,813,11,2113,2057,0.9734973970657832,50
YAP6,YDR259C,regulator,physical,3,5717,1157,13,2708,2644,0.9763663220088626,50
