order,readout,n_testable,n_called,n_called_pos,n_called_neg,median
digenic,C14:0,45,15,0,15,-1.3977075576331268
digenic,C16:0,45,29,29,0,0.5372250349461805
digenic,C18:0,45,25,25,0,0.440361754470211
digenic,C16:1,45,2,1,1,-0.2222398152466285
digenic,C18:1,45,14,14,0,0.4585487869277497
digenic,Total Titer,45,25,25,0,0.4029461645985761
trigenic,C14:0,119,26,26,0,3.90005113429224
trigenic,C16:0,119,66,6,60,-0.5366945909105338
trigenic,C18:0,119,71,8,63,-0.3664110200992825
trigenic,C16:1,119,3,2,1,0.4073603705008839
trigenic,C18:1,119,80,13,67,-1.8963526169560616
trigenic,Total Titer,119,86,11,75,-0.7165865553051326
