group,run_id,run_name,cluster,state,created_at,n_ranks,devices_cfg,max_epochs,batch_size,epochs_logged,last_epoch,wall_h,best_val_pearson,best_epoch,epoch_to_99pct,hours_to_99pct,final_val_pearson,best_mse_epoch,val_pearson_at_best_mse,lr,loss_schedule,transition_epoch,hidden_channels,num_heads,main_text
9_1,6q08iign,run_gpub065.delta.ncsa.illinois.edu-11270717_ae27690953ceb50c0ae59f12ed98f3e3fb88c31d0a0e0b89906183c9b0716ce1,Delta (4 x A40),failed,2025-07-31T18:35:00Z,4,4,1000,64,448,447,47.86132487717528,0.36637231707572937,121,76,8.844777998552223,0.3546604812145233,110,0.3660878539085388,1e-05,LinearUntilUniform,10,64.0,4.0,True
9_1,x3savllr,run_gpub003.delta.ncsa.illinois.edu-11273866_ae27690953ceb50c0ae59f12ed98f3e3fb88c31d0a0e0b89906183c9b0716ce1,Delta (4 x A40),failed,2025-07-31T21:09:00Z,4,4,1000,64,446,445,47.903377716376944,0.36707615852355957,109,70,7.774898546492778,0.3533305525779724,110,0.36658725142478943,1e-05,LinearUntilUniform,10,64.0,4.0,True
9_1,014mprap,run_compute-3-3-1941704_ff8554028c424f578dc4f0402ce2e9b0e3835f61c413ac5fd18af2c1f67f2e96,IGB,finished,2025-09-25T16:53:03Z,2,2,1000,64,1000,999,59.47474914788917,0.3675904870033264,98,54,3.368164961094722,0.2973770499229431,81,0.36725229024887085,1e-05,LinearUntilUniform,10,64.0,4.0,True
9_1,cbi441o8,run_gpub025.delta.ncsa.illinois.edu-13210224_ae27690953ceb50c0ae59f12ed98f3e3fb88c31d0a0e0b89906183c9b0716ce1,Delta (4 x A40),failed,2025-10-16T18:07:28Z,4,4,1000,64,650,649,47.87711233902638,0.36583057045936584,109,68,5.171273021710833,0.34695005416870117,112,0.3657357394695282,1e-05,LinearUntilUniform,10,64.0,4.0,False
9_1,p6urax0a,run_gpub080.delta.ncsa.illinois.edu-13210225_ae27690953ceb50c0ae59f12ed98f3e3fb88c31d0a0e0b89906183c9b0716ce1,Delta (4 x A40),failed,2025-10-16T18:40:38Z,4,4,1000,64,655,654,47.92773831261027,0.3651784658432007,140,81,6.114340874159722,0.35606953501701355,129,0.36449554562568665,1e-05,LinearUntilUniform,10,64.0,4.0,False
11_0,ok8k5e6z,run_gpub060.delta.ncsa.illinois.edu-11270650_e2e9a9c3206f22649af5c76b91a03e36d2acaf1ac05d666e5826ec6da4a89c08,Delta (4 x A40),crashed,2025-07-31T18:35:00Z,4,4,1000,64,262,261,47.80412349903278,0.3535841703414917,78,29,6.174824091986111,0.34748774766921997,67,0.353501558303833,1e-05,LinearUntilUniform,10,64.0,4.0,False
11_0,mj7paqg8,run_gpub076.delta.ncsa.illinois.edu-11273862_e2e9a9c3206f22649af5c76b91a03e36d2acaf1ac05d666e5826ec6da4a89c08,Delta (4 x A40),crashed,2025-07-31T20:56:56Z,4,4,1000,64,259,258,47.92383883297055,0.3544076383113861,76,29,6.014412546397222,0.35059383511543274,67,0.3541104793548584,1e-05,LinearUntilUniform,10,64.0,4.0,False
11_0,jo24cfpf,run_gpub032.delta.ncsa.illinois.edu-13210232_e2e9a9c3206f22649af5c76b91a03e36d2acaf1ac05d666e5826ec6da4a89c08,Delta (4 x A40),crashed,2025-10-16T19:16:45Z,4,4,1000,64,311,310,47.90441303674584,0.35546863079071045,82,37,5.622758037643611,0.3542826175689697,90,0.355261892080307,1e-05,LinearUntilUniform,10,64.0,4.0,False
11_0,3f9sh91s,run_gpub037.delta.ncsa.illinois.edu-13210231_e2e9a9c3206f22649af5c76b91a03e36d2acaf1ac05d666e5826ec6da4a89c08,Delta (4 x A40),failed,2025-10-16T19:16:46Z,4,4,1000,64,305,304,47.799319378396945,0.35918253660202026,304,265,42.47846509313528,0.35918253660202026,304,0.35918253660202026,1e-05,LinearUntilUniform,10,64.0,4.0,False
12_0,vqnrz2le,run_gpub033.delta.ncsa.illinois.edu-11255533_529500574683ee32acd1c6f4e014f59565e50a84b42c6c76844a9f43ec1800a8,Delta (4 x A40),failed,2025-07-30T01:47:43Z,4,4,1000,64,398,397,47.93244711925583,0.35816100239753723,336,43,5.011149986867221,0.35711804032325745,326,0.3570903241634369,1e-05,LinearUntilUniform,10,64.0,4.0,False
12_0,5akd0qwt,run_gpub006.delta.ncsa.illinois.edu-11273861_529500574683ee32acd1c6f4e014f59565e50a84b42c6c76844a9f43ec1800a8,Delta (4 x A40),failed,2025-07-31T20:38:05Z,4,4,1000,64,446,445,47.89134256688083,0.3602030873298645,432,363,39.81707590578277,0.35939061641693115,398,0.35935863852500916,1e-05,LinearUntilUniform,10,64.0,4.0,False
12_0,9jpfy547,run_compute-3-3-1940775_dd2b1fa1419e340a913e53235fd7abc19c4c0ac8367559e94a03a0f02d6283f3,IGB,finished,2025-09-23T01:20:43Z,2,2,1000,64,1000,999,65.21788948574694,0.3544960021972656,60,31,2.178917664945,0.33091118931770325,53,0.35435327887535095,1e-05,LinearUntilUniform,10,64.0,4.0,False
12_0,xxtxdu3y,run_gpub053.delta.ncsa.illinois.edu-13210234_529500574683ee32acd1c6f4e014f59565e50a84b42c6c76844a9f43ec1800a8,Delta (4 x A40),failed,2025-10-16T19:38:51Z,4,4,1000,64,634,633,47.901610458395,0.3596581816673279,450,375,29.816126917266665,0.3517884612083435,433,0.3590170741081238,1e-05,LinearUntilUniform,10,64.0,4.0,False
12_0,jww4tblb,run_gpub059.delta.ncsa.illinois.edu-13210235_529500574683ee32acd1c6f4e014f59565e50a84b42c6c76844a9f43ec1800a8,Delta (4 x A40),failed,2025-10-16T19:39:39Z,4,4,1000,64,648,647,47.90599046601,0.3577323853969574,608,45,3.6320858602322224,0.3558427393436432,90,0.35545575618743896,1e-05,LinearUntilUniform,10,64.0,4.0,False
cgt,lzs9pcj3,run_compute-3-3-2027905_a1260b50c3d74b6b7acea919b89416feb6fc957b3023c9ac866f90378df82625,IGB,finished,2025-12-14T02:19:33Z,4,4,600,256,64,63,62.265848630404165,0.4520016610622406,24,19,19.569005725267502,0.4428073763847351,21,0.44862058758735657,0.0001,,,,,True
cgt,yv4r30bi,run_compute-3-3-2027907_a1260b50c3d74b6b7acea919b89416feb6fc957b3023c9ac866f90378df82625,IGB,finished,2025-12-14T02:20:34Z,4,4,600,256,64,63,62.56984657637055,0.4472014009952545,25,17,17.41400404771111,0.4312470555305481,20,0.4440893232822418,0.0001,,,,,True
cgt,c7671wgj,run_compute-3-3-2036902_bd9e6c666ea1c0e7d1bbb6321fbc4d3bd5f60f100d6dc0e0288cd97e366fc15e,IGB,finished,2025-12-15T22:01:05Z,4,4,600,256,49,48,47.79344516414306,0.4619072675704956,24,18,18.441858667545553,0.4571880102157593,24,0.4619072675704956,0.0001,,,,,True
