rank,gene1,gene2,enables_triple_in_top_k,cumulative_triples_in_top_k,triples_enabled,max_possible
1,YDL036C,YJR149W,7,7,7,10
2,YGR288W,YMR182C,7,14,7,10
3,YGR288W,YJR153W,5,18,9,10
4,YDL036C,YJR153W,5,22,7,10
5,YDL036C,YDR363W-A,5,25,6,10
6,YDR363W-A,YGR288W,5,28,6,10
7,YGR288W,YPL046C,4,29,10,10
8,YGR288W,YJR149W,4,30,9,10
9,YAR035W,YPL046C,4,33,8,10
10,YAR035W,YGR288W,3,34,8,10
11,YDL036C,YGR288W,3,34,8,10
12,YDL036C,YPL046C,3,34,8,10
13,YGL240W,YGR288W,3,34,8,10
14,YGL240W,YJR149W,3,35,7,10
15,YMR182C,YOL016C,3,37,7,10
16,YGR288W,YIL124W,2,37,10,10
17,YOL016C,YPL046C,2,37,10,10
18,YIL124W,YJR149W,2,37,9,10
19,YJR149W,YOL016C,2,37,9,10
20,YJR153W,YPL046C,2,37,9,10
21,YDL036C,YIL124W,2,37,8,10
22,YAR035W,YGL240W,2,37,7,10
23,YDL036C,YDR213W,2,37,7,10
24,YDL036C,YGL240W,2,37,7,10
25,YGL240W,YJR153W,2,37,7,10
26,YMR182C,YPL046C,2,37,7,10
27,YDR363W-A,YIL124W,2,37,6,10
28,YDR363W-A,YPL046C,2,37,6,10
29,YJR149W,YMR182C,2,37,6,10
30,YDR363W-A,YJR149W,2,37,5,10
31,YDR363W-A,YJR153W,2,37,5,10
32,YGR288W,YOL016C,1,37,10,10
33,YDR213W,YGR288W,1,37,9,10
34,YDR213W,YPL046C,1,37,9,10
35,YJR149W,YPL046C,1,37,9,10
36,YAR035W,YDR213W,1,37,8,10
37,YAR035W,YOL016C,1,37,8,10
38,YDL036C,YOL016C,1,37,8,10
39,YDR213W,YJR149W,1,37,8,10
40,YDR213W,YJR153W,1,37,8,10
41,YGL240W,YIL124W,1,37,8,10
42,YGL240W,YPL046C,1,37,8,10
43,YAR035W,YMR182C,1,37,7,10
44,YDR213W,YMR182C,1,37,7,10
45,YIL124W,YMR182C,1,37,7,10
46,YJR153W,YMR182C,1,37,6,10
47,YIL124W,YOL016C,0,37,10,10
48,YIL124W,YPL046C,0,37,10,10
49,YDR213W,YIL124W,0,37,9,10
50,YDR213W,YOL016C,0,37,9,10
51,YIL124W,YJR153W,0,37,9,10
52,YJR153W,YOL016C,0,37,9,10
53,YAR035W,YIL124W,0,37,8,10
54,YDR213W,YGL240W,0,37,8,10
55,YGL240W,YOL016C,0,37,8,10
56,YAR035W,YJR149W,0,37,7,10
57,YAR035W,YJR153W,0,37,7,10
58,YDR363W-A,YOL016C,0,37,6,10
59,YAR035W,YDL036C,0,37,0,10
60,YAR035W,YDR363W-A,0,37,0,10
61,YDL036C,YMR182C,0,37,0,10
62,YDR213W,YDR363W-A,0,37,0,10
63,YDR363W-A,YGL240W,0,37,0,10
64,YDR363W-A,YMR182C,0,37,0,10
65,YGL240W,YMR182C,0,37,0,10
66,YJR149W,YJR153W,0,37,0,10
