gene,training_count,training_fraction,in_12_panel,in_24_panel
YLR174W,1086,0.0028826858350233056,False,True
YMR182C,1083,0.002874722614484567,True,True
YGR202C,826,0.00219254005499931,True,True
YPL046C,493,0.001308622575199346,True,True
YJR153W,316,0.0008387925634137796,True,True
YNL068C,309,0.0008202117154900566,False,True
YIL124W,304,0.0008069396812588259,True,True
YDR363W-A,303,0.0008042852744125798,True,True
YER170W,301,0.0007989764607200875,False,True
YPR119W,295,0.0007830500196426107,False,True
YGR134W,278,0.0007379251032564264,False,True
YCR073C,276,0.0007326162895639341,False,True
YER183C,11,2.9198475308707517e-05,False,True
YAR035W,11,2.9198475308707517e-05,True,True
YBR297W,10,2.654406846246138e-05,False,True
YCR091W,10,2.654406846246138e-05,False,True
YJR149W,10,2.654406846246138e-05,True,True
YGR288W,10,2.654406846246138e-05,True,True
YDL036C,10,2.654406846246138e-05,True,True
YGR044C,10,2.654406846246138e-05,False,True
YOL016C,9,2.3889661616215242e-05,True,True
YDR451C,9,2.3889661616215242e-05,False,True
YEL038W,0,0.0,False,True
YGL240W,0,0.0,True,True
