graph,rank,gene,name,degree
physical,1,YDL160C,DHH1,3606
physical,2,YAL021C,CCR4,3035
physical,3,YGL122C,NAB2,2625
physical,4,YLR378C,SEC61,2209
physical,5,YNL209W,SSB2,2056
physical,6,YLL013C,PUF3,1880
physical,7,YGL178W,MPT5,1781
physical,8,YBR245C,ISW1,1756
physical,9,YMR186W,HSC82,1490
physical,10,YOR198C,BFR1,1330
regulatory,1,YIL131C,FKH1,2991
regulatory,2,YLR403W,SFP1,2142
regulatory,3,YNL068C,FKH2,1832
regulatory,4,YIL101C,XBP1,1271
regulatory,5,YEL009C,GCN4,1261
regulatory,6,YJL127C,SPT10,1215
regulatory,7,YDR259C,YAP6,1177
regulatory,8,YBR049C,REB1,1010
regulatory,9,YDL005C,MED2,982
regulatory,10,YNL216W,RAP1,910
tflink,1,YEL009C,GCN4,4908
tflink,2,YML007W,YAP1,4815
tflink,3,YBL005W,PDR3,4777
tflink,4,YDL020C,RPN4,4730
tflink,5,YJR060W,CBF1,4356
tflink,6,YGL013C,PDR1,4353
tflink,7,YDR253C,MET32,4169
tflink,8,YPL038W,MET31,4159
tflink,9,YIR017C,MET28,4049
tflink,10,YPR086W,SUA7,3613
string12_0_neighborhood,1,YBR208C,DUR12,936
string12_0_neighborhood,2,YPL110C,GDE1,760
string12_0_neighborhood,3,YGR233C,PHO81,741
string12_0_neighborhood,4,YGL026C,TRP5,720
string12_0_neighborhood,5,YBR019C,GAL10,716
string12_0_neighborhood,6,YCL030C,HIS4,680
string12_0_neighborhood,7,YKL211C,TRP3,653
string12_0_neighborhood,8,YOL066C,RIB2,649
string12_0_neighborhood,9,YBR196C,PGI1,627
string12_0_neighborhood,10,YDR050C,TPI1,614
string12_0_fusion,1,YBR160W,CDC28,84
string12_0_fusion,2,YFL039C,ACT1,83
string12_0_fusion,3,YPL209C,IPL1,80
string12_0_fusion,4,YPL031C,PHO85,75
string12_0_fusion,5,YDL160C,DHH1,72
string12_0_fusion,6,YDL084W,SUB2,67
string12_0_fusion,7,YDR021W,FAL1,64
string12_0_fusion,8,YJL138C,TIF2,64
string12_0_fusion,9,YKL145W,RPT1,64
string12_0_fusion,10,YJL164C,TPK1,63
string12_0_cooccurence,1,YDR523C,SPS1,97
string12_0_cooccurence,2,YHR082C,KSP1,97
string12_0_cooccurence,3,YAR019C,CDC15,96
string12_0_cooccurence,4,YBR160W,CDC28,96
string12_0_cooccurence,5,YDL101C,DUN1,96
string12_0_cooccurence,6,YDL159W,STE7,96
string12_0_cooccurence,7,YDL214C,PRR2,96
string12_0_cooccurence,8,YDR247W,VHS1,96
string12_0_cooccurence,9,YJL095W,BCK1,96
string12_0_cooccurence,10,YJL165C,HAL5,96
string12_0_coexpression,1,YAL005C,SSA1,1770
string12_0_coexpression,2,YLL024C,SSA2,1643
string12_0_coexpression,3,YDL229W,SSB1,1585
string12_0_coexpression,4,YMR186W,HSC82,1567
string12_0_coexpression,5,YBR245C,ISW1,1525
string12_0_coexpression,6,YPL240C,HSP82,1521
string12_0_coexpression,7,YJL034W,KAR2,1504
string12_0_coexpression,8,YPL110C,GDE1,1489
string12_0_coexpression,9,YNL209W,SSB2,1469
string12_0_coexpression,10,YOR151C,RPB2,1467
string12_0_experimental,1,YGL122C,NAB2,2696
string12_0_experimental,2,YBR245C,ISW1,2307
string12_0_experimental,3,YOR198C,BFR1,2184
string12_0_experimental,4,YFL039C,ACT1,2065
string12_0_experimental,5,YAL005C,SSA1,2033
string12_0_experimental,6,YLL013C,PUF3,1965
string12_0_experimental,7,YPL110C,GDE1,1938
string12_0_experimental,8,YDL229W,SSB1,1849
string12_0_experimental,9,YLL039C,UBI4,1842
string12_0_experimental,10,YLL024C,SSA2,1785
string12_0_database,1,YMR110C,HFD1,374
string12_0_database,2,YHR037W,PUT2,331
string12_0_database,3,YOR374W,ALD4,331
string12_0_database,4,YMR169C,ALD3,329
string12_0_database,5,YBR006W,UGA2,328
string12_0_database,6,YMR170C,ALD2,328
string12_0_database,7,YER073W,ALD5,327
string12_0_database,8,YPL061W,ALD6,326
string12_0_database,9,YNL277W,MET2,316
string12_0_database,10,YMR129W,POM152,313
