channel,version_a,version_b,consecutive,edges_a,edges_b,shared,added,dropped,jaccard,retained_frac_of_a,retained_frac_of_b
neighborhood,v9.1,v11.0,True,45601,120965,32981,87984,12620,0.24689149230826815,0.7232516830771255,0.2726491133799033
neighborhood,v9.1,v12.0,False,45601,146713,25942,120771,19659,0.15592768013848485,0.5688910330913796,0.1768214132353643
neighborhood,v11.0,v12.0,True,120965,146713,65678,81035,55287,0.32513861386138615,0.5429504402099781,0.44766312460381835
fusion,v9.1,v11.0,True,1358,3914,565,3349,793,0.12003399192691735,0.41605301914580267,0.14435360245273376
fusion,v9.1,v12.0,False,1358,11787,429,11358,929,0.03373702422145329,0.3159057437407953,0.03639602952405192
fusion,v11.0,v12.0,True,3914,11787,2001,9786,1913,0.14605839416058394,0.5112416964741952,0.16976329854924918
cooccurence,v9.1,v11.0,True,2659,4668,1893,2775,766,0.34836216415163784,0.7119217751034224,0.4055269922879177
cooccurence,v9.1,v12.0,False,2659,11085,1792,9293,867,0.1499330655957162,0.6739375705152313,0.16165990076680198
cooccurence,v11.0,v12.0,True,4668,11085,2654,8431,2014,0.20261088632720056,0.5685518423307626,0.23942264321154713
coexpression,v9.1,v11.0,True,313688,554833,183849,370984,129839,0.2685212773415592,0.5860887251026498,0.3313591657309497
coexpression,v9.1,v12.0,False,313688,996199,211764,784435,101924,0.19284178548304698,0.6750784218714136,0.21257198611923922
coexpression,v11.0,v12.0,True,554833,996199,355122,641077,199711,0.29694709468103786,0.640052051698439,0.3564769689590132
experimental,v9.1,v11.0,True,219450,392772,121984,270788,97466,0.24882608039360474,0.5558623832308043,0.3105720367032273
experimental,v9.1,v12.0,False,219450,822094,153797,668297,65653,0.17324417880319506,0.700829346092504,0.18707957970743005
experimental,v11.0,v12.0,True,392772,822094,295506,526588,97266,0.32142577445179255,0.7523601478720479,0.35945524477736124
database,v9.1,v11.0,True,33486,46816,19776,27040,13710,0.32673561775104915,0.5905751657409066,0.4224196855775803
database,v9.1,v12.0,False,33486,72617,13325,59292,20161,0.14362241048524435,0.397927492086245,0.1834969772918187
database,v11.0,v12.0,True,46816,72617,26042,46575,20774,0.2788491396387232,0.5562628161312372,0.35862125948469364
