channel,version,nodes,edges
neighborhood,v9.1,2170,45601
neighborhood,v11.0,2115,120965
neighborhood,v12.0,2191,146713
fusion,v9.1,1187,1358
fusion,v11.0,2338,3914
fusion,v12.0,3081,11787
cooccurence,v9.1,1268,2659
cooccurence,v11.0,1307,4668
cooccurence,v12.0,2601,11085
coexpression,v9.1,5796,313688
coexpression,v11.0,5654,554833
coexpression,v12.0,6474,996199
experimental,v9.1,6079,219450
experimental,v11.0,5964,392772
experimental,v12.0,6016,822094
database,v9.1,2712,33486
database,v11.0,3081,46816
database,v12.0,4027,72617
