gene,appearances_in_top_10000,trigenic_train_records
YHL029C,4402,823
YPL046C,1367,493
YKL101W,943,797
YPL256C,914,1092
YLR386W,722,301
YMR186W,706,10
YDR294C,628,557
YPR160W,555,485
YLR021W,415,797
YDR363W-A,414,303
YDL056W,408,10
YPL227C,396,10
YMR238W,393,292
YDR072C,389,10
YOL090W,360,808
YDL170W,289,506
YLR357W,278,0
YGL077C,275,316
YJL187C,266,302
YHR167W,234,760
YNL020C,222,10
YKR028W,220,1323
YER016W,216,0
YGL096W,213,1073
YMR080C,212,314
YLR014C,210,815
YEL027W,208,0
YBR023C,203,287
YHL002W,179,820
YFR019W,177,11
YNL323W,177,0
YER088C,171,1386
YDR297W,168,9
YNL206C,165,0
YOR171C,165,289
YDR130C,165,493
YLR299W,161,528
YBR028C,150,279
YPR193C,150,551
YKR067W,150,7
YNR047W,147,10
YLR146C,140,9
YBL039C,139,0
YNL068C,138,309
YEL051W,136,0
YDL213C,129,490
YHR079C,128,292
YIL066C,125,10
YGL224C,124,11
YER019W,120,0
YCR020W-B,120,0
YEL042W,119,0
YKL010C,119,507
YCR033W,116,294
YCR065W,115,318
YPL089C,113,1298
YOR144C,111,762
YGR143W,111,10
YDL236W,109,0
YCR095C,108,838
YOR058C,106,304
YJL095W,106,303
YPR065W,106,810
YML059C,104,11
YOR002W,104,810
YFR007W,104,11
YDR287W,103,9
YDL122W,99,0
YPR140W,95,312
YGL175C,94,805
YPL214C,92,10
YER111C,91,287
YPR145W,91,11
YOR061W,89,272
YDR518W,87,0
YNL215W,86,0
YIL131C,86,10
YBR215W,85,320
YPR120C,84,313
YNL250W,84,0
YBL008W,83,316
YGR202C,83,826
YNL199C,83,0
YER056C,83,290
YGR279C,82,340
YLR421C,82,9
YGR123C,81,10
YLR260W,80,0
YGR044C,80,10
YDR213W,80,9
YLL010C,79,11
YOR241W,79,0
YPL181W,76,295
YMR048W,74,287
YJL068C,74,9
YDR266C,74,9
YMR036C,74,761
YOR038C,73,726
YER062C,72,0
YHR046C,70,10
YDL095W,69,315
YER163C,68,11
YER059W,68,1097
YDR260C,67,273
YEL037C,66,0
YOR304W,65,293
YGR170W,65,10
YNL248C,64,0
YEL061C,64,0
YOR025W,64,303
YOR113W,61,485
