tail,k,frac_with_query_double,mean_pairs_seen,mean_genes_seen,frac_all_three_genes_seen
most negative,10,0.0,2.2,2.9,0.9
most negative,30,0.0,1.7333333333333334,2.7333333333333334,0.7333333333333333
most negative,100,0.0,1.58,2.77,0.77
most negative,300,0.0,1.4633333333333334,2.7933333333333334,0.7933333333333333
most negative,1000,0.0,1.188,2.746,0.755
most negative,3000,0.0,0.9513333333333334,2.699333333333333,0.709
most negative,10000,0.0,0.6879,2.6647,0.6736
most negative,30000,0.0,0.5092666666666666,2.6333,0.6443666666666666
most negative,100000,1e-05,0.39027,2.61428,0.62973
most positive,10,0.0,2.8,3.0,1.0
most positive,30,0.0,2.3666666666666667,3.0,1.0
most positive,100,0.0,1.98,2.91,0.91
most positive,300,0.0033333333333333335,1.6,2.84,0.84
most positive,1000,0.003,1.297,2.806,0.807
most positive,3000,0.005333333333333333,1.099,2.7903333333333333,0.794
most positive,10000,0.0031,0.9508,2.7912,0.7938
most positive,30000,0.0021666666666666666,0.8283,2.787333333333333,0.7903333333333333
most positive,100000,0.00176,0.70617,2.78002,0.78299
whole space,4370595,0.0005559883722925597,0.38862946578211893,2.705479688692272,0.7167150010467682
