rank,gene1,gene2,enables_triple_in_top_k,cumulative_triples_in_top_k,triples_enabled,max_possible
1,YBR078W,YLR343W,7,7,10,10
2,YBR078W,YDR155C,6,12,8,10
3,YBR078W,YGR288W,5,15,10,10
4,YBR078W,YGL170C,5,19,8,10
5,YBR078W,YMR148W,4,20,10,10
6,YBR078W,YER079W,4,21,9,10
7,YBR078W,YCL011C,3,22,10,10
8,YBR078W,YKR100C,3,22,10,10
9,YBR078W,YNL030W,3,23,10,10
10,YBR078W,YER170W,3,23,9,10
11,YAL059W,YBR078W,3,23,8,10
12,YAL059W,YER079W,1,23,1,10
13,YAL059W,YGR288W,1,23,1,10
14,YAL059W,YMR148W,1,23,1,10
15,YCL011C,YGL170C,1,23,1,10
16,YCL011C,YLR343W,1,23,1,10
17,YCL011C,YNL030W,1,23,1,10
18,YDR155C,YER079W,1,23,1,10
19,YDR155C,YER170W,1,23,1,10
20,YDR155C,YGR288W,1,23,1,10
21,YDR155C,YKR100C,1,23,1,10
22,YDR155C,YLR343W,1,23,1,10
23,YDR155C,YMR148W,1,23,1,10
24,YER079W,YGL170C,1,23,1,10
25,YER079W,YLR343W,1,23,1,10
26,YER170W,YLR343W,1,23,1,10
27,YER170W,YNL030W,1,23,1,10
28,YGL170C,YGR288W,1,23,1,10
29,YGL170C,YKR100C,1,23,1,10
30,YGL170C,YMR148W,1,23,1,10
31,YGR288W,YLR343W,1,23,1,10
32,YGR288W,YNL030W,1,23,1,10
33,YKR100C,YLR343W,1,23,1,10
34,YLR343W,YMR148W,1,23,1,10
35,YAL059W,YCL011C,0,23,1,10
36,YAL059W,YER170W,0,23,1,10
37,YAL059W,YKR100C,0,23,1,10
38,YAL059W,YLR343W,0,23,1,10
39,YAL059W,YNL030W,0,23,1,10
40,YCL011C,YDR155C,0,23,1,10
41,YCL011C,YER079W,0,23,1,10
42,YCL011C,YER170W,0,23,1,10
43,YCL011C,YGR288W,0,23,1,10
44,YCL011C,YKR100C,0,23,1,10
45,YCL011C,YMR148W,0,23,1,10
46,YDR155C,YNL030W,0,23,1,10
47,YER079W,YGR288W,0,23,1,10
48,YER079W,YKR100C,0,23,1,10
49,YER079W,YMR148W,0,23,1,10
50,YER079W,YNL030W,0,23,1,10
51,YER170W,YGL170C,0,23,1,10
52,YER170W,YGR288W,0,23,1,10
53,YER170W,YKR100C,0,23,1,10
54,YER170W,YMR148W,0,23,1,10
55,YGL170C,YLR343W,0,23,1,10
56,YGL170C,YNL030W,0,23,1,10
57,YGR288W,YKR100C,0,23,1,10
58,YGR288W,YMR148W,0,23,1,10
59,YKR100C,YMR148W,0,23,1,10
60,YKR100C,YNL030W,0,23,1,10
61,YLR343W,YNL030W,0,23,1,10
62,YMR148W,YNL030W,0,23,1,10
63,YAL059W,YDR155C,0,23,0,10
64,YAL059W,YGL170C,0,23,0,10
65,YDR155C,YGL170C,0,23,0,10
66,YER079W,YER170W,0,23,0,10
