rank,gene1,gene2,gene3,inferred_gene_interaction
1,YBR078W,YDR155C,YER079W,0.1912841796875
2,YBR078W,YDR155C,YKR100C,0.1722412109375
3,YBR078W,YER079W,YGL170C,0.1468505859375
4,YBR078W,YDR155C,YMR148W,0.136962890625
5,YBR078W,YDR155C,YER170W,0.1287841796875
6,YBR078W,YCL011C,YLR343W,0.12286376953125
7,YBR078W,YER079W,YLR343W,0.11712646484375
8,YBR078W,YCL011C,YNL030W,0.1141357421875
9,YAL059W,YBR078W,YER079W,0.11322021484375
10,YBR078W,YER170W,YNL030W,0.1131591796875
11,YBR078W,YLR343W,YMR148W,0.11114501953125
12,YBR078W,YGR288W,YNL030W,0.10955810546875
13,YBR078W,YDR155C,YGR288W,0.1072998046875
14,YBR078W,YCL011C,YGL170C,0.1065673828125
15,YAL059W,YBR078W,YMR148W,0.10504150390625
16,YBR078W,YGL170C,YKR100C,0.1041259765625
17,YBR078W,YGL170C,YMR148W,0.10369873046875
18,YBR078W,YGR288W,YLR343W,0.099853515625
19,YBR078W,YER170W,YLR343W,0.094482421875
20,YBR078W,YKR100C,YLR343W,0.08978271484375
21,YBR078W,YGL170C,YGR288W,0.0882568359375
22,YAL059W,YBR078W,YGR288W,0.08502197265625
23,YBR078W,YDR155C,YLR343W,0.08355712890625
24,YAL059W,YBR078W,YCL011C,0.078857421875
25,YAL059W,YBR078W,YKR100C,0.07476806640625
26,YBR078W,YER170W,YGL170C,0.07342529296875
27,YBR078W,YGL170C,YLR343W,0.0660400390625
28,YBR078W,YLR343W,YNL030W,0.056427001953125
29,YAL059W,YBR078W,YER170W,0.055572509765625
30,YBR078W,YDR155C,YNL030W,0.04827880859375
31,YBR078W,YCL011C,YDR155C,0.046905517578125
32,YAL059W,YBR078W,YLR343W,0.041595458984375
33,YBR078W,YER170W,YMR148W,0.039459228515625
34,YAL059W,YBR078W,YNL030W,0.0367431640625
35,YBR078W,YMR148W,YNL030W,0.03448486328125
36,YBR078W,YER170W,YKR100C,0.030731201171875
37,YBR078W,YGL170C,YNL030W,0.03057861328125
38,YBR078W,YCL011C,YER170W,0.0260009765625
39,YBR078W,YER079W,YKR100C,0.02313232421875
40,YBR078W,YKR100C,YMR148W,0.0177764892578125
41,YBR078W,YGR288W,YKR100C,0.0176239013671875
42,YBR078W,YER079W,YMR148W,0.0143280029296875
43,YBR078W,YER170W,YGR288W,0.010589599609375
44,YBR078W,YER079W,YNL030W,0.0105438232421875
45,YBR078W,YGR288W,YMR148W,0.0089111328125
46,YBR078W,YCL011C,YKR100C,0.0081329345703125
47,YBR078W,YCL011C,YMR148W,0.005645751953125
48,YBR078W,YCL011C,YGR288W,0.0050048828125
49,YBR078W,YCL011C,YER079W,-0.00019657611846923828
50,YBR078W,YER079W,YGR288W,-0.0021038055419921875
51,YBR078W,YKR100C,YNL030W,-0.06781005859375
