index,gene1,gene2,mutant_type,DmfCostanzo2016_fitness,DmfCostanzo2016_std,DmfCostanzo2016_strain_id,DmiCostanzo2016_gene_interaction,DmiCostanzo2016_gene_interaction_p_value,DmiCostanzo2016_strain_id,DmfKuzmin2018_fitness,DmfKuzmin2018_std,DmfKuzmin2018_strain_id,DmiKuzmin2018_gene_interaction,DmiKuzmin2018_gene_interaction_p_value,DmiKuzmin2018_strain_id,DmfKuzmin2020_fitness,DmfKuzmin2020_std,DmfKuzmin2020_strain_id,DmiKuzmin2020_gene_interaction,DmiKuzmin2020_gene_interaction_p_value,DmiKuzmin2020_strain_id
1,YBR203W,YDR057W,double,1.1437,0.0102,YBR203W_dma358,0.0616,1.435e-05,YBR203W_dma358,,,,,,,,,,,,
2,YBR203W,YER079W,double,1.1326,0.0955,YBR203W_dma358,0.0554,0.3114,YBR203W_dma358,,,,,,,,,,,,
3,YBR203W,YGL087C,double,1.0457,0.0032,YBR203W_dma358,0.0129,0.003934,YBR203W_dma358,1.0287,0.046,YBR203W+YDL227C_tm3186,0.00298,0.483,YBR203W+YDL227C_tm3186,,,,,,
4,YBR203W,YIL174W,double,1.0582,0.0166,YBR203W_dma358,-0.0737,0.001047,YBR203W_dma358,,,,,,,,,,,,
5,YBR203W,YJR060W,double,0.6091,0.0247,YBR203W_dma358,-0.0028,0.4679,YBR203W_dma358,0.7677,0.0413,YBR203W+YDL227C_tm3186,-0.015547,0.3965,YBR203W+YDL227C_tm3186,,,,,,
6,YBR203W,YKL033W-A,double,1.0432,0.0111,YBR203W_dma358,-0.0277,0.05081,YBR203W_dma358,,,,,,,,,,,,
7,YBR203W,YLL012W,double,1.0984,0.0635,YBR203W_sn3868,0.0692,0.1585,YBR203W_sn3868,,,,,,,,,,,,
8,YBR203W,YLR104W,double,1.1025,0.0218,YBR203W_dma358,0.0321,0.1628,YBR203W_dma358,,,,,,,,,,,,
9,YBR203W,YLR312C-B,double,1.1144,0.0924,YBR203W_dma358,-0.0103,0.4579,YBR203W_dma358,,,,,,,,,,,,
10,YBR203W,YPL046C,double,1.1179,0.0171,YBR203W_dma358,0.036,0.07702,YBR203W_dma358,,,,,,,,,,,,
11,YBR203W,YPL081W,double,0.9957,0.0842,YBR203W_dma358,0.0054,0.4759,YBR203W_dma358,,,,,,,,,,,,
12,YDR057W,YER079W,double,1.0963,0.0541,YDR057W_dma863,0.0124,0.4351,YDR057W_dma863,,,,,,,,,,,,
13,YDR057W,YGL087C,double,1.1372,0.0238,YDR057W_dma863,0.0979,0.0009888,YDR057W_dma863,,,,,,,,,,,,
14,YDR057W,YIL174W,double,1.0826,0.0537,YDR057W_dma863,-0.0564,0.1898,YDR057W_dma863,,,,,,,,,,,,
15,YDR057W,YJR060W,double,0.5914,0.0378,YDR057W_dma863,-0.0243,0.2793,YDR057W_dma863,,,,,,,,,,,,
16,YDR057W,YKL033W-A,double,1.1285,0.0613,YDR057W_dma863,0.0509,0.2312,YDR057W_dma863,,,,,,,,,,,,
17,YDR057W,YLL012W,double,0.9995,0.069,YDR057W_sn190,-0.0361,0.2964,YDR057W_sn190,,,,,,,,,,,,
18,YDR057W,YLR104W,double,1.0338,0.0531,YDR057W_dma863,-0.0433,0.2379,YDR057W_dma863,,,,,,,,,,,,
19,YDR057W,YLR312C-B,double,1.1783,0.0257,YDR057W_dma863,0.0466,0.119,YDR057W_dma863,,,,,,,,,,,,
20,YDR057W,YPL046C,double,1.0917,0.0457,YDR057W_dma863,0.003,0.4784,YDR057W_dma863,,,,,,,,,,,,
21,YDR057W,YPL081W,double,1.0351,0.0447,YDR057W_dma863,0.0386,0.2599,YDR057W_dma863,,,,,,,,,,,,
22,YER079W,YGL087C,double,1.0263,0.047,YER079W_dma1369,-0.0083,0.4344,YER079W_dma1369,,,,,,,,,,,,
23,YER079W,YIL174W,double,1.1446,0.0164,YER079W_dma1369,0.0108,0.3365,YER079W_dma1369,,,,,,,,,,,,
24,YER079W,YJR060W,double,0.61,0.0183,YER079W_dma1369,-0.0029,0.4541,YER079W_dma1369,,,,,,,,,,,,
25,YER079W,YKL033W-A,double,1.1028,0.0292,YER079W_dma1369,0.0301,0.231,YER079W_dma1369,,,,,,,,,,,,
26,YER079W,YLL012W,double,0.9895,0.0209,YER079W_sn3579,-0.0414,0.09627,YER079W_sn3579,,,,,,,,,,,,
27,YER079W,YLR104W,double,1.0505,0.0611,YER079W_dma1369,-0.0217,0.3636,YER079W_dma1369,,,,,,,,,,,,
28,YER079W,YLR312C-B,double,1.0994,0.0393,YER079W_dma1369,-0.027,0.2897,YER079W_dma1369,,,,,,,,,,,,
29,YER079W,YPL046C,double,1.0711,0.0414,YER079W_dma1369,-0.0125,0.4015,YER079W_dma1369,,,,,,,,,,,,
30,YER079W,YPL081W,double,0.8625,0.0975,YER079W_dma1369,-0.1295,0.03516,YER079W_dma1369,,,,,,,,,,,,
31,YGL087C,YIL174W,double,1.0485,0.0841,YGL087C_dma1665,-0.0386,0.3265,YGL087C_dma1665,,,,,,,,,,,,
32,YGL087C,YJR060W,double,0.5129,0.172,YGL087C_dma1665,-0.0748,0.2683,YGL087C_dma1665,,,,,,,,,,,,
33,YGL087C,YKL033W-A,double,0.9913,0.0432,YGL087C_dma1665,-0.0372,0.261,YGL087C_dma1665,,,,,,,,,,,,
