index,gene1,gene2,mutant_type
1,YBR158W,YBR203W,double
2,YBR158W,YBR246W,double
3,YBR158W,YDR057W,double
4,YBR158W,YDR155C,double
5,YBR158W,YER079W,double
6,YBR158W,YGL087C,double
7,YBR158W,YIL174W,double
8,YBR158W,YJL017W,double
9,YBR158W,YJR060W,double
10,YBR158W,YKL033W-A,double
11,YBR158W,YKL200C,double
12,YBR158W,YKR054C,double
13,YBR158W,YLL005C,double
14,YBR158W,YLL012W,double
15,YBR158W,YLL017W,double
16,YBR158W,YLR104W,double
17,YBR158W,YLR312C-B,double
18,YBR158W,YLR351C,double
19,YBR158W,YMR244W,double
20,YBR158W,YOR126C,double
21,YBR158W,YPL046C,double
22,YBR158W,YPL081W,double
23,YBR158W,YPR053C,double
24,YBR203W,YBR246W,double
25,YBR203W,YDR057W,double
26,YBR203W,YDR155C,double
27,YBR203W,YER079W,double
28,YBR203W,YGL087C,double
29,YBR203W,YIL174W,double
30,YBR203W,YJL017W,double
31,YBR203W,YJR060W,double
32,YBR203W,YKL033W-A,double
33,YBR203W,YKL200C,double
34,YBR203W,YKR054C,double
35,YBR203W,YLL005C,double
36,YBR203W,YLL012W,double
37,YBR203W,YLL017W,double
38,YBR203W,YLR104W,double
39,YBR203W,YLR312C-B,double
40,YBR203W,YLR351C,double
41,YBR203W,YMR244W,double
42,YBR203W,YOR126C,double
43,YBR203W,YPL046C,double
44,YBR203W,YPL081W,double
45,YBR203W,YPR053C,double
46,YBR246W,YDR057W,double
47,YBR246W,YDR155C,double
48,YBR246W,YER079W,double
49,YBR246W,YGL087C,double
50,YBR246W,YIL174W,double
51,YBR246W,YJL017W,double
52,YBR246W,YJR060W,double
53,YBR246W,YKL033W-A,double
54,YBR246W,YKL200C,double
55,YBR246W,YKR054C,double
56,YBR246W,YLL005C,double
57,YBR246W,YLL012W,double
58,YBR246W,YLL017W,double
59,YBR246W,YLR104W,double
60,YBR246W,YLR312C-B,double
61,YBR246W,YLR351C,double
62,YBR246W,YMR244W,double
63,YBR246W,YOR126C,double
64,YBR246W,YPL046C,double
65,YBR246W,YPL081W,double
66,YBR246W,YPR053C,double
67,YDR057W,YDR155C,double
68,YDR057W,YER079W,double
69,YDR057W,YGL087C,double
70,YDR057W,YIL174W,double
71,YDR057W,YJL017W,double
72,YDR057W,YJR060W,double
73,YDR057W,YKL033W-A,double
74,YDR057W,YKL200C,double
75,YDR057W,YKR054C,double
76,YDR057W,YLL005C,double
77,YDR057W,YLL012W,double
78,YDR057W,YLL017W,double
79,YDR057W,YLR104W,double
80,YDR057W,YLR312C-B,double
81,YDR057W,YLR351C,double
82,YDR057W,YMR244W,double
83,YDR057W,YOR126C,double
84,YDR057W,YPL046C,double
85,YDR057W,YPL081W,double
86,YDR057W,YPR053C,double
87,YDR155C,YER079W,double
88,YDR155C,YGL087C,double
89,YDR155C,YIL174W,double
90,YDR155C,YJL017W,double
91,YDR155C,YJR060W,double
92,YDR155C,YKL033W-A,double
93,YDR155C,YKL200C,double
94,YDR155C,YKR054C,double
95,YDR155C,YLL005C,double
96,YDR155C,YLL012W,double
97,YDR155C,YLL017W,double
98,YDR155C,YLR104W,double
99,YDR155C,YLR312C-B,double
100,YDR155C,YLR351C,double
101,YDR155C,YMR244W,double
102,YDR155C,YOR126C,double
103,YDR155C,YPL046C,double
104,YDR155C,YPL081W,double
105,YDR155C,YPR053C,double
106,YER079W,YGL087C,double
107,YER079W,YIL174W,double
108,YER079W,YJL017W,double
109,YER079W,YJR060W,double
110,YER079W,YKL033W-A,double
111,YER079W,YKL200C,double
112,YER079W,YKR054C,double
113,YER079W,YLL005C,double
114,YER079W,YLL012W,double
115,YER079W,YLL017W,double
116,YER079W,YLR104W,double
117,YER079W,YLR312C-B,double
118,YER079W,YLR351C,double
119,YER079W,YMR244W,double
120,YER079W,YOR126C,double
121,YER079W,YPL046C,double
122,YER079W,YPL081W,double
123,YER079W,YPR053C,double
124,YGL087C,YIL174W,double
