type,label,between_source_spread,avg_within_source_std,spread_to_noise_ratio
single,YBR203W,0.0041,0.0458,0.0895
single,YGL087C,0.0108,0.094,0.1149
single,YJR060W,0.1623,0.1138,1.4262
single,YLL012W,0.0232,0.0424,0.5461
single,YPL046C,0.0604,0.0643,0.9393
double,YBR203W – YGL087C,0.017,0.0246,0.6911
double,YBR203W – YJR060W,0.1586,0.033,4.8061
double,YGL087C – YLL012W,0.0149,0.1822,0.0818
double,YGL087C – YPL046C,0.1125,0.0442,2.5481
double,YJR060W – YLL012W,0.5136,0.0536,9.5821
double,YJR060W – YPL046C,0.2287,0.039,5.8716
