panel_size,k,selected_genes,top_k_constructible,top_k_fraction,bot_k_constructible,bot_k_fraction,design_space,total_doubles,sameith_doubles,new_doubles_needed,overlap_betaxanthin,overlap_expanded_inference,overlap_metabolic,overlap_kemmeren,overlap_ohya,overlap_sameith
12,25,"YBR203W, YDR155C, YER079W, YIL174W, YJL017W, YKL033W-A, YKL200C, YLL012W, YLR104W, YLR312C-B, YPL081W, YPL207W",20,0.8,0,0.0,220,66,0,66,0,0,1,0,1,0
12,50,"YBR203W, YDR155C, YER079W, YIL174W, YJL017W, YKL033W-A, YKL200C, YKR054C, YLL017W, YLR104W, YLR312C-B, YPL081W",34,0.68,0,0.0,220,66,0,66,0,0,0,0,1,0
12,100,"YBR203W, YDR155C, YER079W, YIL174W, YJL017W, YKL033W-A, YKL200C, YLL005C, YLR104W, YLR312C-B, YMR244W, YPL081W",42,0.42,0,0.0,220,66,0,66,0,0,0,0,1,0
12,200,"YBR203W, YDR057W, YER079W, YGL087C, YIL174W, YJR060W, YKL033W-A, YLL012W, YLR104W, YLR312C-B, YPL046C, YPL081W",52,0.26,0,0.0,220,66,0,66,0,1,1,2,4,1
24,25,"YBR203W, YCR032W, YDR135C, YDR155C, YDR216W, YER079W, YGL081W, YGL087C, YIL174W, YIR002C, YJL017W, YJR060W, YKL033W-A, YKL200C, YLL012W, YLL015W, YLL017W, YLR104W, YLR312C-B, YLR351C, YMR225C, YPL081W, YPL207W, YPR058W",25,1.0,15,0.6,2024,276,0,276,0,0,5,1,6,1
24,50,"YAL027W, YBL069W, YBR149W, YBR203W, YBR281C, YCR032W, YDR155C, YER079W, YGL087C, YIL174W, YJL017W, YJR060W, YKL033W-A, YKL200C, YKR054C, YLL012W, YLL015W, YLL017W, YLR104W, YLR312C-B, YLR351C, YPL081W, YPL207W, YPR058W",50,1.0,5,0.1,2024,276,0,276,0,1,6,1,5,1
24,100,"YBR158W, YBR203W, YCR008W, YDR057W, YDR155C, YER079W, YGL050W, YGL087C, YIL174W, YJL017W, YJR060W, YKL033W-A, YKL200C, YKR054C, YLL005C, YLL012W, YLL017W, YLR013W, YLR104W, YLR312C-B, YMR244W, YPL081W, YPL176C, YPL207W",90,0.9,0,0.0,2024,276,1,275,0,1,2,2,5,2
24,200,"YBR158W, YBR203W, YBR246W, YDR057W, YDR155C, YER079W, YGL087C, YIL174W, YJL017W, YJR060W, YKL033W-A, YKL200C, YKR054C, YLL005C, YLL012W, YLL017W, YLR104W, YLR312C-B, YLR351C, YMR244W, YOR126C, YPL046C, YPL081W, YPR053C",136,0.68,0,0.0,2024,276,0,276,0,1,3,2,4,1
24,500,"YBR158W, YBR203W, YBR246W, YCR032W, YDR057W, YDR155C, YER079W, YGL087C, YIL174W, YJL017W, YJR060W, YKL033W-A, YKL200C, YKR054C, YLL012W, YLL017W, YLR104W, YLR312C-B, YLR351C, YMR244W, YOL153C, YOR126C, YPL046C, YPL081W",202,0.404,0,0.0,2024,276,0,276,0,1,3,2,5,1
24,1000,"YBR158W, YBR203W, YBR246W, YCR032W, YDR057W, YDR155C, YER079W, YGL087C, YIL171W, YIL174W, YJL017W, YKL033W-A, YKL200C, YKR054C, YLL012W, YLL017W, YLR104W, YLR312C-B, YLR351C, YMR244W, YOL153C, YOR126C, YPL046C, YPL081W",265,0.265,0,0.0,2024,276,0,276,0,1,3,1,4,0
24,2000,"YBR158W, YBR203W, YBR246W, YCR032W, YCR107W, YDR057W, YDR155C, YER079W, YGL087C, YIL174W, YJL017W, YKL033W-A, YKL200C, YKR054C, YLL012W, YLL017W, YLR104W, YLR312C-B, YMR244W, YOR016C, YOR126C, YPL046C, YPL081W, YPL207W",333,0.1665,0,0.0,2024,276,0,276,0,2,3,1,5,0
