index,gene1,gene2,gene3,prediction,mutant_type
1,YIL174W,YLL012W,YPL081W,0.73095703,triple
2,YIL174W,YKL033W-A,YPL081W,0.7114258,triple
3,YKL033W-A,YLR312C-B,YPL081W,0.7114258,triple
4,YER079W,YIL174W,YLL012W,0.7109375,triple
5,YER079W,YLL012W,YLR312C-B,0.7109375,triple
6,YIL174W,YLR104W,YPL081W,0.7011719,triple
7,YLR104W,YLR312C-B,YPL081W,0.7011719,triple
8,YBR203W,YLR312C-B,YPL081W,0.69873047,triple
9,YER079W,YIL174W,YLR104W,0.68408203,triple
10,YER079W,YLR104W,YLR312C-B,0.68408203,triple
11,YGL087C,YLR312C-B,YPL081W,0.68310547,triple
12,YIL174W,YJR060W,YPL081W,0.6699219,triple
13,YER079W,YJR060W,YLR312C-B,0.65771484,triple
14,YER079W,YIL174W,YJR060W,0.65771484,triple
15,YER079W,YIL174W,YKL033W-A,0.65625,triple
16,YER079W,YKL033W-A,YLR312C-B,0.65625,triple
17,YBR203W,YER079W,YLR312C-B,0.65478516,triple
18,YBR203W,YER079W,YIL174W,0.65478516,triple
19,YER079W,YGL087C,YIL174W,0.64208984,triple
20,YER079W,YGL087C,YLR312C-B,0.64208984,triple
21,YDR057W,YER079W,YLL012W,0.57470703,triple
22,YBR203W,YDR057W,YPL081W,0.5678711,triple
23,YDR057W,YKL033W-A,YPL081W,0.5415039,triple
24,YBR203W,YDR057W,YER079W,0.5332031,triple
25,YDR057W,YER079W,YLR104W,0.53222656,triple
26,YDR057W,YGL087C,YPL081W,0.51953125,triple
27,YDR057W,YER079W,YJR060W,0.5083008,triple
28,YER079W,YJR060W,YPL046C,0.49145508,triple
29,YBR203W,YER079W,YPL046C,0.47583008,triple
30,YER079W,YLL012W,YPL046C,0.46557617,triple
31,YJR060W,YLL012W,YPL046C,0.46435547,triple
32,YDR057W,YER079W,YGL087C,0.46166992,triple
33,YDR057W,YIL174W,YLL012W,0.45532227,triple
34,YDR057W,YLL012W,YLR312C-B,0.45532227,triple
35,YBR203W,YLL012W,YPL046C,0.45288086,triple
36,YDR057W,YKL033W-A,YLL012W,0.44921875,triple
37,YER079W,YLR104W,YPL046C,0.44506836,triple
38,YGL087C,YLL012W,YPL046C,0.44360352,triple
39,YBR203W,YLR104W,YPL046C,0.43847656,triple
40,YBR203W,YKL033W-A,YPL046C,0.43701172,triple
41,YDR057W,YER079W,YKL033W-A,0.43481445,triple
42,YBR203W,YJR060W,YPL046C,0.43310547,triple
43,YKL033W-A,YLR104W,YPL046C,0.42773438,triple
44,YJR060W,YLR104W,YPL046C,0.42260742,triple
45,YBR203W,YGL087C,YPL046C,0.42041016,triple
46,YJR060W,YLR312C-B,YPL046C,0.42041016,triple
47,YIL174W,YJR060W,YPL046C,0.42041016,triple
48,YIL174W,YLL012W,YPL046C,0.4165039,triple
49,YLL012W,YLR312C-B,YPL046C,0.4165039,triple
50,YGL087C,YLR104W,YPL046C,0.4116211,triple
51,YBR203W,YDR057W,YLL012W,0.41088867,triple
52,YDR057W,YGL087C,YLL012W,0.4091797,triple
53,YBR203W,YLR312C-B,YPL046C,0.40551758,triple
54,YBR203W,YIL174W,YPL046C,0.40551758,triple
55,YGL087C,YKL033W-A,YPL046C,0.4020996,triple
56,YBR203W,YDR057W,YKL033W-A,0.40063477,triple
57,YER079W,YKL033W-A,YPL046C,0.39746094,triple
58,YBR203W,YDR057W,YLR312C-B,0.3955078,triple
59,YBR203W,YDR057W,YIL174W,0.3955078,triple
60,YER079W,YGL087C,YPL046C,0.3955078,triple
61,YDR057W,YKL033W-A,YLR104W,0.38623047,triple
62,YBR203W,YDR057W,YLR104W,0.38427734,triple
