checkpoint,name,val_pearson,cut,n_above
lzs9pcj3,M01,0.452,0.08,449239
lzs9pcj3,M01,0.452,0.12,92127
lzs9pcj3,M01,0.452,0.16,33969
lzs9pcj3,M01,0.452,0.2,15844
lzs9pcj3,M01,0.452,0.3,4611
yv4r30bi,M02,0.4472,0.08,192355
yv4r30bi,M02,0.4472,0.12,50443
yv4r30bi,M02,0.4472,0.16,18794
yv4r30bi,M02,0.4472,0.2,8746
yv4r30bi,M02,0.4472,0.3,2441
c7671wgj,M03,0.4619,0.08,86280
c7671wgj,M03,0.4619,0.12,19656
c7671wgj,M03,0.4619,0.16,7710
c7671wgj,M03,0.4619,0.2,4231
c7671wgj,M03,0.4619,0.3,1633
ensemble_mean,mean,,0.08,43663
all_three_above,all3,,0.08,2906
ensemble_mean,mean,,0.12,10518
all_three_above,all3,,0.12,831
ensemble_mean,mean,,0.16,4495
all_three_above,all3,,0.16,432
ensemble_mean,mean,,0.2,2284
all_three_above,all3,,0.2,272
ensemble_mean,mean,,0.3,739
all_three_above,all3,,0.3,152
