gene,is_metabolic,is_tflink_regulator,is_sgd_regulator,is_regulator,distinct_screens,n_records,as_query,as_array,min_smf,mean_smf,n_smf_sources,is_essential,is_mito,fails_fitness,passes_support,present_in_kuzmin,keep
Q0045,True,False,False,False,0,0,0,0,,,,False,True,True,False,False,False
Q0080,True,False,False,False,0,0,0,0,,,,False,True,True,False,False,False
Q0085,True,False,False,False,0,0,0,0,,,,False,True,True,False,False,False
Q0105,True,False,False,False,0,0,0,0,,,,False,True,True,False,False,False
Q0130,True,False,False,False,0,0,0,0,,,,False,True,True,False,False,False
Q0250,True,False,False,False,0,0,0,0,,,,False,True,True,False,False,False
Q0275,True,False,False,False,0,0,0,0,,,,False,True,True,False,False,False
YAL012W,True,False,False,False,0,0,0,0,0.668,0.668,1.0,False,False,True,False,False,False
YAL013W,False,False,True,True,10,10,0,10,0.832,0.832,2.0,False,False,True,False,True,False
YAL017W,False,False,True,True,10,10,0,10,0.9895,0.9895,2.0,False,False,False,False,True,True
YAL022C,True,False,False,False,10,10,0,10,0.9872,0.9872,2.0,False,False,False,False,True,True
YAL023C,True,False,False,False,10,10,0,10,1.0708,1.0708,2.0,False,False,False,False,True,True
YAL026C,True,False,False,False,10,10,0,10,0.692,0.692,1.0,False,False,True,False,True,False
YAL035W,True,False,False,False,0,0,0,0,,,,False,False,True,False,False,False
YAL038W,True,False,False,False,10,10,0,10,,,,True,False,True,False,True,False
YAL039C,True,False,False,False,0,0,0,0,0.7895,0.7895,1.0,False,False,True,False,False,False
YAL044C,True,False,False,False,0,0,0,0,0.817,0.817,1.0,False,False,True,False,False,False
YAL051W,False,True,True,True,310,1453,1134,319,0.9767,0.9777366666666666,3.0,False,False,False,True,True,True
YAL054C,True,False,False,False,342,353,0,353,0.9985,0.9985,2.0,False,False,False,True,True,True
YAL060W,True,False,False,False,10,10,0,10,1.0108,1.0108,1.0,False,False,False,False,True,True
YAL061W,True,False,False,False,10,10,0,10,1.0365,1.0365,2.0,False,False,False,False,True,True
YAL062W,True,False,False,False,11,1141,1131,10,1.006,1.0079333333333333,3.0,False,False,False,False,True,True
YAR002W,False,True,False,True,333,878,534,344,-0.0031,0.8451410409556315,1172.0,False,False,True,True,True,False
YAR007C,False,True,False,True,307,318,0,318,,,,True,False,True,True,True,False
YAR015W,True,False,False,False,307,318,0,318,1.005,1.005,1.0,False,False,False,True,True,True
YAR019C,False,False,True,True,11,22,0,22,,,,True,False,True,False,True,False
YAR035W,True,False,False,False,11,11,0,11,1.0195,1.0195,2.0,False,False,False,False,True,True
YAR050W,False,True,False,True,11,11,0,11,1.0175,1.0175,2.0,False,False,False,False,True,True
YAR071W,True,False,False,False,0,0,0,0,1.071,1.071,1.0,False,False,False,False,False,True
YBL005W,False,True,True,True,12,1037,1026,11,0.955,1.0093333333333334,3.0,False,False,False,False,True,True
YBL008W,False,False,True,True,317,328,0,328,0.9477,0.9477,2.0,False,False,False,True,True,True
YBL011W,True,False,False,False,11,11,0,11,0.9173,0.9173,2.0,False,False,False,False,True,True
YBL013W,True,False,False,False,11,11,0,11,0.974,0.974,2.0,False,False,False,False,True,True
YBL015W,True,False,False,False,11,11,0,11,0.9855,0.9855,2.0,False,False,False,False,True,True
YBL016W,False,False,True,True,0,0,0,0,,,,False,False,True,False,False,False
YBL021C,False,True,True,True,291,302,0,302,0.8702,0.8702,2.0,False,False,True,True,True,False
YBL023C,False,True,False,True,316,327,0,327,,,,True,False,True,True,True,False
YBL030C,True,False,False,False,0,0,0,0,,,,True,False,True,False,False,False
YBL033C,True,False,False,False,0,0,0,0,,,,False,False,True,False,False,False
YBL039C,True,False,False,False,0,0,0,0,0.9788,0.9788,2.0,False,False,False,False,False,True
YBL042C,True,False,False,False,11,11,0,11,0.9968,0.9968,2.0,False,False,False,False,True,True
YBL045C,True,False,False,False,0,0,0,0,,,,False,False,True,False,False,False
YBL054W,False,True,True,True,12,1085,1074,11,0.96776,1.0003799999999998,2.0,False,False,False,False,True,True
YBL056W,False,False,True,True,12,1111,1100,11,0.985,1.00375,2.0,False,False,False,False,True,True
YBL064C,True,False,False,False,12,550,539,11,0.8302,0.9488666666666666,3.0,False,False,True,False,True,False
YBL066C,False,True,False,True,11,11,0,11,0.9958,0.9958,2.0,False,False,False,False,True,True
YBL068W,True,False,False,False,11,11,0,11,1.0092,1.0092,2.0,False,False,False,False,True,True
YBL076C,True,False,False,False,11,11,0,11,,,,True,False,True,False,True,False
YBL080C,True,False,False,False,0,0,0,0,0.466,0.466,1.0,False,False,True,False,False,False
YBL084C,False,False,True,True,290,313,0,313,,,,True,False,True,True,True,False
YBL088C,False,False,True,True,301,312,0,312,1.0038,1.0038,2.0,False,False,False,True,True,True
YBL091C,True,False,False,False,11,11,0,11,0.966,0.966,2.0,False,False,False,False,True,True
YBL093C,False,True,False,True,0,0,0,0,,,,False,False,True,False,False,False
YBL097W,False,True,False,True,304,326,0,326,,,,True,False,True,True,True,False
YBL098W,True,False,False,False,11,11,0,11,1.0072,1.0072,2.0,False,False,False,False,True,True
YBL099W,True,False,False,False,0,0,0,0,,,,False,False,True,False,False,False
YBL103C,False,True,True,True,11,11,0,11,0.6907,0.6907,2.0,False,False,True,False,True,False
YBL105C,False,False,True,True,298,354,0,354,,,,True,False,True,True,True,False
YBR001C,True,False,False,False,12,1037,1026,11,0.95952,0.9937066666666666,3.0,False,False,False,False,True,True
YBR002C,True,False,False,False,0,0,0,0,,,,True,False,True,False,False,False
YBR003W,True,False,False,False,0,0,0,0,0.7405,0.7405,1.0,False,False,True,False,False,False
YBR004C,True,False,False,False,288,300,0,300,,,,True,False,True,True,True,False
YBR006W,True,False,False,False,11,11,0,11,1.006,1.006,2.0,False,False,False,False,True,True
YBR011C,True,False,False,False,11,11,0,11,,,,True,False,True,False,True,False
YBR018C,True,False,False,False,291,302,0,302,1.0145,1.0145,2.0,False,False,False,True,True,True
YBR019C,True,False,False,False,304,315,0,315,0.9835,0.9835,2.0,False,False,False,True,True,True
YBR020W,True,True,False,True,12,1054,1043,11,0.98832,0.9911066666666667,3.0,False,False,False,False,True,True
YBR021W,True,False,False,False,0,0,0,0,,,,False,False,True,False,False,False
YBR022W,True,False,False,False,11,11,0,11,1.0003,1.0003,2.0,False,False,False,False,True,True
YBR023C,True,False,False,False,288,300,0,300,0.993,0.993,2.0,False,False,False,True,True,True
YBR026C,True,False,False,False,11,11,0,11,0.7155,0.7155,2.0,False,False,True,False,True,False
YBR028C,False,False,True,True,280,291,0,291,0.9935,0.9935,2.0,False,False,False,True,True,True
YBR029C,True,False,False,False,11,11,0,11,,,,True,False,True,False,True,False
YBR033W,False,True,False,True,11,11,0,11,1.043,1.043,2.0,False,False,False,False,True,True
YBR034C,True,False,True,True,11,11,0,11,0.9605,0.9605,2.0,False,False,False,False,True,True
YBR035C,True,False,False,False,0,0,0,0,0.4735,0.4735,1.0,False,False,True,False,False,False
YBR036C,True,False,False,False,270,281,0,281,0.6375,0.6375,2.0,False,False,True,True,True,False
YBR038W,True,False,False,False,0,0,0,0,,,,True,False,True,False,False,False
YBR039W,True,False,False,False,0,0,0,0,0.407,0.407,1.0,False,False,True,False,False,False
YBR041W,True,False,False,False,288,299,0,299,0.991,0.991,2.0,False,False,False,True,True,True
YBR042C,True,False,False,False,309,321,0,321,0.985,0.985,2.0,False,False,False,True,True,True
YBR046C,True,False,False,False,11,11,0,11,1.0163,1.0163,2.0,False,False,False,False,True,True
YBR049C,False,True,True,True,0,0,0,0,,,,True,False,True,False,False,False
YBR058C-A,True,False,False,False,301,312,0,312,0.82,0.82,1.0,False,False,True,True,True,False
YBR059C,False,False,True,True,0,0,0,0,0.984,0.984,1.0,False,False,False,False,False,True
YBR066C,False,True,False,True,12,1019,1008,11,0.89521,0.9738700000000001,3.0,False,False,True,False,True,False
YBR068C,True,False,False,False,271,282,0,282,0.9792,0.9792,2.0,False,False,False,True,True,True
YBR069C,True,False,False,False,11,11,0,11,1.016,1.016,2.0,False,False,False,False,True,True
YBR070C,True,False,False,False,276,772,486,286,0.8043,0.8043,1.0,True,False,True,True,True,False
YBR081C,False,True,True,True,0,0,0,0,,,,False,False,True,False,False,False
YBR082C,False,False,True,True,272,282,0,282,0.9042,0.9042,2.0,False,False,False,True,True,True
YBR083W,False,True,True,True,290,300,0,300,1.0463,1.0463,2.0,False,False,False,True,True,True
YBR084W,True,False,False,False,296,306,0,306,0.9722,0.9722,2.0,False,False,False,True,True,True
YBR085W,True,False,False,False,10,10,0,10,0.9857,0.9857,2.0,False,False,False,False,True,True
YBR088C,False,True,False,True,0,0,0,0,,,,True,False,True,False,False,False
YBR089C-A,False,False,True,True,0,0,0,0,1.021,1.021,1.0,False,False,False,False,False,True
YBR092C,True,False,False,False,272,283,0,283,0.9863,0.9863,1.0,False,False,False,True,True,True
YBR093C,True,False,True,True,0,0,0,0,1.0415,1.0415,1.0,False,False,False,False,False,True
YBR097W,True,False,True,True,0,0,0,0,0.235,0.235,1.0,False,False,True,False,False,False
YBR110W,True,False,False,False,10,10,0,10,,,,True,False,True,False,True,False
YBR111C,True,False,False,False,309,320,0,320,0.995,0.995,2.0,False,False,False,True,True,True
YBR112C,False,True,True,True,0,0,0,0,0.93,0.93,1.0,False,False,False,False,False,True
YBR115C,True,False,False,False,0,0,0,0,,,,False,False,True,False,False,False
YBR117C,True,False,False,False,0,0,0,0,1.024,1.024,1.0,False,False,False,False,False,True
YBR121C,True,False,False,False,10,10,0,10,,,,True,False,True,False,True,False
YBR126C,True,False,False,False,10,10,0,10,0.32,0.52725,2.0,False,False,True,False,True,False
YBR127C,True,False,False,False,0,0,0,0,,,,False,False,True,False,False,False
YBR128C,True,False,False,False,10,10,0,10,0.9652,0.9652,2.0,True,False,False,False,True,False
YBR132C,True,False,False,False,10,10,0,10,1.0268,1.0268,2.0,False,False,False,False,True,True
YBR136W,False,False,True,True,0,0,0,0,,,,True,False,True,False,False,False
YBR139W,False,False,True,True,10,10,0,10,0.9862,0.9862,2.0,False,False,False,False,True,True
YBR145W,True,False,False,False,10,10,0,10,1.0583,1.0583,2.0,False,False,False,False,True,True
YBR147W,True,False,False,False,284,1338,1045,293,0.99433,1.01891,3.0,False,False,False,True,True,True
YBR149W,True,False,False,False,10,10,0,10,1.0505,1.0505,2.0,False,False,False,False,True,True
YBR150C,False,True,False,True,10,10,0,10,0.984,0.984,2.0,False,False,False,False,True,True
YBR153W,True,False,False,False,10,10,0,10,,,,True,False,True,False,True,False
YBR158W,False,False,True,True,10,10,0,10,0.9405,0.9405,1.0,False,False,False,False,True,True
YBR159W,True,False,False,False,0,0,0,0,,,,False,False,True,False,False,False
YBR160W,False,False,True,True,10,40,0,40,,,,True,False,True,False,True,False
YBR161W,True,False,False,False,10,10,0,10,1.0442,1.0442,2.0,False,False,False,False,True,True
YBR166C,True,False,False,False,0,0,0,0,0.952,0.952,1.0,False,False,False,False,False,True
YBR176W,True,False,False,False,285,296,0,296,1.0092,1.0092,2.0,False,False,False,True,True,True
YBR177C,True,False,False,False,11,1016,1006,10,1.0005,1.0155,3.0,False,False,False,False,True,True
YBR180W,True,False,False,False,10,10,0,10,0.9992,0.9992,2.0,False,False,False,False,True,True
YBR182C,False,True,True,True,11,1036,1026,10,0.96632,0.9821066666666667,3.0,False,False,False,False,True,True
YBR183W,True,False,False,False,11,1051,1041,10,0.989,1.0011333333333334,3.0,False,False,False,False,True,True
YBR192W,True,False,False,False,0,0,0,0,,,,True,False,True,False,False,False
YBR193C,False,True,False,True,10,20,0,20,,,,True,False,True,False,True,False
YBR196C,True,False,False,False,10,10,0,10,,,,True,False,True,False,True,False
