index,gene1,gene2,gene3,split,measured_tau,measured_p,M01,M02,M03,pred_mean,pred_worst,rank
23399065,YBR001C,YDR001C,YPL181W,train,0.571909,0.4596,1.7685547,2.2324219,1.5839844,1.8616537,1.5839844,12
23399064,YBR001C,YDR001C,YPL089C,train,0.30515,0.4766,1.1855469,1.2246094,0.90478516,1.1049805,0.90478516,51
5887224,YPL053C,YDR483W,YOR304W,test,0.257862,0.2709,0.78759766,0.7504883,1.1103516,0.8828125,0.7504883,75
21963563,YLR386W,YGL096W,YPL177C,train,0.278455,0.001924,0.94091797,0.98291016,0.68115234,0.86832684,0.68115234,80
5887165,YPL053C,YDR483W,YBR028C,train,0.088911,0.3718,1.4658203,0.13110352,0.9013672,0.8327637,0.13110352,90
5887176,YPL053C,YDR483W,YDR099W,train,0.186281,0.4182,1.0322266,0.63623047,0.4091797,0.6925456,0.4091797,143
23399061,YBR001C,YDR001C,YOR304W,train,0.071212,0.486,0.8544922,0.43115234,0.5180664,0.601237,0.43115234,179
22108723,YNL071W,YGL096W,YPL177C,train,0.227965,0.16,0.7109375,0.58251953,0.22875977,0.5074056,0.22875977,230
20893008,YDR452W,YGL096W,YPL177C,train,0.140083,0.2008,0.55810547,0.7026367,0.23913574,0.49995932,0.23913574,236
21600663,YKL069W,YGL096W,YPL177C,train,0.131474,0.3036,0.43139648,0.77441406,0.19140625,0.46573892,0.19140625,279
31168711,YLL012W,YLR020C,YOR061W,train,0.216476,0.1021,0.41333008,0.74853516,0.090026855,0.41729736,0.090026855,325
29787669,YIL111W,YNL052W,YER111C,train,0.041058,0.04749,0.25805664,0.8520508,0.12054443,0.4102173,0.12054443,343
21981708,YML008C,YGL096W,YPL177C,train,0.126382,0.03389,0.7402344,0.46435547,-0.024749756,0.39328003,-0.024749756,366
22017998,YMR015C,YGL096W,YPL177C,test,0.015224,0.3177,0.12213135,0.7241211,0.30444336,0.38356528,0.12213135,392
29787683,YIL111W,YNL052W,YJL187C,test,-0.102244,0.2423,0.5996094,0.3540039,0.09552002,0.3497111,0.09552002,500
20657123,YCR034W,YGL096W,YPL177C,train,0.15933,0.03939,0.35009766,0.19995117,0.4260254,0.32535806,0.19995117,604
21582518,YKL008C,YGL096W,YPL177C,train,0.051998,0.2073,0.15917969,0.5444336,0.12866211,0.27742514,0.12866211,923
20729703,YDL100C,YGL096W,YPL177C,train,0.152139,0.1227,0.26416016,0.21972656,0.34228516,0.27539062,0.21972656,942
