genes,n_genes_used,n_pairs,n_triples,strains,median_worst,min_worst,max_worst,n_chassis_pair_triples,triples
YDR423C+YGL096W+YLR044C+YNL071W+YPL177C,5,9,6,20,0.12823486328125,0.0201873779296875,0.228759765625,3,YDR423C+YGL096W+YLR044C;YDR423C+YGL096W+YNL071W;YDR423C+YLR044C+YNL071W;YGL096W+YLR044C+YNL071W;YGL096W+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YGL096W+YGR193C+YLR044C+YNL071W+YPL177C,5,9,6,20,0.120819091796875,0.07879638671875,0.228759765625,2,YGL096W+YGR193C+YLR044C;YGL096W+YLR044C+YNL071W;YGL096W+YLR044C+YPL177C;YGL096W+YNL071W+YPL177C;YGR193C+YLR044C+YPL177C;YLR044C+YNL071W+YPL177C
YGL096W+YIL125W+YLR044C+YNL071W+YPL177C,5,9,6,20,0.11181640625,0.031463623046875,0.228759765625,2,YGL096W+YIL125W+YLR044C;YGL096W+YIL125W+YNL071W;YGL096W+YLR044C+YNL071W;YGL096W+YLR044C+YPL177C;YGL096W+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YGL096W+YJL052W+YLR044C+YNL071W+YPL177C,5,9,6,20,0.11181640625,0.02679443359375,0.228759765625,2,YGL096W+YJL052W+YLR044C;YGL096W+YJL052W+YNL071W;YGL096W+YLR044C+YNL071W;YGL096W+YLR044C+YPL177C;YGL096W+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YGL096W+YJR009C+YLR044C+YNL071W+YPL177C,5,9,6,20,0.11181640625,0.00458526611328125,0.228759765625,2,YGL096W+YJR009C+YLR044C;YGL096W+YJR009C+YNL071W;YGL096W+YLR044C+YNL071W;YGL096W+YLR044C+YPL177C;YGL096W+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YDL182W+YGL096W+YLR044C+YNL071W+YPL177C,5,9,6,20,0.11181640625,0.024139404296875,0.228759765625,2,YDL182W+YGL096W+YLR044C;YDL182W+YGL096W+YNL071W;YGL096W+YLR044C+YNL071W;YGL096W+YLR044C+YPL177C;YGL096W+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YDL131W+YGL096W+YLR044C+YNL071W+YPL177C,5,9,6,20,0.11181640625,0.0129547119140625,0.228759765625,2,YDL131W+YGL096W+YLR044C;YDL131W+YGL096W+YNL071W;YGL096W+YLR044C+YNL071W;YGL096W+YLR044C+YPL177C;YGL096W+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YEL047C+YGL096W+YLR044C+YNL071W+YPL177C,5,9,6,20,0.11181640625,0.005584716796875,0.228759765625,2,YEL047C+YGL096W+YLR044C;YEL047C+YGL096W+YNL071W;YGL096W+YLR044C+YNL071W;YGL096W+YLR044C+YPL177C;YGL096W+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YDR148C+YGL096W+YLR044C+YNL071W+YPL177C,5,9,6,20,0.11181640625,0.02581787109375,0.228759765625,2,YDR148C+YGL096W+YLR044C;YDR148C+YGL096W+YNL071W;YGL096W+YLR044C+YNL071W;YGL096W+YLR044C+YPL177C;YGL096W+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YGL096W+YLR044C+YNL071W+YOL086C+YPL177C,5,9,6,20,0.11181640625,0.0080718994140625,0.228759765625,2,YGL096W+YLR044C+YNL071W;YGL096W+YLR044C+YOL086C;YGL096W+YLR044C+YPL177C;YGL096W+YNL071W+YOL086C;YGL096W+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
